,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,3234,A. Bamba,Abdoulaye,Bamba,32,1990-04-25,Abidjan,Côte d'Ivoire,Côte d'Ivoire,182 cm,72 kg,False,https://media.api-sports.io/football/players/3234.png,77,Angers,https://media.api-sports.io/football/teams/77.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,18,17,1533,,Defender,6.538888,False,1,1,10,4,1,0,,,,493,7,77,7,1,12,138,73,15,9,,18,21,2,0,0,,1,0,0,
1,3234,A. Bamba,Abdoulaye,Bamba,32,1990-04-25,Abidjan,Côte d'Ivoire,Côte d'Ivoire,182 cm,72 kg,False,https://media.api-sports.io/football/players/3234.png,77,Angers,https://media.api-sports.io/football/teams/77.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,3234,A. Bamba,Abdoulaye,Bamba,32,1990-04-25,Abidjan,Côte d'Ivoire,Côte d'Ivoire,182 cm,72 kg,False,https://media.api-sports.io/football/players/3234.png,77,Angers,https://media.api-sports.io/football/teams/77.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,3237,I. Traoré,Ismaël,Traoré,36,1986-08-18,Paris,France,Côte d'Ivoire,184 cm,87 kg,False,https://media.api-sports.io/football/players/3237.png,77,Angers,https://media.api-sports.io/football/teams/77.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,32,32,2857,,Defender,6.840625,False,0,2,3,14,6,3,,1,,930,4,81,10,2,52,199,113,19,14,,4,25,2,0,0,,1,0,0,
4,20568,A. Letellier,Alexandre,Letellier,32,1990-12-11,Paris,France,France,193 cm,93 kg,False,https://media.api-sports.io/football/players/20568.png,77,Angers,https://media.api-sports.io/football/teams/77.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,13,13,1170,,Goalkeeper,6.492307,False,0,0,4,0,0,0,17,,28,158,0,59,,,0,2,2,0,0,,1,0,0,0,0,,,0,0,0
5,20568,A. Letellier,Alexandre,Letellier,32,1990-12-11,Paris,France,France,193 cm,93 kg,False,https://media.api-sports.io/football/players/20568.png,77,Angers,https://media.api-sports.io/football/teams/77.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,20616,Thomas Touré,Thomas,Touré,29,1993-12-27,Grasse,France,Côte d'Ivoire,175 cm,73 kg,False,https://media.api-sports.io/football/players/20616.png,77,Angers,https://media.api-sports.io/football/teams/77.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,7,0,121,,Attacker,6.650000,False,7,0,11,7,0,0,,1,,40,4,85,,0,1,25,4,7,2,,0,3,1,0,0,,,0,0,
7,20616,Thomas Touré,Thomas,Touré,29,1993-12-27,Grasse,France,Côte d'Ivoire,175 cm,73 kg,False,https://media.api-sports.io/football/players/20616.png,77,Angers,https://media.api-sports.io/football/teams/77.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,46,,Attacker,,False,0,1,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
8,20616,Thomas Touré,Thomas,Touré,29,1993-12-27,Grasse,France,Côte d'Ivoire,175 cm,73 kg,False,https://media.api-sports.io/football/players/20616.png,77,Angers,https://media.api-sports.io/football/teams/77.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,1,0,17,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,20772,Nathan Vitré,Nathan,Vitré,24,1998-03-03,Cholet,France,France,182 cm,78 kg,False,https://media.api-sports.io/football/players/20772.png,77,Angers,https://media.api-sports.io/football/teams/77.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
