,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,28,Alexandre dos Santos Ferreira,Alexandre,dos Santos Ferreira,23,1999-01-15,Xinguara,Brazil,Brazil,185 cm,79 kg,False,https://media.api-sports.io/football/players/28.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,28,Alexandre dos Santos Ferreira,Alexandre,dos Santos Ferreira,23,1999-01-15,Xinguara,Brazil,Brazil,185 cm,79 kg,False,https://media.api-sports.io/football/players/28.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,36,Carlos Muñoz,Carlos Isaac,Muñoz Obejero,24,1998-04-30,Navalmoral de la Mata,Spain,Spain,184 cm,74 kg,False,https://media.api-sports.io/football/players/36.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,1,1,64,,Defender,6.700000,False,0,1,1,1,0,0,,,,28,0,87,,0,2,10,5,2,1,,1,2,1,0,0,,,0,0,
3,36,Carlos Muñoz,Carlos Isaac,Muñoz Obejero,24,1998-04-30,Navalmoral de la Mata,Spain,Spain,184 cm,74 kg,False,https://media.api-sports.io/football/players/36.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,40,Andrés Felipe Solano Dávila,Andrés Felipe,Solano Dávila,24,1998-02-24,Santa Marta,Colombia,Colombia,176 cm,69 kg,False,https://media.api-sports.io/football/players/40.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,41,Juanfran,Juan Francisco,Torres Belén,36,1985-01-09,Crevillente,Spain,Spain,181 cm,71 kg,False,https://media.api-sports.io/football/players/41.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,17,15,1308,,Defender,6.847058,False,2,3,15,3,0,0,,1,,412,7,80,9,2,26,127,54,14,7,,9,32,3,0,0,,,0,0,
6,41,Juanfran,Juan Francisco,Torres Belén,36,1985-01-09,Crevillente,Spain,Spain,181 cm,71 kg,False,https://media.api-sports.io/football/players/41.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,,Copa del Rey,,,,2017-2018,3,3,270,,Defender,6.966666,False,0,0,1,0,0,0,,1,,95,2,82,,,5,17,9,2,2,,4,3,0,0,0,,,0,0,
7,41,Juanfran,Juan Francisco,Torres Belén,36,1985-01-09,Crevillente,Spain,Spain,181 cm,71 kg,False,https://media.api-sports.io/football/players/41.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,7,6,540,,Defender,7.271428,False,1,1,1,3,2,0,,2,,294,5,86,8,0,8,38,25,6,5,,2,2,0,0,0,,,0,0,
8,41,Juanfran,Juan Francisco,Torres Belén,36,1985-01-09,Crevillente,Spain,Spain,181 cm,71 kg,False,https://media.api-sports.io/football/players/41.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,3,3,270,,Defender,7.200000,False,0,0,0,0,0,0,,,,108,3,81,,,5,32,19,5,4,,4,5,0,0,0,,,0,0,
9,41,Juanfran,Juan Francisco,Torres Belén,36,1985-01-09,Crevillente,Spain,Spain,181 cm,71 kg,False,https://media.api-sports.io/football/players/41.png,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,,Club Friendlies,,,,2017,3,3,226,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
