,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2802,Y. Sommer,Yann,Sommer,34,1988-12-17,Morges,Switzerland,Switzerland,183 cm,79 kg,False,https://media.api-sports.io/football/players/2802.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,30,30,2627,,Goalkeeper,6.880000,False,0,1,0,0,0,0,44,,111,777,0,69,,0,3,12,11,0,0,,3,0,1,0,0,,,0,0,0
1,2802,Y. Sommer,Yann,Sommer,34,1988-12-17,Morges,Switzerland,Switzerland,183 cm,79 kg,False,https://media.api-sports.io/football/players/2802.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,3,3,270,,Goalkeeper,6.866666,False,0,0,0,0,0,0,2,,6,63,0,76,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
2,2915,M. Ginter,Matthias Lukas,Ginter,28,1994-01-19,Freiburg,Germany,Germany,191 cm,86 kg,False,https://media.api-sports.io/football/players/2915.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,34,34,3060,,Defender,7.097058,False,0,0,0,29,11,5,,2,,1782,7,85,6,4,40,281,187,19,10,,39,9,2,0,0,,,0,0,
3,2915,M. Ginter,Matthias Lukas,Ginter,28,1994-01-19,Freiburg,Germany,Germany,191 cm,86 kg,False,https://media.api-sports.io/football/players/2915.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,3,3,270,,Defender,7.400000,False,0,0,0,2,0,0,,,,214,0,87,,,7,28,21,2,2,,7,0,0,0,0,,,0,0,
4,2929,T. Hazard,Thorgan Ganael Francis,Hazard,29,1993-03-29,La Louvière,Belgium,Belgium,175 cm,71 kg,False,https://media.api-sports.io/football/players/2929.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,34,33,2946,,Midfielder,7.117647,False,1,8,1,87,33,10,,5,,900,66,76,4,0,28,435,187,120,52,,55,25,1,0,0,1,,5,1,
5,2929,T. Hazard,Thorgan Ganael Francis,Hazard,29,1993-03-29,La Louvière,Belgium,Belgium,175 cm,71 kg,False,https://media.api-sports.io/football/players/2929.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,3,3,266,,Midfielder,7.333333,False,0,2,0,10,3,1,,1,,98,13,81,,,3,38,13,7,4,,3,3,0,0,0,,,0,0,
6,6727,Raúl Marcelo Bobadilla,Raúl Marcelo,Bobadilla,35,1987-06-18,Formosa,Argentina,Paraguay,182 cm,87 kg,False,https://media.api-sports.io/football/players/6727.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,13,5,444,,Attacker,6.581818,False,8,4,12,15,7,0,,,,87,6,64,,,0,92,30,18,6,,12,17,2,0,0,,,0,0,
7,6727,Raúl Marcelo Bobadilla,Raúl Marcelo,Bobadilla,35,1987-06-18,Formosa,Argentina,Paraguay,182 cm,87 kg,False,https://media.api-sports.io/football/players/6727.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,0,10,,Attacker,6.500000,False,1,0,1,0,0,0,,,,0,0,0,,,0,3,1,0,0,,1,0,0,0,0,,,0,0,
8,6991,K. Yeboah,Kwame,Yeboah,27,1994-06-02,Gold Coast,Australia,Australia,182 cm,74 kg,False,https://media.api-sports.io/football/players/6991.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,6991,K. Yeboah,Kwame,Yeboah,27,1994-06-02,Gold Coast,Australia,Australia,182 cm,74 kg,False,https://media.api-sports.io/football/players/6991.png,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
