,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,20082,D. Marney,Dean,Marney,37,1984-01-31,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/20082.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,11,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,20082,D. Marney,Dean,Marney,37,1984-01-31,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/20082.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,20082,D. Marney,Dean,Marney,37,1984-01-31,London,England,England,183 cm,72 kg,False,https://media.api-sports.io/football/players/20082.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,81993,J. Walters,Jonathan,Walters,38,1983-09-20,Birkenhead,England,Republic of Ireland,183 cm,79 kg,False,https://media.api-sports.io/football/players/81993.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,3,0,36,,Attacker,6.500000,False,3,0,10,1,0,0,,,,4,0,44,,0,0,6,3,0,0,,1,0,0,0,0,,,0,0,
4,81993,J. Walters,Jonathan,Walters,38,1983-09-20,Birkenhead,England,Republic of Ireland,183 cm,79 kg,False,https://media.api-sports.io/football/players/81993.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,43,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,81993,J. Walters,Jonathan,Walters,38,1983-09-20,Birkenhead,England,Republic of Ireland,183 cm,79 kg,False,https://media.api-sports.io/football/players/81993.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,0,15,,Attacker,6.300000,False,1,0,1,0,0,0,,,,1,0,33,,,0,5,2,0,0,,1,0,0,0,0,,,0,0,
6,18923,S. Defour,Steven Arnold,Defour,33,1988-04-15,Mechelen,Belgium,Belgium,173 cm,65 kg,False,https://media.api-sports.io/football/players/18923.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,24,24,2009,,Midfielder,6.920833,False,0,12,0,19,7,1,,1,,851,19,82,33,7,46,128,58,16,13,,7,13,6,0,0,,,0,0,
7,18923,S. Defour,Steven Arnold,Defour,33,1988-04-15,Mechelen,Belgium,Belgium,173 cm,65 kg,False,https://media.api-sports.io/football/players/18923.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,1,0,0,,Midfielder,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,18923,S. Defour,Steven Arnold,Defour,33,1988-04-15,Mechelen,Belgium,Belgium,173 cm,65 kg,False,https://media.api-sports.io/football/players/18923.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,90514,Joey  Barton,Joey,Barton,35,1982-09-02,Huyton,England,England,172 cm,70 kg,False,https://media.api-sports.io/football/players/90514.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18909,A. Legzdiņš,Adam Richard,Legzdiņš,36,1986-11-28,Penkridge,England,England,191 cm,78 kg,False,https://media.api-sports.io/football/players/18909.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,18909,A. Legzdiņš,Adam Richard,Legzdiņš,36,1986-11-28,Penkridge,England,England,191 cm,78 kg,False,https://media.api-sports.io/football/players/18909.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,18909,A. Legzdiņš,Adam Richard,Legzdiņš,36,1986-11-28,Penkridge,England,England,191 cm,78 kg,False,https://media.api-sports.io/football/players/18909.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,18919,Stephen Robert Ward,Stephen Robert,Ward,37,1985-08-20,Dublin,Republic of Ireland,Republic of Ireland,184 cm,82 kg,False,https://media.api-sports.io/football/players/18919.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,28,28,2462,,Defender,6.875000,False,0,2,1,6,1,1,,1,,637,16,67,39,12,42,195,126,8,5,,29,11,1,0,0,,,0,0,
14,18919,Stephen Robert Ward,Stephen Robert,Ward,37,1985-08-20,Dublin,Republic of Ireland,Republic of Ireland,184 cm,82 kg,False,https://media.api-sports.io/football/players/18919.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,18919,Stephen Robert Ward,Stephen Robert,Ward,37,1985-08-20,Dublin,Republic of Ireland,Republic of Ireland,184 cm,82 kg,False,https://media.api-sports.io/football/players/18919.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,1747,S. Arfield,Scott Harry Nathaniel,Arfield,34,1988-11-01,Livingston,Scotland,Canada,178 cm,70 kg,False,https://media.api-sports.io/football/players/1747.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,18,15,1336,,Midfielder,6.666666,False,3,6,11,18,7,2,,1,,244,8,66,36,1,12,176,75,26,14,,14,21,3,0,0,,,0,0,
17,1747,S. Arfield,Scott Harry Nathaniel,Arfield,34,1988-11-01,Livingston,Scotland,Canada,178 cm,70 kg,False,https://media.api-sports.io/football/players/1747.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,2,2,162,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,1747,S. Arfield,Scott Harry Nathaniel,Arfield,34,1988-11-01,Livingston,Scotland,Canada,178 cm,70 kg,False,https://media.api-sports.io/football/players/1747.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,18910,A. Lindegaard,Anders,Rosenkrantz Lindegaard,38,1984-04-13,Odense,Denmark,Denmark,193 cm,80 kg,False,https://media.api-sports.io/football/players/18910.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,25,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,18910,A. Lindegaard,Anders,Rosenkrantz Lindegaard,38,1984-04-13,Odense,Denmark,Denmark,193 cm,80 kg,False,https://media.api-sports.io/football/players/18910.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,7050,A. O&apos;Neill,Aiden Connor,O'Neill,24,1998-07-04,Brisbane,Australia,Australia,178 cm,70 kg,False,https://media.api-sports.io/football/players/7050.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
22,7050,A. O&apos;Neill,Aiden Connor,O'Neill,24,1998-07-04,Brisbane,Australia,Australia,178 cm,70 kg,False,https://media.api-sports.io/football/players/7050.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,6.400000,False,0,0,0,4,0,0,,,,37,1,60,,,1,29,13,1,1,,6,6,0,0,0,,,0,0,
23,113,G. Nkoudou,Georges-Kévin,Nkoudou Mbida,27,1995-02-13,Versailles,France,France,172 cm,75 kg,False,https://media.api-sports.io/football/players/113.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,8,2,224,,Midfielder,6.350000,False,6,2,11,4,0,0,,,,66,1,76,7,0,1,51,19,15,6,,6,4,1,0,0,,,0,0,
24,113,G. Nkoudou,Georges-Kévin,Nkoudou Mbida,27,1995-02-13,Versailles,France,France,172 cm,75 kg,False,https://media.api-sports.io/football/players/113.png,44,Burnley,https://media.api-sports.io/football/teams/44.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,6.700000,False,0,0,0,0,0,0,,,,10,0,90,,,0,1,1,1,1,,0,0,0,0,0,,,0,0,
