,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1435,Ivan Santini,Ivan,Santini,33,1989-05-21,Zadar,Croatia,Croatia,190 cm,90 kg,False,https://media.api-sports.io/football/players/1435.png,88,Caen,https://media.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,32,31,2777,,Attacker,6.896875,False,1,1,2,88,36,11,,1,,451,24,62,4,1,4,523,193,18,13,,53,79,3,0,0,2,,5,1,
1,1435,Ivan Santini,Ivan,Santini,33,1989-05-21,Zadar,Croatia,Croatia,190 cm,90 kg,False,https://media.api-sports.io/football/players/1435.png,88,Caen,https://media.api-sports.io/football/teams/88.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,2,1,73,,Attacker,,False,1,1,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
2,1435,Ivan Santini,Ivan,Santini,33,1989-05-21,Zadar,Croatia,Croatia,190 cm,90 kg,False,https://media.api-sports.io/football/players/1435.png,88,Caen,https://media.api-sports.io/football/teams/88.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,5,5,297,,Attacker,,False,0,4,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,8621,S. Peeters,Stef,Peeters,30,1992-02-09,Bree,Belgium,Belgium,188 cm,75 kg,False,https://media.api-sports.io/football/players/8621.png,88,Caen,https://media.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,20,11,1103,,Midfielder,6.710000,False,9,3,18,17,7,0,,2,,323,32,68,2,0,7,111,41,11,7,,5,23,4,0,0,,,0,1,
4,8621,S. Peeters,Stef,Peeters,30,1992-02-09,Bree,Belgium,Belgium,188 cm,75 kg,False,https://media.api-sports.io/football/players/8621.png,88,Caen,https://media.api-sports.io/football/teams/88.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,180,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
5,8621,S. Peeters,Stef,Peeters,30,1992-02-09,Bree,Belgium,Belgium,188 cm,75 kg,False,https://media.api-sports.io/football/players/8621.png,88,Caen,https://media.api-sports.io/football/teams/88.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,3,3,300,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,
6,15403,V. Bessat,Vincent,Bessat,36,1985-11-08,Lyon,France,France,178 cm,73 kg,False,https://media.api-sports.io/football/players/15403.png,88,Caen,https://media.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,24,18,1570,,Midfielder,6.662500,False,6,5,7,17,5,0,,1,,542,19,80,6,0,18,151,61,19,10,,5,16,2,0,0,,1,0,0,
7,15403,V. Bessat,Vincent,Bessat,36,1985-11-08,Lyon,France,France,178 cm,73 kg,False,https://media.api-sports.io/football/players/15403.png,88,Caen,https://media.api-sports.io/football/teams/88.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,15403,V. Bessat,Vincent,Bessat,36,1985-11-08,Lyon,France,France,178 cm,73 kg,False,https://media.api-sports.io/football/players/15403.png,88,Caen,https://media.api-sports.io/football/teams/88.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,20635,J. Delaplace,Jonathan,Delaplace,35,1986-03-20,La Seyne-sur-Mer,France,France,168 cm,67 kg,False,https://media.api-sports.io/football/players/20635.png,88,Caen,https://media.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,12,5,579,,Midfielder,6.608333,False,7,2,18,9,1,0,,1,,162,11,71,,,8,73,27,5,2,,9,13,3,0,0,,,0,0,
