,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,30548,F. Cacciatore,Fabrizio,Cacciatore,35,1986-10-08,Torino,Italy,Italy,182 cm,81 kg,False,https://media.api-sports.io/football/players/30548.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,33,32,2870,,Defender,6.918181,False,1,1,2,21,10,2,,3,,1208,35,75,5,1,38,206,117,21,10,,22,15,5,0,1,,,0,0,
1,30548,F. Cacciatore,Fabrizio,Cacciatore,35,1986-10-08,Torino,Italy,Italy,182 cm,81 kg,False,https://media.api-sports.io/football/players/30548.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,2,2,210,,Defender,,False,0,0,0,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,30559,V. Birsa,Valter,Birsa,35,1986-08-07,Šempeter pri Gorici,Slovenia,Slovenia,184 cm,83 kg,False,https://media.api-sports.io/football/players/30559.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,35,29,2516,,Midfielder,6.988571,False,6,16,7,48,17,3,,6,,1029,66,79,3,0,24,298,114,60,29,,31,24,3,0,0,,,0,0,
3,30559,V. Birsa,Valter,Birsa,35,1986-08-07,Šempeter pri Gorici,Slovenia,Slovenia,184 cm,83 kg,False,https://media.api-sports.io/football/players/30559.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,1,1,90,,Midfielder,,False,0,0,1,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,30732,Andrea Seculin,Andrea,Seculin,32,1990-07-14,Gorizia,Italy,Italy,191 cm,83 kg,False,https://media.api-sports.io/football/players/30732.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,38,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,30732,Andrea Seculin,Andrea,Seculin,32,1990-07-14,Gorizia,Italy,Italy,191 cm,83 kg,False,https://media.api-sports.io/football/players/30732.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,1,1,120,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,30734,S. Sorrentino,Stefano,Sorrentino,42,1979-03-28,Cava de' Tirreni,Italy,Italy,186 cm,84 kg,False,https://media.api-sports.io/football/players/30734.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,38,38,3420,,Goalkeeper,6.894736,False,0,0,0,0,0,0,59,,133,603,0,59,,0,0,14,13,0,0,,7,0,2,0,0,,,0,0,3
7,30734,S. Sorrentino,Stefano,Sorrentino,42,1979-03-28,Cava de' Tirreni,Italy,Italy,186 cm,84 kg,False,https://media.api-sports.io/football/players/30734.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,1,1,90,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30738,B. Cesar,Boštjan,Cesar,39,1982-07-09,Ljubljana,Slovenia,Slovenia,191 cm,89 kg,False,https://media.api-sports.io/football/players/30738.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,10,5,543,,Defender,6.466666,False,5,0,32,0,0,0,,,,196,0,80,,0,3,43,24,0,0,,7,5,1,0,0,,,0,0,
9,30738,B. Cesar,Boštjan,Cesar,39,1982-07-09,Ljubljana,Slovenia,Slovenia,191 cm,89 kg,False,https://media.api-sports.io/football/players/30738.png,491,Chievo,https://media.api-sports.io/football/teams/491.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
