,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,8581,N. Dussenne,Noë,Dussenne,30,1992-04-07,Mons,Belgium,Belgium,192 cm,86 kg,False,https://media.api-sports.io/football/players/8581.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,1,0,82,,Defender,6.700000,False,1,0,1,1,0,0,,,,7,0,58,,,1,8,2,0,0,,0,3,1,0,0,,,0,0,
1,8581,N. Dussenne,Noë,Dussenne,30,1992-04-07,Mons,Belgium,Belgium,192 cm,86 kg,False,https://media.api-sports.io/football/players/8581.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,14292,Boadu Maxwell Acosty,Boadu Maxwell,Acosty,31,1991-09-10,Akwamufie,Ghana,Ghana,177 cm,76 kg,False,https://media.api-sports.io/football/players/14292.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,14292,Boadu Maxwell Acosty,Boadu Maxwell,Acosty,31,1991-09-10,Akwamufie,Ghana,Ghana,177 cm,76 kg,False,https://media.api-sports.io/football/players/14292.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,30638,F. Ricci,Federico,Ricci,28,1994-05-27,Roma,Italy,Italy,175 cm,63 kg,False,https://media.api-sports.io/football/players/30638.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,15,10,924,,Midfielder,6.971428,False,5,6,8,25,8,1,,1,,221,12,71,8,0,12,171,75,38,18,,26,21,4,0,0,,,0,0,
5,30638,F. Ricci,Federico,Ricci,28,1994-05-27,Roma,Italy,Italy,175 cm,63 kg,False,https://media.api-sports.io/football/players/30638.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Midfielder,6.200000,False,0,0,0,0,0,0,,,,11,1,78,,,0,7,3,2,1,,0,1,0,0,0,,,0,0,
6,30976,Giacomo Figliuzzi,Giacomo,Figliuzzi,21,2000-11-12,Crotone,Italy,Italy,184 cm,83 kg,False,https://media.api-sports.io/football/players/30976.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30976,Giacomo Figliuzzi,Giacomo,Figliuzzi,21,2000-11-12,Crotone,Italy,Italy,184 cm,83 kg,False,https://media.api-sports.io/football/players/30976.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30977,F. Latella,Francesco,Latella,19,2000-01-27,,Italy,Italy,182 cm,69 kg,False,https://media.api-sports.io/football/players/30977.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,30977,F. Latella,Francesco,Latella,19,2000-01-27,,Italy,Italy,182 cm,69 kg,False,https://media.api-sports.io/football/players/30977.png,501,Crotone,https://media.api-sports.io/football/teams/501.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
