,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,392,Adrián,Adrián,López Álvarez,34,1988-01-08,San Martín De Teverga,Spain,Spain,183 cm,73 kg,False,https://media.api-sports.io/football/players/392.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,30,26,2347,,Attacker,6.926666,False,4,6,4,61,20,9,,6,,604,34,70,1,1,10,364,166,69,38,,29,16,1,0,0,,,0,0,
1,392,Adrián,Adrián,López Álvarez,34,1988-01-08,San Martín De Teverga,Spain,Spain,183 cm,73 kg,False,https://media.api-sports.io/football/players/392.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,0,27,,Attacker,6.300000,False,1,0,1,1,0,0,,,,5,0,100,,,0,2,1,1,0,,0,0,0,0,0,,,0,0,
2,1421,Z. Bakkali,Zakaria,Bakkali,26,1996-01-26,Liège,Belgium,Belgium,168 cm,71 kg,False,https://media.api-sports.io/football/players/1421.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,23,10,905,,Attacker,6.545454,False,13,9,19,25,6,0,,,,221,9,81,2,0,4,124,53,34,17,,20,14,5,0,0,,,0,0,
3,1421,Z. Bakkali,Zakaria,Bakkali,26,1996-01-26,Liège,Belgium,Belgium,168 cm,71 kg,False,https://media.api-sports.io/football/players/1421.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,1,90,,Attacker,7.900000,False,0,0,0,4,2,0,,1,,34,4,82,,,0,10,7,3,2,,3,1,0,0,0,,,0,0,
4,19284,C. Pantilimon,Costel Fane,Pantilimon,34,1987-02-01,Bacău,Romania,Romania,203 cm,90 kg,False,https://media.api-sports.io/football/players/19284.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,6,6,540,,Goalkeeper,6.683333,False,0,0,9,0,0,0,9,,18,83,0,56,,,0,2,1,1,1,,0,0,0,0,0,,,0,0,0
5,19284,C. Pantilimon,Costel Fane,Pantilimon,34,1987-02-01,Bacău,Romania,Romania,203 cm,90 kg,False,https://media.api-sports.io/football/players/19284.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,1,90,,Goalkeeper,6.800000,False,0,0,1,0,0,0,2,,3,23,0,71,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
6,44502,Maksym Koval,Maksym,Koval,30,1992-12-09,Zaporizhzhya,Ukraine,Ukraine,184 cm,79 kg,False,https://media.api-sports.io/football/players/44502.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,2,2,122,,Goalkeeper,5.600000,False,0,1,12,0,0,0,3,,3,25,0,64,,0,0,1,0,0,0,,0,1,0,0,1,,,0,0,0
7,46647,Rubén Iván Martínez Andrade,Rubén Iván,Martínez Andrade,38,1984-06-22,Coristanco,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/46647.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,28,27,2477,,Goalkeeper,6.521428,False,1,0,1,0,0,0,59,,79,339,0,56,,0,1,14,11,0,0,,5,0,3,0,0,,,0,0,1
8,46647,Rubén Iván Martínez Andrade,Rubén Iván,Martínez Andrade,38,1984-06-22,Coristanco,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/46647.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,46716,S. Muntari,Sulley Ali,Muntari,35,1984-08-27,Konongo,Ghana,Ghana,179 cm,76 kg,False,https://media.api-sports.io/football/players/46716.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,8,6,409,,Midfielder,6.750000,False,2,6,4,4,1,0,,,,107,1,73,1,1,11,55,27,0,0,,7,11,3,0,0,,,0,0,
10,46786,Eneko Bóveda Altube,Eneko,Bóveda Altube,34,1988-12-14,Bilbao,Spain,Spain,182 cm,78 kg,False,https://media.api-sports.io/football/players/46786.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,8,7,668,,Defender,6.566666,False,1,2,1,0,0,0,,1,,152,4,71,,,14,52,22,4,1,,1,11,2,0,0,,,0,0,
11,46786,Eneko Bóveda Altube,Eneko,Bóveda Altube,34,1988-12-14,Bilbao,Spain,Spain,182 cm,78 kg,False,https://media.api-sports.io/football/players/46786.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,46799,Edu Expósito,Eduardo,Expósito Jaén,26,1996-08-01,Barcelona,Spain,Spain,178 cm,68 kg,False,https://media.api-sports.io/football/players/46799.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,3,0,93,,Midfielder,6.366666,False,3,0,8,0,0,0,,,,45,0,80,,,2,8,3,2,1,,1,2,1,0,0,,,0,0,
13,46799,Edu Expósito,Eduardo,Expósito Jaén,26,1996-08-01,Barcelona,Spain,Spain,178 cm,68 kg,False,https://media.api-sports.io/football/players/46799.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,2,1,106,,Midfielder,6.950000,False,1,0,1,1,0,0,,,,57,2,84,,,1,13,8,3,2,,0,2,1,0,0,,,0,0,
14,46801,M. Krohn-Dehli,Michael,Krohn-Dehli,38,1983-06-06,København,Denmark,Denmark,171 cm,70 kg,False,https://media.api-sports.io/football/players/46801.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,11,10,734,,Midfielder,6.472727,False,1,7,2,8,1,0,,,,295,1,77,6,0,13,58,24,8,6,,2,9,2,0,0,,,0,0,
15,46801,M. Krohn-Dehli,Michael,Krohn-Dehli,38,1983-06-06,København,Denmark,Denmark,171 cm,70 kg,False,https://media.api-sports.io/football/players/46801.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,0,0,0,,Midfielder,7.000000,False,0,0,0,0,0,0,,,,128,2,93,,,1,13,6,2,1,,1,1,0,0,0,,,0,0,
16,46805,Pedro Mosquera,Pedro,Mosquera Parada,34,1988-04-21,A Coruña,Spain,Spain,184 cm,75 kg,False,https://media.api-sports.io/football/players/46805.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,23,16,1397,,Midfielder,6.709090,False,7,8,14,12,3,0,,2,,569,9,75,16,2,23,204,92,13,9,,12,32,7,0,0,,1,0,0,
17,46805,Pedro Mosquera,Pedro,Mosquera Parada,34,1988-04-21,A Coruña,Spain,Spain,184 cm,75 kg,False,https://media.api-sports.io/football/players/46805.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,2,1,108,,Midfielder,6.500000,False,1,0,1,2,1,0,,,,72,2,82,,,3,13,4,0,0,,2,4,1,0,0,,,0,0,
18,46807,Borja Valle,Borja,Valle Balonga,30,1992-07-09,Ponferrada,Spain,Spain,177 cm,74 kg,False,https://media.api-sports.io/football/players/46807.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,17,3,473,,Midfielder,6.660000,False,14,1,25,15,7,3,,2,,101,10,70,2,0,3,69,22,4,0,,8,12,1,0,0,,,0,0,
19,46807,Borja Valle,Borja,Valle Balonga,30,1992-07-09,Ponferrada,Spain,Spain,177 cm,74 kg,False,https://media.api-sports.io/football/players/46807.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,1,83,,Midfielder,8.500000,False,0,1,0,2,2,2,,,,22,4,78,,,0,9,4,1,1,,1,1,0,0,0,,,0,0,
20,47164,Gerard Valentín,Gerard,Valentín Sancho,29,1993-07-28,Aviñonet de Puig Ventós,Spain,Spain,177 cm,75 kg,False,https://media.api-sports.io/football/players/47164.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,3,2,158,,Defender,6.266666,False,1,1,6,2,0,0,,,,28,0,42,1,0,3,25,10,4,2,,1,2,0,0,0,,,0,0,
21,47164,Gerard Valentín,Gerard,Valentín Sancho,29,1993-07-28,Aviñonet de Puig Ventós,Spain,Spain,177 cm,75 kg,False,https://media.api-sports.io/football/players/47164.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,2,1,123,,Defender,6.600000,False,1,0,1,0,0,0,,,,36,2,90,,,3,14,7,2,1,,0,3,1,0,0,,,0,0,
22,47563,Luis Carlos Correia Pinto,Luis Carlos,Correia Pinto,37,1985-05-05,Porto,Portugal,Portugal,171 cm,66 kg,False,https://media.api-sports.io/football/players/47563.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,30,29,2622,,Defender,6.993333,False,1,1,3,16,4,1,,1,,940,19,78,24,1,55,350,222,61,43,,49,43,12,0,0,,,0,0,
23,47563,Luis Carlos Correia Pinto,Luis Carlos,Correia Pinto,37,1985-05-05,Porto,Portugal,Portugal,171 cm,66 kg,False,https://media.api-sports.io/football/players/47563.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
24,68202,Bruno Alexandre Vilela Gama,Bruno Alexandre,Vilela Gama,35,1987-11-15,Vila Verde,Portugal,Portugal,175 cm,73 kg,False,https://media.api-sports.io/football/players/68202.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,6,1,111,,Midfielder,6.420000,False,5,1,5,1,0,0,,,,30,2,56,,,0,21,7,4,2,,4,5,1,0,0,1,,0,0,
25,68202,Bruno Alexandre Vilela Gama,Bruno Alexandre,Vilela Gama,35,1987-11-15,Vila Verde,Portugal,Portugal,175 cm,73 kg,False,https://media.api-sports.io/football/players/68202.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,1,57,,Midfielder,5.900000,False,0,1,0,1,0,0,,,,11,0,68,,,0,10,3,1,0,,1,2,0,0,0,,,0,0,
26,104795,Mujaid Sadick,Mujaid,Sadick Aliu,22,2000-03-14,Logroño,Spain,Spain,183 cm,81 kg,False,https://media.api-sports.io/football/players/104795.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,2,1,105,,Defender,6.700000,False,1,0,1,0,0,0,,,,38,0,96,2,2,1,7,4,0,0,,0,0,0,0,0,,,0,0,
27,104796,Fernando Navarro i Corbacho,Fernando,Navarro i Corbacho,36,1982-06-25,Barcelona,Spain,Spain,177 cm,70 kg,False,https://media.api-sports.io/football/players/104796.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,15,11,1042,,Defender,,False,4,0,26,,,0,,,,,,,,,,,,,,,,,5,0,0,,,,,
28,104796,Fernando Navarro i Corbacho,Fernando,Navarro i Corbacho,36,1982-06-25,Barcelona,Spain,Spain,177 cm,70 kg,False,https://media.api-sports.io/football/players/104796.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,1,90,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
29,104855,Óscar Pinchi,Óscar Francisco,García Quintela,26,1996-06-17,A Coruña,Spain,Spain,171 cm,62 kg,False,https://media.api-sports.io/football/players/104855.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
30,104855,Óscar Pinchi,Óscar Francisco,García Quintela,26,1996-06-17,A Coruña,Spain,Spain,171 cm,62 kg,False,https://media.api-sports.io/football/players/104855.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,0,7,,Attacker,6.300000,False,1,0,1,0,0,0,,,,4,1,80,,,0,1,0,0,0,,0,0,0,0,0,,,0,0,
31,107169,Blas Alonso Pena,Blas,Alonso Pena,25,1997-02-08,A Coruña,Spain,Spain,183 cm,,False,https://media.api-sports.io/football/players/107169.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
32,107169,Blas Alonso Pena,Blas,Alonso Pena,25,1997-02-08,A Coruña,Spain,Spain,183 cm,,False,https://media.api-sports.io/football/players/107169.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
33,119740,Steve Aldo One,Steve Aldo,One,27,1995-01-05,Yaoundé,Cameroon,Cameroon,183 cm,79 kg,False,https://media.api-sports.io/football/players/119740.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,1,1,90,,Defender,5.700000,False,0,0,1,0,0,0,,,,18,0,81,,,0,3,2,0,0,,0,1,0,0,0,,,0,0,
34,119740,Steve Aldo One,Steve Aldo,One,27,1995-01-05,Yaoundé,Cameroon,Cameroon,183 cm,79 kg,False,https://media.api-sports.io/football/players/119740.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,1,1,90,,Defender,6.700000,False,0,0,0,0,0,0,,,,48,0,88,,,0,4,2,0,0,,0,1,0,0,0,,,0,0,
35,128142,Enrique Fornos Domínguez,Enrique,Fornos Domínguez,25,1997-01-01,As Pontes,Spain,Spain,181 cm,69 kg,False,https://media.api-sports.io/football/players/128142.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
36,128142,Enrique Fornos Domínguez,Enrique,Fornos Domínguez,25,1997-01-01,As Pontes,Spain,Spain,181 cm,69 kg,False,https://media.api-sports.io/football/players/128142.png,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
