,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1256,Vukašin Jovanović,Vukašin,Jovanović,26,1996-05-17,Beograd,Serbia,Serbia,189 cm,88 kg,False,https://media.api-sports.io/football/players/1256.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,47095,Nano,Alexander,Mesa Travieso,27,1995-02-05,La Laguna,Spain,Spain,178 cm,77 kg,False,https://media.api-sports.io/football/players/47095.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Attacker,6.555555,False,0,0,0,6,2,0,,,,35,1,59,,,0,38,16,4,2,,4,8,0,0,0,,,0,0,
2,47375,Markel Areitio Cedrún,Markel,Areitio Cedrún,26,1996-09-07,Iurreta,Spain,Spain,180 cm,73 kg,False,https://media.api-sports.io/football/players/47375.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,47375,Markel Areitio Cedrún,Markel,Areitio Cedrún,26,1996-09-07,Iurreta,Spain,Spain,180 cm,73 kg,False,https://media.api-sports.io/football/players/47375.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,47376,Asier Riesgo,Asier,Riesgo Unamuno,39,1983-10-06,Deba,Spain,Spain,185 cm,76 kg,False,https://media.api-sports.io/football/players/47376.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,1,1,90,,Goalkeeper,6.900000,False,0,0,28,0,0,0,1,,4,11,0,35,,0,0,2,2,0,0,,0,0,0,0,0,,,0,0,0
5,47376,Asier Riesgo,Asier,Riesgo Unamuno,39,1983-10-06,Deba,Spain,Spain,185 cm,76 kg,False,https://media.api-sports.io/football/players/47376.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,1,1,90,,Goalkeeper,6.200000,False,0,0,0,0,0,0,2,,2,13,0,56,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
6,47377,Arbilla,Anaitz,Arbilla Zabala,35,1987-05-15,Pamplona,Spain,Spain,178 cm,76 kg,False,https://media.api-sports.io/football/players/47377.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,29,26,2411,,Defender,7.044827,False,3,0,4,17,4,2,,1,,1199,8,79,1,2,78,195,113,21,20,,11,26,8,0,0,,2,0,0,
7,47377,Arbilla,Anaitz,Arbilla Zabala,35,1987-05-15,Pamplona,Spain,Spain,178 cm,76 kg,False,https://media.api-sports.io/football/players/47377.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,2,0,41,,Defender,6.750000,False,2,0,2,0,0,0,,,,36,0,88,,,1,6,5,1,1,,1,0,0,0,0,,,0,0,
8,47379,Jordi Calavera,Jordi,Calavera Espinach,27,1995-08-02,Valls,Spain,Spain,182 cm,74 kg,False,https://media.api-sports.io/football/players/47379.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,47382,Ramis,Iván,Ramis Barrios,36,1984-10-25,Sa Pobla,Spain,Spain,188 cm,82 kg,False,https://media.api-sports.io/football/players/47382.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,16,15,1304,,Defender,7.056250,False,1,3,5,14,7,3,,,,577,1,82,1,1,25,140,85,4,4,,8,11,4,0,0,,,0,0,
10,47382,Ramis,Iván,Ramis Barrios,36,1984-10-25,Sa Pobla,Spain,Spain,188 cm,82 kg,False,https://media.api-sports.io/football/players/47382.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,47383,Paulo Oliveira,Paulo André,Rodrigues de Oliveira,30,1992-01-08,Vila Nova de Famalicão,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/47383.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,26,25,2215,,Defender,6.957692,False,1,2,8,13,3,0,,,,653,5,72,7,3,62,209,125,2,2,,12,15,3,0,0,,,0,0,
12,47383,Paulo Oliveira,Paulo André,Rodrigues de Oliveira,30,1992-01-08,Vila Nova de Famalicão,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/47383.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,1,1,90,,Defender,6.900000,False,0,0,1,0,0,0,,,,49,1,74,,,3,9,6,0,0,,0,1,1,0,0,,,0,0,
13,47390,Fabián Orellana,Fabián Ariel,Orellana Valenzuela,36,1986-01-27,San Joaquín,Chile,Chile,170 cm,64 kg,False,https://media.api-sports.io/football/players/47390.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,17,13,1181,,Attacker,6.523529,False,4,4,4,26,5,3,,2,,346,29,72,5,0,7,244,79,93,33,,20,15,5,1,0,,,0,0,
14,47392,Pedro León,Pedro León,Sánchez Gil,36,1986-11-24,Mula,Spain,Spain,183 cm,70 kg,False,https://media.api-sports.io/football/players/47392.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,12,10,929,,Midfielder,7.191666,False,2,2,3,24,8,0,,3,,190,28,67,1,2,9,108,47,32,18,,10,12,1,0,0,,,0,0,
15,47392,Pedro León,Pedro León,Sánchez Gil,36,1986-11-24,Mula,Spain,Spain,183 cm,70 kg,False,https://media.api-sports.io/football/players/47392.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,47394,Charles  Días Barbosa de Oliveira,Charles,Días Barbosa de Oliveira,38,1984-04-04,Bélem,Brazil,Brazil,179 cm,76 kg,False,https://media.api-sports.io/football/players/47394.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,30,18,1579,,Attacker,6.948148,False,12,10,15,45,16,8,,1,,284,17,67,,0,7,253,115,10,4,,29,42,5,0,1,1,,1,0,
17,47394,Charles  Días Barbosa de Oliveira,Charles,Días Barbosa de Oliveira,38,1984-04-04,Bélem,Brazil,Brazil,179 cm,76 kg,False,https://media.api-sports.io/football/players/47394.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,1,1,90,,Attacker,6.300000,False,0,0,1,4,1,0,,,,12,2,75,,,0,7,3,0,0,,1,1,0,0,0,,,0,0,
18,47395,Sergi Enrich,Sergi,Enrich Ametller,32,1990-02-26,Ciutadella,Spain,Spain,181 cm,77 kg,False,https://media.api-sports.io/football/players/47395.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,19,14,1331,,Attacker,6.878947,False,5,6,6,32,11,3,,1,,285,15,68,,,6,245,107,7,4,,28,20,2,0,0,2,,0,0,
19,47395,Sergi Enrich,Sergi,Enrich Ametller,32,1990-02-26,Ciutadella,Spain,Spain,181 cm,77 kg,False,https://media.api-sports.io/football/players/47395.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,,Copa del Rey,,,,2017-2018,2,1,98,,Attacker,6.800000,False,1,0,1,5,2,1,,,,23,2,88,,,1,16,4,1,0,,1,1,0,0,0,,,0,0,
20,47431,Juncà,David,Juncà Reñé,29,1993-11-16,Riumors,Spain,Spain,175 cm,67 kg,False,https://media.api-sports.io/football/players/47431.png,545,Eibar,https://media.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,15,10,900,,Defender,6.835714,False,5,4,17,3,0,0,,2,,340,15,69,2,1,11,73,37,13,10,,7,14,3,0,0,,,0,0,
