,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1557,Pau López,Pau,López Sabata,28,1994-12-13,Girona,Spain,Spain,189 cm,77 kg,False,https://media.api-sports.io/football/players/1557.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,29,28,2566,,Goalkeeper,6.910344,False,1,0,10,0,0,0,31,,93,339,2,49,,0,1,13,12,0,0,,5,0,3,0,0,,,0,0,1
1,1557,Pau López,Pau,López Sabata,28,1994-12-13,Girona,Spain,Spain,189 cm,77 kg,False,https://media.api-sports.io/football/players/1557.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Copa del Rey,,,,2017-2018,1,1,90,,Goalkeeper,6.700000,False,0,0,5,0,0,0,2,,3,2,0,8,,,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
2,1557,Pau López,Pau,López Sabata,28,1994-12-13,Girona,Spain,Spain,189 cm,77 kg,False,https://media.api-sports.io/football/players/1557.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,1,1,90,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,1698,Javi Fuego,Javier,Fuego Martínez,37,1984-01-04,Pola de Siero,Spain,Spain,181 cm,76 kg,False,https://media.api-sports.io/football/players/1698.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,17,17,1347,,Midfielder,6.652941,False,0,6,0,6,2,0,,,,492,2,77,,,19,166,90,6,3,,26,24,6,0,0,,,0,0,
4,1698,Javi Fuego,Javier,Fuego Martínez,37,1984-01-04,Pola de Siero,Spain,Spain,181 cm,76 kg,False,https://media.api-sports.io/football/players/1698.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Copa del Rey,,,,2017-2018,3,3,255,,Midfielder,6.333333,False,0,1,1,0,0,0,,,,90,1,79,,,4,30,8,1,0,,1,6,0,0,0,,,0,0,
5,1698,Javi Fuego,Javier,Fuego Martínez,37,1984-01-04,Pola de Siero,Spain,Spain,181 cm,76 kg,False,https://media.api-sports.io/football/players/1698.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,1,1,56,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,1707,Gerard Moreno,Gerard,Moreno Balagueró,30,1992-04-07,Santa Perpètua de Mogoda,Spain,Spain,180 cm,77 kg,False,https://media.api-sports.io/football/players/1707.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,38,38,3413,,Attacker,7.276315,False,0,1,0,105,48,16,,1,,838,44,68,4,3,19,698,314,113,63,,78,56,4,0,0,1,,1,1,
7,1707,Gerard Moreno,Gerard,Moreno Balagueró,30,1992-04-07,Santa Perpètua de Mogoda,Spain,Spain,180 cm,77 kg,False,https://media.api-sports.io/football/players/1707.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Copa del Rey,,,,2017-2018,6,5,471,,Attacker,7.116666,False,1,0,1,19,7,3,,1,,104,4,68,,,0,82,30,8,5,,8,10,2,0,0,,,1,0,
8,1707,Gerard Moreno,Gerard,Moreno Balagueró,30,1992-04-07,Santa Perpètua de Mogoda,Spain,Spain,180 cm,77 kg,False,https://media.api-sports.io/football/players/1707.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,2669,Hermoso,Mario,Hermoso Canseco,27,1995-06-18,Madrid,Spain,Spain,184 cm,75 kg,False,https://media.api-sports.io/football/players/2669.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,22,22,1929,,Defender,6.645454,False,0,0,7,11,4,1,,,,711,5,73,4,2,27,157,84,8,5,,15,19,6,1,0,,,0,0,
10,2669,Hermoso,Mario,Hermoso Canseco,27,1995-06-18,Madrid,Spain,Spain,184 cm,75 kg,False,https://media.api-sports.io/football/players/2669.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Copa del Rey,,,,2017-2018,2,2,180,,Defender,7.100000,False,0,0,2,1,0,0,,,,46,0,74,,,7,21,10,1,1,,1,5,2,0,0,,,0,0,
11,2669,Hermoso,Mario,Hermoso Canseco,27,1995-06-18,Madrid,Spain,Spain,184 cm,75 kg,False,https://media.api-sports.io/football/players/2669.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,12541,José Jurado,José Manuel,Jurado Marín,34,1986-06-29,Sanlúcar de Barrameda,Spain,Spain,173 cm,72 kg,False,https://media.api-sports.io/football/players/12541.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,29,20,1508,,Midfielder,6.613793,False,9,16,13,13,2,0,,3,,501,16,81,2,0,16,156,89,59,35,,34,6,1,0,0,,1,0,0,
13,12541,José Jurado,José Manuel,Jurado Marín,34,1986-06-29,Sanlúcar de Barrameda,Spain,Spain,173 cm,72 kg,False,https://media.api-sports.io/football/players/12541.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Copa del Rey,,,,2017-2018,2,2,173,,Midfielder,7.150000,False,0,1,1,2,0,0,,,,69,5,79,,,2,12,8,3,2,,5,2,0,0,0,,,0,0,
14,12541,José Jurado,José Manuel,Jurado Marín,34,1986-06-29,Sanlúcar de Barrameda,Spain,Spain,173 cm,72 kg,False,https://media.api-sports.io/football/players/12541.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,18800,Marc Navarro,Marc,Navarro Ceciliano,26,1995-07-02,Barcelona,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/18800.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,19,10,1102,,Defender,6.589473,False,9,3,17,20,5,1,,,,285,9,66,4,1,22,122,48,29,9,,8,12,3,0,0,,1,0,0,
16,18800,Marc Navarro,Marc,Navarro Ceciliano,26,1995-07-02,Barcelona,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/18800.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Copa del Rey,,,,2017-2018,5,4,366,,Defender,6.960000,False,1,1,1,6,4,0,,2,,76,4,72,,,4,37,18,7,2,,1,2,0,0,0,,,0,0,
17,18800,Marc Navarro,Marc,Navarro Ceciliano,26,1995-07-02,Barcelona,Spain,Spain,188 cm,79 kg,False,https://media.api-sports.io/football/players/18800.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,18827,C. Sánchez,Carlos Alberto,Sánchez Moreno,36,1986-02-06,Quibdó,Colombia,Colombia,182 cm,82 kg,False,https://media.api-sports.io/football/players/18827.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,14,13,1123,,Midfielder,6.735714,False,1,2,3,4,0,0,,,,478,3,76,8,3,18,138,74,10,9,,14,24,3,0,0,,,0,0,
19,46757,Rober Correa,Roberto Antonio,Correa Silva,30,1992-09-20,Badajoz,Spain,Spain,180 cm,71 kg,False,https://media.api-sports.io/football/players/46757.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,47066,Álvaro Vázquez,Álvaro,Vázquez García,31,1991-04-27,Badalona,Spain,Spain,182 cm,75 kg,False,https://media.api-sports.io/football/players/47066.png,540,Espanyol,https://media.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
