,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2955,S. Khaoui,Saîf-Eddine,Khaoui,27,1995-04-27,Paris,France,Tunisia,180 cm,68 kg,False,https://media.api-sports.io/football/players/2955.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,32,21,1960,,Midfielder,6.928125,False,11,14,13,62,23,5,,2,,452,31,69,2,0,27,295,141,80,49,,26,40,1,0,0,,,0,1,
1,2955,S. Khaoui,Saîf-Eddine,Khaoui,27,1995-04-27,Paris,France,Tunisia,180 cm,68 kg,False,https://media.api-sports.io/football/players/2955.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,0,6,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2955,S. Khaoui,Saîf-Eddine,Khaoui,27,1995-04-27,Paris,France,Tunisia,180 cm,68 kg,False,https://media.api-sports.io/football/players/2955.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,2,1,64,,Midfielder,,False,1,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,20566,Y. Diouf,Yehvann,Diouf,23,1999-11-16,Montreuil-sous-Bois,France,France,184 cm,74 kg,False,https://media.api-sports.io/football/players/20566.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,20570,Jérémy Cordoval,Jérémy,Cordoval,32,1990-01-12,,France,Guadeloupe,167 cm,67 kg,False,https://media.api-sports.io/football/players/20570.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,11,10,918,,Defender,6.663636,False,1,0,15,1,0,0,,1,,227,3,70,5,0,9,67,40,12,8,,8,4,1,0,0,,,0,0,
5,20570,Jérémy Cordoval,Jérémy,Cordoval,32,1990-01-12,,France,Guadeloupe,167 cm,67 kg,False,https://media.api-sports.io/football/players/20570.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,20570,Jérémy Cordoval,Jérémy,Cordoval,32,1990-01-12,,France,Guadeloupe,167 cm,67 kg,False,https://media.api-sports.io/football/players/20570.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,181,,Defender,,False,0,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,20572,J. Giraudon,Jimmy,Giraudon,30,1992-01-16,La Rochelle,France,France,184 cm,66 kg,False,https://media.api-sports.io/football/players/20572.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,25,24,2092,,Defender,6.736000,False,1,0,13,4,1,0,,,,784,2,79,4,5,31,138,86,5,5,,11,15,4,0,1,,1,0,0,
8,20572,J. Giraudon,Jimmy,Giraudon,30,1992-01-16,La Rochelle,France,France,184 cm,66 kg,False,https://media.api-sports.io/football/players/20572.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,20572,J. Giraudon,Jimmy,Giraudon,30,1992-01-16,La Rochelle,France,France,184 cm,66 kg,False,https://media.api-sports.io/football/players/20572.png,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,210,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
