,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1688,José Ramiro Funes Mori,José Ramiro,Funes Mori,31,1991-03-05,Mendoza,Argentina,Argentina,186 cm,79 kg,False,https://media.api-sports.io/football/players/1688.png,45,Everton,https://media.api-sports.io/football/teams/45.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,4,1,119,,Defender,6.700000,False,3,1,6,1,0,0,,,,41,0,69,,1,3,16,8,0,0,,2,3,1,0,0,,,0,0,
1,1688,José Ramiro Funes Mori,José Ramiro,Funes Mori,31,1991-03-05,Mendoza,Argentina,Argentina,186 cm,79 kg,False,https://media.api-sports.io/football/players/1688.png,45,Everton,https://media.api-sports.io/football/teams/45.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1688,José Ramiro Funes Mori,José Ramiro,Funes Mori,31,1991-03-05,Mendoza,Argentina,Argentina,186 cm,79 kg,False,https://media.api-sports.io/football/players/1688.png,45,Everton,https://media.api-sports.io/football/teams/45.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,1688,José Ramiro Funes Mori,José Ramiro,Funes Mori,31,1991-03-05,Mendoza,Argentina,Argentina,186 cm,79 kg,False,https://media.api-sports.io/football/players/1688.png,45,Everton,https://media.api-sports.io/football/teams/45.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,2795,G. Sigurðsson,Gylfi Þór,Sigurðsson,33,1989-09-08,Reykjavík,Iceland,Iceland,186 cm,79 kg,False,https://media.api-sports.io/football/players/2795.png,45,Everton,https://media.api-sports.io/football/teams/45.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,27,25,2262,,Midfielder,6.892592,False,2,5,4,39,12,4,,3,,524,38,73,38,7,34,226,93,31,20,,16,19,2,0,0,,,0,0,
5,2795,G. Sigurðsson,Gylfi Þór,Sigurðsson,33,1989-09-08,Reykjavík,Iceland,Iceland,186 cm,79 kg,False,https://media.api-sports.io/football/players/2795.png,45,Everton,https://media.api-sports.io/football/teams/45.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,2795,G. Sigurðsson,Gylfi Þór,Sigurðsson,33,1989-09-08,Reykjavík,Iceland,Iceland,186 cm,79 kg,False,https://media.api-sports.io/football/players/2795.png,45,Everton,https://media.api-sports.io/football/teams/45.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Midfielder,6.700000,False,0,0,0,1,1,1,,,,14,0,73,,,2,14,3,1,1,,1,1,0,0,0,,,0,0,
7,2795,G. Sigurðsson,Gylfi Þór,Sigurðsson,33,1989-09-08,Reykjavík,Iceland,Iceland,186 cm,79 kg,False,https://media.api-sports.io/football/players/2795.png,45,Everton,https://media.api-sports.io/football/teams/45.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,5,4,393,,Midfielder,6.975000,False,1,0,1,6,3,1,,2,,84,7,77,,,1,44,16,2,1,,5,5,1,0,0,,,0,0,
8,2990,I. Gueye,Idrissa Gana,Gueye,33,1989-09-26,Dakar,Senegal,Senegal,174 cm,66 kg,False,https://media.api-sports.io/football/players/2990.png,45,Everton,https://media.api-sports.io/football/teams/45.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,33,32,2757,,Midfielder,7.027272,False,1,7,2,23,7,2,,1,,1327,16,83,117,9,63,392,220,27,18,,52,50,7,1,0,,,0,0,
9,2990,I. Gueye,Idrissa Gana,Gueye,33,1989-09-26,Dakar,Senegal,Senegal,174 cm,66 kg,False,https://media.api-sports.io/football/players/2990.png,45,Everton,https://media.api-sports.io/football/teams/45.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
