,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1805,M. Hinteregger,Martin Josef,Hinteregger,30,1992-09-07,Sankt Veit an der Glan,Austria,Austria,186 cm,82 kg,False,https://media.api-sports.io/football/players/1805.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,30,29,2654,,Defender,7.023333,False,1,0,1,26,4,0,,,,1046,8,76,12,4,49,266,162,11,2,,22,27,3,0,0,,,0,0,
1,1805,M. Hinteregger,Martin Josef,Hinteregger,30,1992-09-07,Sankt Veit an der Glan,Austria,Austria,186 cm,82 kg,False,https://media.api-sports.io/football/players/1805.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,1,90,,Defender,6.800000,False,0,0,0,0,0,0,,,,38,1,77,,,0,3,2,1,0,,0,0,0,0,0,,,0,0,
2,2457,S. Córdova,Sergio Duvan,Córdova Lezama,25,1997-08-09,Calabozo,Venezuela,Venezuela,188 cm,87 kg,False,https://media.api-sports.io/football/players/2457.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,26,3,566,,Attacker,6.620000,False,23,3,25,14,6,2,,,,110,8,77,4,0,0,113,37,16,6,,12,21,3,0,0,,,0,0,
3,2457,S. Córdova,Sergio Duvan,Córdova Lezama,25,1997-08-09,Calabozo,Venezuela,Venezuela,188 cm,87 kg,False,https://media.api-sports.io/football/players/2457.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,0,22,,Attacker,6.300000,False,1,0,1,1,0,0,,,,7,0,87,,,0,5,2,0,0,,1,2,0,0,0,,,0,0,
4,2605,T. Usami,Takashi,Usami,30,1992-05-06,Nagaokakyō,Japan,Japan,178 cm,69 kg,False,https://media.api-sports.io/football/players/2605.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2605,T. Usami,Takashi,Usami,30,1992-05-06,Nagaokakyō,Japan,Japan,178 cm,69 kg,False,https://media.api-sports.io/football/players/2605.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,6.300000,False,0,0,0,1,0,0,,,,10,1,90,,,0,3,1,1,1,,0,1,0,0,0,,,0,0,
6,2911,Ji Dong-Won,Dong-Won,Ji,31,1991-05-28,Jeju,Korea Republic,Korea Republic,188 cm,81 kg,False,https://media.api-sports.io/football/players/2911.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,3,0,17,,Attacker,6.500000,False,3,0,8,0,0,0,,,,2,0,44,,,1,5,2,0,0,,0,2,0,0,0,,,0,0,
7,2911,Ji Dong-Won,Dong-Won,Ji,31,1991-05-28,Jeju,Korea Republic,Korea Republic,188 cm,81 kg,False,https://media.api-sports.io/football/players/2911.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,6727,Raúl Marcelo Bobadilla,Raúl Marcelo,Bobadilla,35,1987-06-18,Formosa,Argentina,Paraguay,182 cm,87 kg,False,https://media.api-sports.io/football/players/6727.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,6.581818,False,0,0,0,15,7,0,,,,87,6,64,,,0,92,30,18,6,,12,17,0,0,0,,,0,0,
9,6727,Raúl Marcelo Bobadilla,Raúl Marcelo,Bobadilla,35,1987-06-18,Formosa,Argentina,Paraguay,182 cm,87 kg,False,https://media.api-sports.io/football/players/6727.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Attacker,6.500000,False,0,0,0,0,0,0,,,,0,0,0,,,0,3,1,0,0,,1,0,0,0,0,,,0,0,
10,8449,D. Opare,Daniel Tawiah,Opare,32,1990-10-18,Accra,Ghana,Ghana,173 cm,74 kg,False,https://media.api-sports.io/football/players/8449.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,17,17,1419,,Defender,6.947058,False,0,2,2,5,1,0,,,,259,6,63,,,28,175,100,48,24,,22,20,6,0,0,,,0,0,
11,8449,D. Opare,Daniel Tawiah,Opare,32,1990-10-18,Accra,Ghana,Ghana,173 cm,74 kg,False,https://media.api-sports.io/football/players/8449.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,19075,M. Leitner,Moritz,Leitner,30,1992-12-08,München,Germany,Germany,174 cm,69 kg,False,https://media.api-sports.io/football/players/19075.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,19075,M. Leitner,Moritz,Leitner,30,1992-12-08,München,Germany,Germany,174 cm,69 kg,False,https://media.api-sports.io/football/players/19075.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,25045,Marcel Heller,Marcel,Heller,36,1986-02-12,Frechen,Germany,Germany,175 cm,70 kg,False,https://media.api-sports.io/football/players/25045.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,24,14,1301,,Midfielder,6.578260,False,10,11,17,11,4,0,,1,,173,16,63,,1,10,162,63,19,8,,15,22,1,0,1,1,,0,0,
15,25045,Marcel Heller,Marcel,Heller,36,1986-02-12,Frechen,Germany,Germany,175 cm,70 kg,False,https://media.api-sports.io/football/players/25045.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,1,68,,Midfielder,6.200000,False,0,1,0,1,0,0,,,,7,0,53,,,0,4,0,0,0,,0,1,0,0,0,,,0,0,
16,25157,S. Parker,Shawn,Parker,28,1993-03-07,Wiesbaden,Germany,Germany,181 cm,78 kg,False,https://media.api-sports.io/football/players/25157.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,2,0,44,,Midfielder,6.300000,False,2,0,12,0,0,0,,,,5,1,75,,,0,5,1,1,0,,1,1,1,0,0,,,0,0,
17,25157,S. Parker,Shawn,Parker,28,1993-03-07,Wiesbaden,Germany,Germany,181 cm,78 kg,False,https://media.api-sports.io/football/players/25157.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,25281,F. Giefer,Fabian,Giefer,31,1990-05-17,Adenau,Germany,Germany,196 cm,93 kg,False,https://media.api-sports.io/football/players/25281.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
19,25281,F. Giefer,Fabian,Giefer,31,1990-05-17,Adenau,Germany,Germany,196 cm,93 kg,False,https://media.api-sports.io/football/players/25281.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,25286,J. Callsen-Bracker,Jan-Ingwer,Callsen-Bracker,37,1984-09-23,Schleswig,Germany,Germany,188 cm,84 kg,False,https://media.api-sports.io/football/players/25286.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,25286,J. Callsen-Bracker,Jan-Ingwer,Callsen-Bracker,37,1984-09-23,Schleswig,Germany,Germany,188 cm,84 kg,False,https://media.api-sports.io/football/players/25286.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
22,25287,K. Danso,Kevin,Danso,24,1998-09-19,Voitsberg,Austria,Austria,190 cm,89 kg,False,https://media.api-sports.io/football/players/25287.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,16,13,1107,,Defender,6.906666,False,3,5,11,9,4,2,,,,362,3,68,2,0,20,133,70,11,5,,17,18,2,0,0,,,0,0,
23,25287,K. Danso,Kevin,Danso,24,1998-09-19,Voitsberg,Austria,Austria,190 cm,89 kg,False,https://media.api-sports.io/football/players/25287.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
24,25291,C. Janker,Christoph,Janker,36,1985-02-14,Cham,Germany,Germany,185 cm,78 kg,False,https://media.api-sports.io/football/players/25291.png,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,5,0,73,,Defender,5.825000,False,5,0,14,0,0,0,,,,6,0,50,2,0,1,12,6,0,0,,0,1,0,0,0,,1,0,0,
