,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,94,Naldo,Ronaldo,Aparecido Rodrigues,39,1982-09-10,Londrina,Brazil,Brazil,198 cm,91 kg,False,https://media.api-sports.io/football/players/94.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,34,34,3060,,Defender,7.400000,False,0,0,0,47,20,7,,2,,1453,15,83,13,7,55,330,237,13,9,,18,34,4,0,0,,2,0,0,
1,94,Naldo,Ronaldo,Aparecido Rodrigues,39,1982-09-10,Londrina,Brazil,Brazil,198 cm,91 kg,False,https://media.api-sports.io/football/players/94.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,4,4,360,,Defender,7.175000,False,0,0,0,2,0,0,,,,224,0,83,1,0,11,32,25,1,0,,2,2,1,0,0,,,0,0,
2,94,Naldo,Ronaldo,Aparecido Rodrigues,39,1982-09-10,Londrina,Brazil,Brazil,198 cm,91 kg,False,https://media.api-sports.io/football/players/94.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,Club Friendlies,,,,2017,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,261,T. Kehrer,Jan Thilo,Kehrer,26,1996-09-21,Tübingen,Germany,Germany,186 cm,76 kg,False,https://media.api-sports.io/football/players/261.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,28,27,2365,,Defender,7.164285,False,1,2,5,17,9,3,,,,996,11,78,14,1,35,295,180,24,15,,29,35,4,0,0,1,,0,0,
4,261,T. Kehrer,Jan Thilo,Kehrer,26,1996-09-21,Tübingen,Germany,Germany,186 cm,76 kg,False,https://media.api-sports.io/football/players/261.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,5,5,397,,Defender,7.180000,False,0,2,0,2,1,0,,,,242,1,86,,0,14,50,29,2,1,,2,9,1,0,0,,,0,0,
5,399,A. Nübel,Alexander,Nübel,26,1996-09-30,Paderborn,Germany,Germany,193 cm,86 kg,False,https://media.api-sports.io/football/players/399.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,1,0,44,,Goalkeeper,6.800000,False,1,0,34,0,0,0,0,,2,11,0,57,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
6,399,A. Nübel,Alexander,Nübel,26,1996-09-30,Paderborn,Germany,Germany,193 cm,86 kg,False,https://media.api-sports.io/football/players/399.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,399,A. Nübel,Alexander,Nübel,26,1996-09-30,Paderborn,Germany,Germany,193 cm,86 kg,False,https://media.api-sports.io/football/players/399.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,Club Friendlies,,,,2017,1,1,90,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,405,S. Riether,Sascha,Riether,38,1983-03-23,Lahr,Germany,Germany,176 cm,72 kg,False,https://media.api-sports.io/football/players/405.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,6,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,405,S. Riether,Sascha,Riether,38,1983-03-23,Lahr,Germany,Germany,176 cm,72 kg,False,https://media.api-sports.io/football/players/405.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,407,B. Stambouli,Benjamin,Stambouli,32,1990-08-13,Marseille,France,France,180 cm,82 kg,False,https://media.api-sports.io/football/players/407.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,28,24,2195,,Midfielder,6.975000,False,4,2,8,0,0,0,,2,,1071,9,74,24,1,64,281,160,18,8,,15,45,4,0,0,,2,0,0,
11,407,B. Stambouli,Benjamin,Stambouli,32,1990-08-13,Marseille,France,France,180 cm,82 kg,False,https://media.api-sports.io/football/players/407.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,4,3,314,,Midfielder,7.100000,False,1,0,2,0,0,0,,,,179,0,75,3,0,9,36,22,2,2,,2,4,0,0,0,,,0,0,
12,407,B. Stambouli,Benjamin,Stambouli,32,1990-08-13,Marseille,France,France,180 cm,82 kg,False,https://media.api-sports.io/football/players/407.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,Club Friendlies,,,,2017,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,409,N. Bentaleb,Nabil,Bentaleb,28,1994-11-24,Lille,France,Algeria,187 cm,78 kg,False,https://media.api-sports.io/football/players/409.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,16,12,1010,,Midfielder,6.693750,False,4,3,10,15,8,4,,3,,430,9,80,4,0,23,108,48,12,5,,6,25,3,0,1,,,4,0,
14,409,N. Bentaleb,Nabil,Bentaleb,28,1994-11-24,Lille,France,Algeria,187 cm,78 kg,False,https://media.api-sports.io/football/players/409.png,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,3,3,237,,Midfielder,7.233333,False,0,1,1,4,1,0,,,,113,2,81,1,0,8,21,12,6,4,,1,4,0,0,0,,,0,0,
