,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1821,F. Kostić,Filip,Kostić,30,1992-11-01,Kragujevac,Serbia,Serbia,184 cm,84 kg,False,https://media.api-sports.io/football/players/1821.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,30,27,2412,,Midfielder,6.740000,False,3,6,3,66,30,5,,1,,410,31,60,9,0,10,398,152,123,34,,40,35,2,0,0,,1,0,2,
1,1821,F. Kostić,Filip,Kostić,30,1992-11-01,Kragujevac,Serbia,Serbia,184 cm,84 kg,False,https://media.api-sports.io/football/players/1821.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,7707,B. Thoelke,Bjarne,Thoelke,30,1992-04-11,Gifhorn,Germany,Germany,191 cm,84 kg,False,https://media.api-sports.io/football/players/7707.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,7707,B. Thoelke,Bjarne,Thoelke,30,1992-04-11,Gifhorn,Germany,Germany,191 cm,84 kg,False,https://media.api-sports.io/football/players/7707.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,15754,M. Steinmann,Ville Matti,Steinmann,27,1995-01-08,Hamburg,Germany,Germany,189 cm,79 kg,False,https://media.api-sports.io/football/players/15754.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,8,8,601,,Midfielder,6.712500,False,0,5,0,3,1,0,,,,350,5,81,8,1,18,100,51,11,8,,10,14,2,0,0,,,0,0,
5,24863,T. Mickel,Tom,Mickel,33,1989-04-19,Hoyerswerda,Germany,Germany,185 cm,84 kg,False,https://media.api-sports.io/football/players/24863.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,24863,T. Mickel,Tom,Mickel,33,1989-04-19,Hoyerswerda,Germany,Germany,185 cm,84 kg,False,https://media.api-sports.io/football/players/24863.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,24864,J. Pollersbeck,Julian,Pollersbeck,28,1994-08-16,Emmerting,Germany,Germany,195 cm,87 kg,False,https://media.api-sports.io/football/players/24864.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,10,10,900,,Goalkeeper,6.740000,False,0,0,22,0,0,0,15,,32,356,0,69,,0,0,2,1,0,0,,0,0,1,0,0,,,0,0,0
8,24864,J. Pollersbeck,Julian,Pollersbeck,28,1994-08-16,Emmerting,Germany,Germany,195 cm,87 kg,False,https://media.api-sports.io/football/players/24864.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,24866,Douglas Santos,Douglas,dos Santos Justino de Melo,28,1994-03-22,João Pessoa,Brazil,Brazil,176 cm,74 kg,False,https://media.api-sports.io/football/players/24866.png,175,Hamburger SV,https://media.api-sports.io/football/teams/175.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,27,26,2378,,Defender,6.988888,False,1,1,4,22,7,1,,1,,782,22,69,14,1,56,358,185,78,41,,19,39,6,0,0,,,0,0,
