,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,24855,M. Schmiedebach,Manuel,Schmiedebach,32,1988-12-05,Berlin,Germany,Germany,171 cm,70 kg,False,https://media.api-sports.io/football/players/24855.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,6,2,163,,Midfielder,6.480000,False,4,2,11,0,0,0,,,,47,3,57,,,5,27,7,0,0,,1,4,1,0,0,,,0,0,
1,24855,M. Schmiedebach,Manuel,Schmiedebach,32,1988-12-05,Berlin,Germany,Germany,171 cm,70 kg,False,https://media.api-sports.io/football/players/24855.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,1,65,,Midfielder,7.000000,False,0,1,1,0,0,0,,,,33,1,91,,,0,8,4,1,0,,0,1,0,0,0,,,0,0,
2,25327,M. Harnik,Martin,Harnik,34,1987-06-10,Hamburg,Germany,Austria,185 cm,75 kg,False,https://media.api-sports.io/football/players/25327.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,30,21,1888,,Attacker,6.873333,False,9,9,11,49,23,9,,2,,377,18,68,2,1,8,284,110,28,13,,21,40,2,0,0,,1,0,0,
3,25327,M. Harnik,Martin,Harnik,34,1987-06-10,Hamburg,Germany,Austria,185 cm,75 kg,False,https://media.api-sports.io/football/players/25327.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,2,2,180,,Attacker,8.250000,False,0,0,0,7,4,2,,1,,60,5,86,,,1,28,15,1,1,,4,0,0,0,0,,,0,0,
4,25363,M. Esser,Michael,Esser,35,1987-11-22,Castrop-Rauxel,Germany,Germany,198 cm,97 kg,False,https://media.api-sports.io/football/players/25363.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,3,3,270,,Goalkeeper,6.333333,False,0,0,30,0,0,0,9,,11,73,0,71,,0,0,3,2,0,0,,0,0,0,0,0,,,0,0,0
5,25363,M. Esser,Michael,Esser,35,1987-11-22,Castrop-Rauxel,Germany,Germany,198 cm,97 kg,False,https://media.api-sports.io/football/players/25363.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,1,90,,Goalkeeper,6.300000,False,0,0,1,0,0,0,1,,0,38,0,82,,,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
6,25364,S. Şahin-Radlinger,Samuel,Şahin-Radlinger,30,1992-11-07,Ried im Innkreis,Austria,Austria,198 cm,94 kg,False,https://media.api-sports.io/football/players/25364.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,25364,S. Şahin-Radlinger,Samuel,Şahin-Radlinger,30,1992-11-07,Ried im Innkreis,Austria,Austria,198 cm,94 kg,False,https://media.api-sports.io/football/players/25364.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,25367,Miiko Martín Albornoz Inola,Miiko Martín,Albornoz Inola,32,1990-11-30,Stockholm,Sweden,Chile,180 cm,80 kg,False,https://media.api-sports.io/football/players/25367.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2017,10,7,700,,Defender,6.930000,False,3,0,13,4,1,0,,2,,236,8,75,14,2,5,95,57,13,9,,14,9,1,0,0,,,0,0,
9,25367,Miiko Martín Albornoz Inola,Miiko Martín,Albornoz Inola,32,1990-11-30,Stockholm,Sweden,Chile,180 cm,80 kg,False,https://media.api-sports.io/football/players/25367.png,166,Hannover 96,https://media.api-sports.io/football/teams/166.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2017,1,1,90,,Defender,6.900000,False,0,0,0,0,0,0,,,,29,1,72,,,1,4,3,0,0,,1,1,0,0,0,,,0,0,
