,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,8542,Imoh Ezekiel,Imoh,Ezekiel,29,1993-10-24,Lagos,Nigeria,Nigeria,178 cm,70 kg,False,https://media.api-sports.io/football/players/8542.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,10,5,468,,Attacker,6.477777,False,5,4,7,7,3,0,,,,91,3,76,5,0,3,62,25,13,7,,7,6,0,0,0,,,0,0,
1,12493,Tana,Pedro Tanausú,Domínguez Placeres,31,1990-09-20,Las Palmas de Gran Canaria,Spain,Spain,169 cm,73 kg,False,https://media.api-sports.io/football/players/12493.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,24,16,1552,,Midfielder,6.665217,False,8,8,9,14,6,1,,1,,673,21,85,2,0,23,202,88,38,19,,36,11,2,0,0,,,0,0,
2,12493,Tana,Pedro Tanausú,Domínguez Placeres,31,1990-09-20,Las Palmas de Gran Canaria,Spain,Spain,169 cm,73 kg,False,https://media.api-sports.io/football/players/12493.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,Copa del Rey,,,,2017-2018,3,2,175,,Midfielder,6.166666,False,1,1,1,1,0,0,,,,80,2,89,,,1,22,5,5,1,,2,4,1,0,0,,,0,0,
3,30524,M. Lemos,Paolo Mauricio,Lemos Merladet,27,1995-12-28,Rivera,Uruguay,Uruguay,187 cm,85 kg,False,https://media.api-sports.io/football/players/30524.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,16,14,1263,,Defender,6.781250,False,2,4,4,16,2,0,,,,729,4,85,,,25,88,45,7,6,,3,18,6,0,0,,1,0,0,
4,30524,M. Lemos,Paolo Mauricio,Lemos Merladet,27,1995-12-28,Rivera,Uruguay,Uruguay,187 cm,85 kg,False,https://media.api-sports.io/football/players/30524.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,Copa del Rey,,,,2017-2018,2,2,180,,Defender,6.650000,False,0,0,0,4,2,0,,,,118,0,88,,,7,17,7,2,1,,1,4,0,0,0,,,0,0,
5,44503,Matías Aguirregaray Guruceaga,Matías,Aguirregaray Guruceaga,33,1989-04-01,Porto Alegre,Brazil,Uruguay,174 cm,78 kg,False,https://media.api-sports.io/football/players/44503.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,15,14,1156,,Defender,6.666666,False,1,4,3,9,0,0,,,,421,6,75,7,1,24,152,75,23,14,,21,19,3,0,0,,,0,0,
6,46707,Borja Herrera González,Borja,Herrera González,29,1993-01-08,Las Palmas de Gran Canaria,Spain,Spain,178 cm,70 kg,False,https://media.api-sports.io/football/players/46707.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,3,3,242,,Defender,6.200000,False,0,1,7,1,0,0,,,,137,1,87,,,3,22,7,5,2,,1,1,0,0,0,,,0,0,
7,46707,Borja Herrera González,Borja,Herrera González,29,1993-01-08,Las Palmas de Gran Canaria,Spain,Spain,178 cm,70 kg,False,https://media.api-sports.io/football/players/46707.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,Copa del Rey,,,,2017-2018,3,2,179,,Defender,6.800000,False,1,1,2,1,0,0,,1,,68,4,74,,,5,26,14,9,4,,2,1,0,0,0,,,0,0,
8,46793,David Simón Rodríguez Santana,David Simón,Rodríguez Santana,34,1988-12-16,Las Palmas de Gran Canaria,Spain,Spain,179 cm,76 kg,False,https://media.api-sports.io/football/players/46793.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,11,6,717,,Defender,6.654545,False,5,1,13,3,1,0,,,,329,10,79,3,1,22,114,55,26,13,,11,17,3,0,0,,,0,0,
9,46793,David Simón Rodríguez Santana,David Simón,Rodríguez Santana,34,1988-12-16,Las Palmas de Gran Canaria,Spain,Spain,179 cm,76 kg,False,https://media.api-sports.io/football/players/46793.png,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,Copa del Rey,,,,2017-2018,4,4,360,,Defender,6.725000,False,0,0,0,0,0,0,,,,140,0,75,,,8,58,27,5,1,,3,10,1,0,0,,,0,0,
