,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,3365,M. El Hacen,Moctar Sidi,El Hacen El Ide,25,1997-12-31,Nouakchott,Mauritania,Mauritania,181 cm,79 kg,False,https://media.api-sports.io/football/players/3365.png,539,Levante,https://media.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,2,1,81,,Midfielder,6.700000,False,1,1,3,0,0,0,,,,25,0,60,,,1,9,5,0,0,,1,1,0,0,0,,,0,0,
1,3365,M. El Hacen,Moctar Sidi,El Hacen El Ide,25,1997-12-31,Nouakchott,Mauritania,Mauritania,181 cm,79 kg,False,https://media.api-sports.io/football/players/3365.png,539,Levante,https://media.api-sports.io/football/teams/539.png,,Copa del Rey,,,,2017-2018,1,1,67,,Midfielder,6.700000,False,0,1,0,0,0,0,,,,25,0,89,,,4,10,4,0,0,,1,4,1,0,0,,,0,0,
2,3429,E. Boateng,Emmanuel Okyere,Boateng,26,1996-05-23,Accra,Ghana,Ghana,175 cm,70 kg,False,https://media.api-sports.io/football/players/3429.png,539,Levante,https://media.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,25,10,1266,,Attacker,6.858333,False,15,5,18,42,16,6,,,,143,7,60,2,0,5,266,129,24,15,,37,41,5,0,0,1,1,0,0,
3,3429,E. Boateng,Emmanuel Okyere,Boateng,26,1996-05-23,Accra,Ghana,Ghana,175 cm,70 kg,False,https://media.api-sports.io/football/players/3429.png,539,Levante,https://media.api-sports.io/football/teams/539.png,,Copa del Rey,,,,2017-2018,4,3,314,,Attacker,6.725000,False,1,0,1,6,3,1,,,,28,0,48,,,0,80,42,3,1,,12,11,1,0,0,,,0,0,
4,30941,Giampaolo Pazzini,Giampaolo,Pazzini,36,1984-08-02,Pescia,Italy,Italy,180 cm,77 kg,False,https://media.api-sports.io/football/players/30941.png,539,Levante,https://media.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,9,5,444,,Attacker,6.488888,False,4,3,8,10,4,1,,,,43,0,57,,0,1,53,18,5,3,,11,10,1,0,0,,,0,0,
5,44617,Fahad Mosaed Al Muwallad Al Harbi,Fahad Mosaed,Al Muwallad Al Harbi,28,1994-09-14,Jiddah,Saudi Arabia,Saudi Arabia,167 cm,59 kg,False,https://media.api-sports.io/football/players/44617.png,539,Levante,https://media.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,2,0,25,,Attacker,6.350000,False,2,0,4,0,0,0,,,,6,0,58,,0,1,4,0,1,0,,0,1,0,0,0,,,0,0,
6,46892,Ivi López,Iván,López Álvarez,28,1994-06-29,Madrid,Spain,Spain,174 cm,70 kg,False,https://media.api-sports.io/football/players/46892.png,539,Levante,https://media.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,29,17,1757,,Midfielder,6.703448,False,12,8,15,39,10,4,,3,,416,23,75,5,1,15,301,111,66,33,,20,40,3,0,0,1,,1,0,
7,46892,Ivi López,Iván,López Álvarez,28,1994-06-29,Madrid,Spain,Spain,174 cm,70 kg,False,https://media.api-sports.io/football/players/46892.png,539,Levante,https://media.api-sports.io/football/teams/539.png,,Copa del Rey,,,,2017-2018,3,0,89,,Midfielder,7.000000,False,3,0,3,4,2,1,,,,17,0,66,,,1,12,5,2,2,,1,2,1,0,0,,,0,0,
8,46898,Álex Alegría,Alexander,Alegría Moreno,30,1992-10-10,Plasencia,Spain,Spain,190 cm,82 kg,False,https://media.api-sports.io/football/players/46898.png,539,Levante,https://media.api-sports.io/football/teams/539.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,9,8,632,,Attacker,6.633333,False,1,5,2,14,2,0,,,,111,3,69,,,4,117,51,6,1,,18,16,1,0,0,,,0,0,
9,46898,Álex Alegría,Alexander,Alegría Moreno,30,1992-10-10,Plasencia,Spain,Spain,190 cm,82 kg,False,https://media.api-sports.io/football/players/46898.png,539,Levante,https://media.api-sports.io/football/teams/539.png,,Copa del Rey,,,,2017-2018,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
