,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,282,S. Mignolet,Simon Luc Hildebert,Mignolet,34,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,87 kg,False,https://media.api-sports.io/football/players/282.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,19,19,1710,,Goalkeeper,6.684210,False,0,0,18,0,0,0,24,,36,346,0,69,2,0,0,13,9,1,1,,2,2,3,0,0,,,0,0,1
1,282,S. Mignolet,Simon Luc Hildebert,Mignolet,34,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,87 kg,False,https://media.api-sports.io/football/players/282.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,282,S. Mignolet,Simon Luc Hildebert,Mignolet,34,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,87 kg,False,https://media.api-sports.io/football/players/282.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Goalkeeper,6.200000,False,0,0,0,0,0,0,3,,1,18,0,75,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
3,282,S. Mignolet,Simon Luc Hildebert,Mignolet,34,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,87 kg,False,https://media.api-sports.io/football/players/282.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,2,2,180,,Goalkeeper,7.000000,False,0,0,13,0,0,0,3,,4,50,0,79,,,1,0,0,0,0,,0,0,0,0,0,,,0,0,1
4,282,S. Mignolet,Simon Luc Hildebert,Mignolet,34,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,87 kg,False,https://media.api-sports.io/football/players/282.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,,Club Friendlies,,,,2017,4,3,242,,Goalkeeper,,False,1,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,282,S. Mignolet,Simon Luc Hildebert,Mignolet,34,1988-03-06,Sint-Truiden,Belgium,Belgium,193 cm,87 kg,False,https://media.api-sports.io/football/players/282.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,6,Africa Cup of Nations,World,https://media.api-sports.io/football/leagues/6.png,,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,288,Alberto Moreno,Alberto,Moreno Pérez,30,1992-07-05,Sevilla,Spain,Spain,171 cm,65 kg,False,https://media.api-sports.io/football/players/288.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,16,14,1264,,Defender,7.042857,False,2,0,10,12,2,0,,,,659,15,82,35,2,12,116,69,9,6,,19,8,1,0,0,,,0,0,
7,288,Alberto Moreno,Alberto,Moreno Pérez,30,1992-07-05,Sevilla,Spain,Spain,171 cm,65 kg,False,https://media.api-sports.io/football/players/288.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,288,Alberto Moreno,Alberto,Moreno Pérez,30,1992-07-05,Sevilla,Spain,Spain,171 cm,65 kg,False,https://media.api-sports.io/football/players/288.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Defender,7.200000,False,0,0,0,0,0,0,,,,54,1,87,,,2,7,5,0,0,,0,0,0,0,0,,,0,0,
9,288,Alberto Moreno,Alberto,Moreno Pérez,30,1992-07-05,Sevilla,Spain,Spain,171 cm,65 kg,False,https://media.api-sports.io/football/players/288.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,10,9,743,,Defender,7.280000,False,1,2,6,9,2,0,,3,,443,14,73,,0,12,66,41,6,4,,9,7,2,0,0,,1,0,0,
10,288,Alberto Moreno,Alberto,Moreno Pérez,30,1992-07-05,Sevilla,Spain,Spain,171 cm,65 kg,False,https://media.api-sports.io/football/players/288.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,,Club Friendlies,,,,2017,3,3,149,,Defender,,False,0,3,0,,,1,,,,,,,,,,,,,,,,,1,0,0,,,,,
11,288,Alberto Moreno,Alberto,Moreno Pérez,30,1992-07-05,Sevilla,Spain,Spain,171 cm,65 kg,False,https://media.api-sports.io/football/players/288.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,6,Africa Cup of Nations,World,https://media.api-sports.io/football/leagues/6.png,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,298,Rafael Camacho,Rafael Euclides,Soares Camacho,22,2000-05-22,Lisboa,Portugal,Portugal,175 cm,65 kg,False,https://media.api-sports.io/football/players/298.png,40,Liverpool,https://media.api-sports.io/football/teams/40.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
