,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2444,Roberto José Rosales Altuve,Roberto José,Rosales Altuve,34,1988-11-20,Caracas,Venezuela,Venezuela,174 cm,73 kg,False,https://media.api-sports.io/football/players/2444.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,35,35,3125,,Defender,7.031428,False,0,2,1,18,6,1,,,,1052,54,73,12,4,58,357,193,34,18,,22,47,10,0,0,1,2,0,0,
1,2444,Roberto José Rosales Altuve,Roberto José,Rosales Altuve,34,1988-11-20,Caracas,Venezuela,Venezuela,174 cm,73 kg,False,https://media.api-sports.io/football/players/2444.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,,Copa del Rey,,,,2017-2018,1,0,5,,Defender,6.200000,False,1,0,2,0,0,0,,,,1,0,33,,,1,0,0,0,0,,0,0,0,0,0,,,0,0,
2,46819,Juan Carlos Pérez López,Juan Carlos,Pérez López,32,1990-03-30,Boadillo del Camino,Spain,Spain,179 cm,70 kg,False,https://media.api-sports.io/football/players/46819.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,10,9,784,,Defender,6.730000,False,1,1,1,2,0,0,,,,239,11,74,,,19,78,42,11,6,,8,9,2,0,0,,,0,0,
3,46819,Juan Carlos Pérez López,Juan Carlos,Pérez López,32,1990-03-30,Boadillo del Camino,Spain,Spain,179 cm,70 kg,False,https://media.api-sports.io/football/players/46819.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,46820,F. Ricca,Federico,Ricca Rostagnol,28,1994-12-01,Tarariras,Uruguay,Uruguay,179 cm,72 kg,False,https://media.api-sports.io/football/players/46820.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,14,13,1111,,Defender,6.878571,False,1,3,3,5,3,0,,1,,281,6,60,1,0,24,129,82,8,7,,6,18,4,0,0,,,0,0,
5,46820,F. Ricca,Federico,Ricca Rostagnol,28,1994-12-01,Tarariras,Uruguay,Uruguay,179 cm,72 kg,False,https://media.api-sports.io/football/players/46820.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,46821,Iván Rodríguez,Iván,Rodríguez del Pozo,26,1996-04-30,Alameda,Spain,Spain,180 cm,70 kg,False,https://media.api-sports.io/football/players/46821.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,1,0,19,,Defender,6.700000,False,1,0,4,0,0,0,,,,10,0,90,1,0,1,3,1,1,0,,0,1,1,0,0,,,0,0,
7,46823,Miguel Torres Gómez,Miguel,Torres Gómez,33,1986-01-28,Madrid,Spain,Spain,185 cm,81 kg,False,https://media.api-sports.io/football/players/46823.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,8,8,675,,Defender,6.850000,False,0,2,6,2,0,0,,,,207,2,81,9,5,13,45,21,1,0,,0,8,3,0,0,,,0,0,
8,46823,Miguel Torres Gómez,Miguel,Torres Gómez,33,1986-01-28,Madrid,Spain,Spain,185 cm,81 kg,False,https://media.api-sports.io/football/players/46823.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,46829,Mehdi Lacen,Mehdi,Lacen,35,1984-03-15,Versailles,France,Algeria,176 cm,74 kg,False,https://media.api-sports.io/football/players/46829.png,535,Malaga,https://media.api-sports.io/football/teams/535.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,15,12,1063,,Midfielder,6.633333,False,3,7,5,2,1,0,,,,21,0,92,,,0,6,3,0,0,,0,2,2,0,0,,,0,0,
