,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,462,Konstantinos Mitroglou,Konstantinos,Mitroglou,34,1988-03-12,Kavala,Greece,Greece,188 cm,86 kg,False,https://media.api-sports.io/football/players/462.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,19,9,870,,Attacker,7.000000,False,10,4,17,44,20,9,,,,89,11,56,,0,0,61,29,2,1,,3,11,2,0,0,,,0,0,
1,462,Konstantinos Mitroglou,Konstantinos,Mitroglou,34,1988-03-12,Kavala,Greece,Greece,188 cm,86 kg,False,https://media.api-sports.io/football/players/462.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Attacker,,False,0,0,0,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,462,Konstantinos Mitroglou,Konstantinos,Mitroglou,34,1988-03-12,Kavala,Greece,Greece,188 cm,86 kg,False,https://media.api-sports.io/football/players/462.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,3,3,220,,Attacker,,False,0,2,0,,,3,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,462,Konstantinos Mitroglou,Konstantinos,Mitroglou,34,1988-03-12,Kavala,Greece,Greece,188 cm,86 kg,False,https://media.api-sports.io/football/players/462.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,7,4,384,,Attacker,6.585714,False,3,1,6,8,3,0,,,,50,2,63,,0,1,37,16,3,1,,3,9,2,0,0,,,0,0,
4,1013,G. Sertic,Grégory,Sertic,31,1989-08-05,Brétigny sur Orge,France,France,183 cm,76 kg,False,https://media.api-sports.io/football/players/1013.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,7,3,346,,Midfielder,6.333333,False,4,0,12,6,2,0,,,,171,1,85,1,3,6,38,18,1,1,,3,10,1,0,0,,1,0,0,
5,1013,G. Sertic,Grégory,Sertic,31,1989-08-05,Brétigny sur Orge,France,France,183 cm,76 kg,False,https://media.api-sports.io/football/players/1013.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,1013,G. Sertic,Grégory,Sertic,31,1989-08-05,Brétigny sur Orge,France,France,183 cm,76 kg,False,https://media.api-sports.io/football/players/1013.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,4,1,190,,Midfielder,,False,3,0,9,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
7,1896,Florian Escales,Florian,Escales,26,1996-02-03,Aix-en-Provence,France,France,184 cm,78 kg,False,https://media.api-sports.io/football/players/1896.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Goalkeeper,,False,0,0,7,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,1896,Florian Escales,Florian,Escales,26,1996-02-03,Aix-en-Provence,France,France,184 cm,78 kg,False,https://media.api-sports.io/football/players/1896.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,1896,Florian Escales,Florian,Escales,26,1996-02-03,Aix-en-Provence,France,France,184 cm,78 kg,False,https://media.api-sports.io/football/players/1896.png,81,Marseille,https://media.api-sports.io/football/teams/81.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
