,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1405,T. Didillon,Thomas,Didillon,27,1995-11-28,Seclin,France,France,193 cm,80 kg,False,https://media.api-sports.io/football/players/1405.png,112,Metz,https://media.api-sports.io/football/teams/112.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,9,9,810,,Goalkeeper,6.544444,False,0,0,12,0,0,0,14,,22,130,1,55,,0,0,4,3,0,0,,2,0,0,0,0,,,0,0,0
1,1405,T. Didillon,Thomas,Didillon,27,1995-11-28,Seclin,France,France,193 cm,80 kg,False,https://media.api-sports.io/football/players/1405.png,112,Metz,https://media.api-sports.io/football/teams/112.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,180,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1657,Milan Biševac,Milan,Biševac,39,1983-08-31,Kosovska Mitrovica,Serbia,Serbia,185 cm,81 kg,False,https://media.api-sports.io/football/players/1657.png,112,Metz,https://media.api-sports.io/football/teams/112.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,10,10,714,,Defender,6.690000,False,0,4,2,5,1,0,,,,269,2,79,,,5,30,16,1,1,,4,4,1,0,0,,1,0,0,
3,8648,D. Miličević,Danijel,Miličević,35,1986-01-05,Bellinzona,Switzerland,Bosnia and Herzegovina,171 cm,61 kg,False,https://media.api-sports.io/football/players/8648.png,112,Metz,https://media.api-sports.io/football/teams/112.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,12,8,714,,Midfielder,6.866666,False,4,6,8,6,3,0,,3,,196,21,73,,0,3,65,27,6,2,,10,5,0,0,0,1,,0,0,
4,8648,D. Miličević,Danijel,Miličević,35,1986-01-05,Bellinzona,Switzerland,Bosnia and Herzegovina,171 cm,61 kg,False,https://media.api-sports.io/football/players/8648.png,112,Metz,https://media.api-sports.io/football/teams/112.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,61,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,20525,M. Udol,Matthieu,Udol,26,1996-03-20,Metz,France,France,178 cm,79 kg,False,https://media.api-sports.io/football/players/20525.png,112,Metz,https://media.api-sports.io/football/teams/112.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,6,3,352,,Defender,6.616666,False,3,0,4,1,0,0,,,,97,0,69,,,5,47,21,7,2,,1,8,0,0,0,,,0,0,
6,20527,R. Cohade,Renaud,Cohade,37,1984-09-29,Aubenas,France,France,181 cm,75 kg,False,https://media.api-sports.io/football/players/20527.png,112,Metz,https://media.api-sports.io/football/teams/112.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,38,38,3301,,Midfielder,6.947368,False,0,4,0,37,7,1,,3,,1513,45,77,21,2,54,574,287,55,30,,27,52,5,0,0,,,0,0,
7,20527,R. Cohade,Renaud,Cohade,37,1984-09-29,Aubenas,France,France,181 cm,75 kg,False,https://media.api-sports.io/football/players/20527.png,112,Metz,https://media.api-sports.io/football/teams/112.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,20527,R. Cohade,Renaud,Cohade,37,1984-09-29,Aubenas,France,France,181 cm,75 kg,False,https://media.api-sports.io/football/players/20527.png,112,Metz,https://media.api-sports.io/football/teams/112.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,2,1,150,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,20530,A. Jallow,Abdoulie,Jallow,24,1998-11-14,Bundung,Gambia,Gambia,166 cm,62 kg,False,https://media.api-sports.io/football/players/20530.png,112,Metz,https://media.api-sports.io/football/teams/112.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,131,,Midfielder,6.550000,False,0,2,2,1,0,0,,,,35,2,83,,,3,19,10,3,2,,3,2,0,0,0,,,0,0,
