,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,445,Y. Belhanda,Younès,Belhanda,32,1990-02-25,Avignon,France,Morocco,177 cm,78 kg,False,https://media.api-sports.io/football/players/445.png,84,Nice,https://media.api-sports.io/football/teams/84.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1917,M. Balotelli,Mario,Barwuah Balotelli,32,1990-08-12,Palermo,Italy,Italy,189 cm,88 kg,False,https://media.api-sports.io/football/players/1917.png,84,Nice,https://media.api-sports.io/football/teams/84.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,28,26,2279,,Attacker,7.425000,False,2,11,2,108,52,18,,1,,587,33,77,1,0,8,293,141,49,31,,72,60,11,0,1,1,,6,1,
2,1917,M. Balotelli,Mario,Barwuah Balotelli,32,1990-08-12,Palermo,Italy,Italy,189 cm,88 kg,False,https://media.api-sports.io/football/players/1917.png,84,Nice,https://media.api-sports.io/football/teams/84.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Attacker,,False,0,0,0,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,1917,M. Balotelli,Mario,Barwuah Balotelli,32,1990-08-12,Palermo,Italy,Italy,189 cm,88 kg,False,https://media.api-sports.io/football/players/1917.png,84,Nice,https://media.api-sports.io/football/teams/84.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,7,6,527,,Attacker,7.914285,False,1,2,1,38,12,6,,1,,186,7,74,,,1,57,36,13,11,,16,11,3,0,0,1,,2,0,
4,1917,M. Balotelli,Mario,Barwuah Balotelli,32,1990-08-12,Palermo,Italy,Italy,189 cm,88 kg,False,https://media.api-sports.io/football/players/1917.png,84,Nice,https://media.api-sports.io/football/teams/84.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,2,2,148,,Attacker,6.650000,False,0,2,0,6,1,1,,,,18,0,70,,,0,12,3,3,1,,0,5,1,0,0,,,0,0,
5,2959,B. Srarfi,Bassem,Srarfi,25,1997-06-25,Tunis,Tunisia,Tunisia,176 cm,71 kg,False,https://media.api-sports.io/football/players/2959.png,84,Nice,https://media.api-sports.io/football/teams/84.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,26,10,863,,Midfielder,6.750000,False,16,9,25,24,7,3,,,,300,7,75,2,0,7,142,68,49,25,,20,15,1,0,0,1,,0,0,
6,2959,B. Srarfi,Bassem,Srarfi,25,1997-06-25,Tunis,Tunisia,Tunisia,176 cm,71 kg,False,https://media.api-sports.io/football/players/2959.png,84,Nice,https://media.api-sports.io/football/teams/84.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,82,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,2959,B. Srarfi,Bassem,Srarfi,25,1997-06-25,Tunis,Tunisia,Tunisia,176 cm,71 kg,False,https://media.api-sports.io/football/players/2959.png,84,Nice,https://media.api-sports.io/football/teams/84.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,2,2,167,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2959,B. Srarfi,Bassem,Srarfi,25,1997-06-25,Tunis,Tunisia,Tunisia,176 cm,71 kg,False,https://media.api-sports.io/football/players/2959.png,84,Nice,https://media.api-sports.io/football/teams/84.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,4,1,97,,Midfielder,7.133333,False,3,1,5,2,1,0,,1,,37,1,63,,,2,16,10,6,6,,1,3,1,0,0,,,0,0,
9,2959,B. Srarfi,Bassem,Srarfi,25,1997-06-25,Tunis,Tunisia,Tunisia,176 cm,71 kg,False,https://media.api-sports.io/football/players/2959.png,84,Nice,https://media.api-sports.io/football/teams/84.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,2,2,123,,Midfielder,6.750000,False,0,2,1,1,1,0,,,,24,3,67,,,1,14,8,5,4,,4,2,0,0,0,,,0,0,
10,8478,A. Souquet,Arnaud,Souquet,30,1992-02-12,Paris,France,France,180 cm,72 kg,False,https://media.api-sports.io/football/players/8478.png,84,Nice,https://media.api-sports.io/football/teams/84.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2017,29,27,2415,,Defender,7.082758,False,2,2,4,7,1,0,,2,,1204,13,86,26,7,39,283,178,34,22,,47,25,4,0,0,1,,0,0,
11,8478,A. Souquet,Arnaud,Souquet,30,1992-02-12,Paris,France,France,180 cm,72 kg,False,https://media.api-sports.io/football/players/8478.png,84,Nice,https://media.api-sports.io/football/teams/84.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2017,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
