,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1633,I. Strinić,Ivan,Strinić,32,1987-07-17,Split,Croatia,Croatia,186 cm,78 kg,False,https://media.api-sports.io/football/players/1633.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,17,16,1254,,Defender,6.635294,False,1,6,16,0,0,0,,2,,563,4,82,1,0,22,127,68,19,10,,13,14,2,0,0,,1,0,0,
1,1633,I. Strinić,Ivan,Strinić,32,1987-07-17,Split,Croatia,Croatia,186 cm,78 kg,False,https://media.api-sports.io/football/players/1633.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,1,1,87,,Defender,6.500000,False,0,1,0,0,0,0,,,,46,0,86,,,2,4,1,0,0,,0,1,1,0,0,,,0,0,
2,3013,D. Kownacki,Dawid Igor,Kownacki,25,1997-03-14,Gorzów Wielkopolski,Poland,Poland,186 cm,75 kg,False,https://media.api-sports.io/football/players/3013.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,22,6,808,,Attacker,6.860000,False,16,3,30,21,11,5,,1,,184,8,72,4,0,1,128,60,11,8,,16,15,0,0,0,1,,0,0,
3,3013,D. Kownacki,Dawid Igor,Kownacki,25,1997-03-14,Gorzów Wielkopolski,Poland,Poland,186 cm,75 kg,False,https://media.api-sports.io/football/players/3013.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,2,1,111,,Attacker,,False,1,0,1,,,3,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,3013,D. Kownacki,Dawid Igor,Kownacki,25,1997-03-14,Gorzów Wielkopolski,Poland,Poland,186 cm,75 kg,False,https://media.api-sports.io/football/players/3013.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,,Club Friendlies,,,,2017,1,0,4,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,3449,João Cláudio Gomes Ricciulli,João Cláudio,Gomes Ricciulli,21,1999-10-10,Bissau,Guinea-Bissau,Guinea-Bissau,182 cm,74 kg,False,https://media.api-sports.io/football/players/3449.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,3449,João Cláudio Gomes Ricciulli,João Cláudio,Gomes Ricciulli,21,1999-10-10,Bissau,Guinea-Bissau,Guinea-Bissau,182 cm,74 kg,False,https://media.api-sports.io/football/players/3449.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30452,É. Barreto,Édgar Osvaldo,Barreto Cáceres,38,1984-07-15,Asunción,Paraguay,Paraguay,180 cm,79 kg,False,https://media.api-sports.io/football/players/30452.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,28,24,1971,,Midfielder,6.557142,False,4,10,9,21,6,1,,,,847,19,81,5,0,21,275,130,14,8,,24,29,5,1,0,,1,0,0,
8,30452,É. Barreto,Édgar Osvaldo,Barreto Cáceres,38,1984-07-15,Asunción,Paraguay,Paraguay,180 cm,79 kg,False,https://media.api-sports.io/football/players/30452.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,2,2,180,,Midfielder,7.300000,False,0,0,1,2,1,2,,,,39,1,86,,,0,7,2,0,0,,0,2,1,0,0,,,0,0,
9,30452,É. Barreto,Édgar Osvaldo,Barreto Cáceres,38,1984-07-15,Asunción,Paraguay,Paraguay,180 cm,79 kg,False,https://media.api-sports.io/football/players/30452.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,,Club Friendlies,,,,2017,1,1,75,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,30457,Ognjen Stijepović,Ognjen,Stijepović,23,1999-10-22,,Montenegro,Montenegro,,,False,https://media.api-sports.io/football/players/30457.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,1,0,5,,Midfielder,6.300000,False,1,0,5,0,0,0,,,,1,0,100,,0,0,1,0,0,0,,0,0,0,0,0,,,0,0,
11,30457,Ognjen Stijepović,Ognjen,Stijepović,23,1999-10-22,,Montenegro,Montenegro,,,False,https://media.api-sports.io/football/players/30457.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,30552,M. Leverbe,Maxime Jean Roberto,Leverbe,25,1997-02-15,Villepinte,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/30552.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,30552,M. Leverbe,Maxime Jean Roberto,Leverbe,25,1997-02-15,Villepinte,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/30552.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,30552,M. Leverbe,Maxime Jean Roberto,Leverbe,25,1997-02-15,Villepinte,France,France,188 cm,82 kg,False,https://media.api-sports.io/football/players/30552.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,30612,Christian Puggioni,Christian,Puggioni,40,1981-01-17,Genova,Italy,Italy,187 cm,81 kg,False,https://media.api-sports.io/football/players/30612.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,9,9,810,,Goalkeeper,6.378571,False,0,0,13,0,0,0,32,,39,273,0,65,,0,0,6,6,0,0,,1,1,0,0,0,,,0,0,0
16,30612,Christian Puggioni,Christian,Puggioni,40,1981-01-17,Genova,Italy,Italy,187 cm,81 kg,False,https://media.api-sports.io/football/players/30612.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,3,3,270,,Goalkeeper,6.200000,False,0,0,0,0,0,0,3,,2,22,0,91,,,0,1,1,1,1,,0,0,0,0,0,,,0,0,0
17,30612,Christian Puggioni,Christian,Puggioni,40,1981-01-17,Genova,Italy,Italy,187 cm,81 kg,False,https://media.api-sports.io/football/players/30612.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,,Club Friendlies,,,,2017,1,1,86,,Goalkeeper,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,30860,V. Regini,Vasco,Regini,32,1990-09-09,Cesena,Italy,Italy,185 cm,79 kg,False,https://media.api-sports.io/football/players/30860.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,14,10,1074,,Defender,6.700000,False,4,1,28,2,0,0,,,,538,3,85,,2,11,82,45,12,9,,6,10,2,0,0,,,0,0,
19,30860,V. Regini,Vasco,Regini,32,1990-09-09,Cesena,Italy,Italy,185 cm,79 kg,False,https://media.api-sports.io/football/players/30860.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,3,3,270,,Defender,5.900000,False,0,0,0,0,0,0,,,,44,0,83,,,0,6,2,0,0,,0,3,0,0,0,,1,0,0,
20,30860,V. Regini,Vasco,Regini,32,1990-09-09,Cesena,Italy,Italy,185 cm,79 kg,False,https://media.api-sports.io/football/players/30860.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,,Club Friendlies,,,,2017,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,30916,Andrea Tozzo,Andrea,Tozzo,30,1992-08-30,Riva del Garda,Italy,Italy,192 cm,85 kg,False,https://media.api-sports.io/football/players/30916.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,37,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
22,30916,Andrea Tozzo,Andrea,Tozzo,30,1992-08-30,Riva del Garda,Italy,Italy,192 cm,85 kg,False,https://media.api-sports.io/football/players/30916.png,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2017,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
