,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,560,S. Corchia,Sébastien,Corchia,32,1990-11-01,Noisy le Sec,France,France,176 cm,69 kg,False,https://media.api-sports.io/football/players/560.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,12,9,823,,Defender,6.700000,False,3,5,9,5,3,0,,1,,239,5,78,,,16,96,56,10,5,,22,20,4,0,0,,1,0,0,
1,560,S. Corchia,Sébastien,Corchia,32,1990-11-01,Noisy le Sec,France,France,176 cm,69 kg,False,https://media.api-sports.io/football/players/560.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Copa del Rey,,,,2017-2018,5,5,450,,Defender,7.200000,False,0,1,0,6,0,0,,1,,146,3,76,,,7,53,34,11,8,,7,6,0,0,0,,,0,0,
2,560,S. Corchia,Sébastien,Corchia,32,1990-11-01,Noisy le Sec,France,France,176 cm,69 kg,False,https://media.api-sports.io/football/players/560.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,3,1,104,,Defender,6.900000,False,2,0,5,3,2,0,,,,50,1,43,,,2,14,7,3,1,,2,1,0,0,0,1,,0,0,
3,560,S. Corchia,Sébastien,Corchia,32,1990-11-01,Noisy le Sec,France,France,176 cm,69 kg,False,https://media.api-sports.io/football/players/560.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,1,0,53,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
4,1906,A. Rami,Adil,Rami,37,1985-12-27,,France,France,190 cm,90 kg,False,https://media.api-sports.io/football/players/1906.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2036,Juan Soriano,Juan,Soriano Oropesa,25,1997-08-23,Benacazón,Spain,Spain,185 cm,78 kg,False,https://media.api-sports.io/football/players/2036.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,2036,Juan Soriano,Juan,Soriano Oropesa,25,1997-08-23,Benacazón,Spain,Spain,185 cm,78 kg,False,https://media.api-sports.io/football/players/2036.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Copa del Rey,,,,2017-2018,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,2036,Juan Soriano,Juan,Soriano Oropesa,25,1997-08-23,Benacazón,Spain,Spain,185 cm,78 kg,False,https://media.api-sports.io/football/players/2036.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2036,Juan Soriano,Juan,Soriano Oropesa,25,1997-08-23,Benacazón,Spain,Spain,185 cm,78 kg,False,https://media.api-sports.io/football/players/2036.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,2043,Daniel Carriço,Daniel Filipe,Martins Carriço,34,1988-08-04,Cascais,Portugal,Portugal,180 cm,79 kg,False,https://media.api-sports.io/football/players/2043.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,6,5,459,,Defender,6.833333,False,1,0,5,2,0,0,,,,214,2,71,4,1,10,40,19,0,0,,0,5,1,0,0,,,0,0,
10,2043,Daniel Carriço,Daniel Filipe,Martins Carriço,34,1988-08-04,Cascais,Portugal,Portugal,180 cm,79 kg,False,https://media.api-sports.io/football/players/2043.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Copa del Rey,,,,2017-2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,2043,Daniel Carriço,Daniel Filipe,Martins Carriço,34,1988-08-04,Cascais,Portugal,Portugal,180 cm,79 kg,False,https://media.api-sports.io/football/players/2043.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,0,0,0,,Defender,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,2043,Daniel Carriço,Daniel Filipe,Martins Carriço,34,1988-08-04,Cascais,Portugal,Portugal,180 cm,79 kg,False,https://media.api-sports.io/football/players/2043.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,2053,Roque Mesa,Roque,Mesa Quevedo,33,1989-06-07,Las Palmas de Gran Canaria,Spain,Spain,172 cm,74 kg,False,https://media.api-sports.io/football/players/2053.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,7,4,342,,Midfielder,6.728571,False,3,2,8,1,0,0,,,,201,5,89,10,2,0,40,23,3,3,,6,10,2,0,0,,,0,0,
14,2053,Roque Mesa,Roque,Mesa Quevedo,33,1989-06-07,Las Palmas de Gran Canaria,Spain,Spain,172 cm,74 kg,False,https://media.api-sports.io/football/players/2053.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Copa del Rey,,,,2017-2018,0,0,0,,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,2053,Roque Mesa,Roque,Mesa Quevedo,33,1989-06-07,Las Palmas de Gran Canaria,Spain,Spain,172 cm,74 kg,False,https://media.api-sports.io/football/players/2053.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,2059,W. Ben Yedder,Wissam,Ben Yedder,32,1990-08-12,Sarcelles,France,France,170 cm,68 kg,False,https://media.api-sports.io/football/players/2059.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,25,18,1699,,Attacker,6.756000,False,7,5,19,48,28,9,,3,,371,28,76,,0,5,182,63,30,16,,20,17,2,1,0,,,0,0,
17,2059,W. Ben Yedder,Wissam,Ben Yedder,32,1990-08-12,Sarcelles,France,France,170 cm,68 kg,False,https://media.api-sports.io/football/players/2059.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Copa del Rey,,,,2017-2018,6,3,217,,Attacker,7.200000,False,3,3,6,6,5,3,,2,,76,6,68,,,0,23,8,4,3,,2,2,0,0,0,,,0,0,
18,2059,W. Ben Yedder,Wissam,Ben Yedder,32,1990-08-12,Sarcelles,France,France,170 cm,68 kg,False,https://media.api-sports.io/football/players/2059.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2017,11,10,827,,Attacker,7.445454,False,1,7,2,27,18,10,,,,177,14,76,1,0,6,74,29,11,6,,9,5,2,0,0,1,,2,0,
19,2059,W. Ben Yedder,Wissam,Ben Yedder,32,1990-08-12,Sarcelles,France,France,170 cm,68 kg,False,https://media.api-sports.io/football/players/2059.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,1,1,46,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,22086,T. Kolodziejczak,Timothée,Kolodziejczak,31,1991-10-01,Arras,France,France,185 cm,75 kg,False,https://media.api-sports.io/football/players/22086.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,33173,H. Kiyotake,Hiroshi,Kiyotake,33,1989-11-12,Ōita,Japan,Japan,172 cm,66 kg,False,https://media.api-sports.io/football/players/33173.png,536,Sevilla,https://media.api-sports.io/football/teams/536.png,,Club Friendlies,,,,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
