,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,451,Papa Alioune N'Diaye,Papa Alioune,N'Diaye,32,1990-10-27,Dakar,Senegal,Senegal,180 cm,74 kg,False,https://media.api-sports.io/football/players/451.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,13,13,1140,,Midfielder,6.907692,False,0,2,0,19,6,2,,1,,279,7,81,51,9,14,181,99,21,17,,21,24,5,0,0,,1,0,0,
1,1585,Jesé,Jesé,Rodríguez Ruiz,29,1993-02-26,Las Palmas de Gran Canaria,Spain,Spain,178 cm,72 kg,False,https://media.api-sports.io/football/players/1585.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,13,8,617,,Attacker,6.723076,False,5,8,10,13,5,1,,1,,113,9,78,10,0,0,77,30,24,15,,5,5,0,0,0,1,,0,0,
2,1585,Jesé,Jesé,Rodríguez Ruiz,29,1993-02-26,Las Palmas de Gran Canaria,Spain,Spain,178 cm,72 kg,False,https://media.api-sports.io/football/players/1585.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,3106,Saido Berahino,Saido,Berahino,29,1993-08-04,Bujumbura,Burundi,Burundi,180 cm,82 kg,False,https://media.api-sports.io/football/players/3106.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,15,3,484,,Attacker,6.520000,False,12,2,23,10,4,0,,1,,74,3,75,2,1,1,47,11,2,1,,4,6,0,0,0,1,,0,1,
4,3106,Saido Berahino,Saido,Berahino,29,1993-08-04,Bujumbura,Burundi,Burundi,180 cm,82 kg,False,https://media.api-sports.io/football/players/3106.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Attacker,6.700000,False,0,0,0,3,1,0,,,,15,0,78,,,0,5,1,0,0,,0,0,0,0,0,,,0,0,
5,3106,Saido Berahino,Saido,Berahino,29,1993-08-04,Bujumbura,Burundi,Burundi,180 cm,82 kg,False,https://media.api-sports.io/football/players/3106.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,1,0,44,,Attacker,6.300000,False,1,0,2,1,0,0,,,,12,0,92,,,0,3,1,0,0,,1,0,0,0,0,,,0,0,
6,18928,P. Crouch,Peter,Crouch,40,1981-01-30,Macclesfield,England,England,201 cm,75 kg,False,https://media.api-sports.io/football/players/18928.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,31,14,1554,,Attacker,6.887096,False,17,4,21,23,9,5,,2,,373,21,57,2,4,1,455,259,7,5,,11,40,4,0,0,,,0,0,
7,18928,P. Crouch,Peter,Crouch,40,1981-01-30,Macclesfield,England,England,201 cm,75 kg,False,https://media.api-sports.io/football/players/18928.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,2,2,171,,Attacker,7.250000,False,0,1,0,2,1,1,,,,46,2,70,,,0,23,14,0,0,,3,2,0,0,0,,,0,0,
8,18928,P. Crouch,Peter,Crouch,40,1981-01-30,Macclesfield,England,England,201 cm,75 kg,False,https://media.api-sports.io/football/players/18928.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,0,38,,Attacker,7.300000,False,1,0,1,4,2,0,,,,8,1,80,,,0,10,5,0,0,,0,2,0,0,0,,,0,0,
9,19492,J. Haugaard,Jakob,Let Haugaard,30,1992-05-01,Sundby,Denmark,Denmark,199 cm,87 kg,False,https://media.api-sports.io/football/players/19492.png,75,Stoke City,https://media.api-sports.io/football/teams/75.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Goalkeeper,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
