,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,185,Llorente,Fernando,Llorente Torres,37,1985-02-26,Pamplona,Spain,Spain,193 cm,90 kg,False,https://media.api-sports.io/football/players/185.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,6.658333,False,0,0,0,6,2,0,,,,60,4,66,6,0,0,50,24,1,0,,4,4,0,0,0,,,0,0,
1,185,Llorente,Fernando,Llorente Torres,37,1985-02-26,Pamplona,Spain,Spain,193 cm,90 kg,False,https://media.api-sports.io/football/players/185.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,7.100000,False,0,0,0,11,3,0,,,,113,13,75,,,1,51,23,3,2,,2,5,0,0,0,,,0,0,
2,185,Llorente,Fernando,Llorente Torres,37,1985-02-26,Pamplona,Spain,Spain,193 cm,90 kg,False,https://media.api-sports.io/football/players/185.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,6.700000,False,0,0,0,1,0,0,,,,28,2,64,,,0,10,6,1,1,,1,1,0,0,0,,,0,0,
3,513,Renato Sanches,Renato Júnior,Luz Sanches,25,1997-08-18,Lisboa,Portugal,Portugal,176 cm,70 kg,False,https://media.api-sports.io/football/players/513.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,12,9,704,,Midfielder,6.608333,False,3,5,8,12,0,0,,,,317,7,83,12,1,7,131,59,40,25,,20,8,1,0,0,,,0,0,
4,513,Renato Sanches,Renato Júnior,Luz Sanches,25,1997-08-18,Lisboa,Portugal,Portugal,176 cm,70 kg,False,https://media.api-sports.io/football/players/513.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Midfielder,7.000000,False,0,0,0,3,0,0,,1,,47,3,82,,,0,17,7,5,1,,4,2,0,0,0,,,0,0,
5,513,Renato Sanches,Renato Júnior,Luz Sanches,25,1997-08-18,Lisboa,Portugal,Portugal,176 cm,70 kg,False,https://media.api-sports.io/football/players/513.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,2,2,66,,Midfielder,6.800000,False,0,2,0,4,1,0,,,,58,2,85,,,1,12,5,2,0,,2,1,1,0,0,,,0,0,
6,1370,André Morgan Rami Ayew,André Morgan Rami,Ayew,33,1989-12-17,Lille,France,Ghana,176 cm,72 kg,False,https://media.api-sports.io/football/players/1370.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,12,10,951,,Attacker,6.766666,False,2,3,2,13,7,0,,2,,243,12,80,16,1,5,180,72,15,9,,19,18,3,0,0,1,,0,0,
7,1370,André Morgan Rami Ayew,André Morgan Rami,Ayew,33,1989-12-17,Lille,France,Ghana,176 cm,72 kg,False,https://media.api-sports.io/football/players/1370.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,6.450000,False,0,0,0,2,1,0,,,,45,1,70,,,2,39,11,3,2,,4,2,0,0,0,,,0,0,
8,2053,Roque Mesa,Roque,Mesa Quevedo,33,1989-06-07,Las Palmas de Gran Canaria,Spain,Spain,172 cm,74 kg,False,https://media.api-sports.io/football/players/2053.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,11,9,757,,Midfielder,6.563636,False,2,5,11,7,1,0,,,,420,5,85,20,0,13,87,36,8,5,,10,14,3,0,0,,1,0,0,
9,2053,Roque Mesa,Roque,Mesa Quevedo,33,1989-06-07,Las Palmas de Gran Canaria,Spain,Spain,172 cm,74 kg,False,https://media.api-sports.io/football/players/2053.png,76,Swansea,https://media.api-sports.io/football/teams/76.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,3,3,247,,Midfielder,7.033333,False,0,1,0,0,0,0,,,,167,0,91,,,5,12,7,0,0,,1,3,0,0,0,,,0,0,
