,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,911,Jaume Doménech,Jaume,Doménech Sánchez,32,1990-11-05,Castellón de la Plana,Spain,Spain,185 cm,73 kg,False,https://media.api-sports.io/football/players/911.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,5,5,450,,Goalkeeper,7.100000,False,0,0,33,0,0,0,5,,16,74,0,69,,0,0,2,2,0,0,,1,0,2,0,0,,,0,0,0
1,911,Jaume Doménech,Jaume,Doménech Sánchez,32,1990-11-05,Castellón de la Plana,Spain,Spain,185 cm,73 kg,False,https://media.api-sports.io/football/players/911.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,,Copa del Rey,,,,2017-2018,8,8,750,,Goalkeeper,6.762500,False,0,0,0,0,0,0,8,,17,111,0,64,,,2,5,3,1,1,,0,0,0,0,0,,,0,0,0
2,912,Neto,Norberto,Murara Neto,33,1989-07-19,Araxá,Brazil,Brazil,190 cm,84 kg,False,https://media.api-sports.io/football/players/912.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,33,33,2970,,Goalkeeper,6.954545,False,0,0,5,1,0,0,33,,112,344,0,52,,0,1,12,11,0,0,,4,0,2,0,0,,,0,0,2
3,912,Neto,Norberto,Murara Neto,33,1989-07-19,Araxá,Brazil,Brazil,190 cm,84 kg,False,https://media.api-sports.io/football/players/912.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,,Copa del Rey,,,,2017-2018,0,0,0,,Goalkeeper,,False,0,0,7,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,913,Cristian Rivero,Cristian,Rivero Sabater,24,1998-03-21,Gandía,Spain,Spain,188 cm,75 kg,False,https://media.api-sports.io/football/players/913.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,913,Cristian Rivero,Cristian,Rivero Sabater,24,1998-03-21,Gandía,Spain,Spain,188 cm,75 kg,False,https://media.api-sports.io/football/players/913.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,,Copa del Rey,,,,2017-2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,917,E. Garay,Ezequiel Marcelo,Garay,34,1986-10-10,Rosario,Argentina,Argentina,189 cm,90 kg,False,https://media.api-sports.io/football/players/917.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,24,23,2031,,Defender,6.887500,False,1,3,4,6,1,0,,,,936,3,83,4,3,24,125,76,0,0,,15,22,5,0,0,,,0,0,
7,917,E. Garay,Ezequiel Marcelo,Garay,34,1986-10-10,Rosario,Argentina,Argentina,189 cm,90 kg,False,https://media.api-sports.io/football/players/917.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,,Copa del Rey,,,,2017-2018,4,3,348,,Defender,7.050000,False,1,1,3,0,0,0,,,,146,1,83,,,9,30,17,0,0,,1,2,0,0,0,,,0,0,
8,920,Toni Lato,Antonio,Latorre Grueso,25,1997-11-21,Valencia,Spain,Spain,171 cm,64 kg,False,https://media.api-sports.io/football/players/920.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,16,9,796,,Defender,6.760000,False,7,6,26,1,0,0,,1,,259,6,74,3,2,9,94,54,9,8,,8,10,4,0,0,,,0,0,
9,920,Toni Lato,Antonio,Latorre Grueso,25,1997-11-21,Valencia,Spain,Spain,171 cm,64 kg,False,https://media.api-sports.io/football/players/920.png,532,Valencia,https://media.api-sports.io/football/teams/532.png,,Copa del Rey,,,,2017-2018,4,4,360,,Defender,7.325000,False,0,0,3,2,0,0,,1,,141,5,78,,,10,37,22,2,2,,6,6,1,0,0,,,0,0,
