,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1630,M. Musacchio,Mateo Pablo,Musacchio,31,1990-08-26,Rosario,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/1630.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,0,0,0,,Defender,7.060000,False,0,0,0,2,2,0,,,,243,2,86,,,10,28,11,3,1,,2,6,0,0,0,,,0,0,
1,1630,M. Musacchio,Mateo Pablo,Musacchio,31,1990-08-26,Rosario,Argentina,Argentina,180 cm,73 kg,False,https://media.api-sports.io/football/players/1630.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,Club Friendlies,,,,2017,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1683,M. Barbosa,Mariano Damián,Barbosa,36,1984-07-27,Avellaneda,Argentina,Argentina,188 cm,79 kg,False,https://media.api-sports.io/football/players/1683.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,13,12,1124,,Goalkeeper,6.892307,False,1,0,19,0,0,0,17,,34,168,0,60,,,1,4,4,0,0,,3,0,0,0,0,,,0,0,0
3,1683,M. Barbosa,Mariano Damián,Barbosa,36,1984-07-27,Avellaneda,Argentina,Argentina,188 cm,79 kg,False,https://media.api-sports.io/football/players/1683.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,Copa del Rey,,,,2017-2018,2,2,180,,Goalkeeper,6.100000,False,0,0,2,0,0,0,2,,1,48,0,94,,,0,1,1,0,0,,1,0,0,0,0,,,0,0,0
4,1683,M. Barbosa,Mariano Damián,Barbosa,36,1984-07-27,Avellaneda,Argentina,Argentina,188 cm,79 kg,False,https://media.api-sports.io/football/players/1683.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,6,6,540,,Goalkeeper,6.933333,False,0,0,2,0,0,0,6,,18,83,1,70,,,0,3,3,1,1,,0,0,0,0,0,,,0,0,0
5,1683,M. Barbosa,Mariano Damián,Barbosa,36,1984-07-27,Avellaneda,Argentina,Argentina,188 cm,79 kg,False,https://media.api-sports.io/football/players/1683.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,Club Friendlies,,,,2017,1,0,44,,Goalkeeper,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,1685,D. Bonera,Daniele,Bonera,38,1981-05-31,Brescia,Italy,Italy,183 cm,84 kg,False,https://media.api-sports.io/football/players/1685.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2017,15,14,1191,,Defender,6.880000,False,1,1,13,2,0,0,,1,,492,3,86,4,4,12,70,43,1,1,,11,14,4,0,1,,1,0,0,
7,1685,D. Bonera,Daniele,Bonera,38,1981-05-31,Brescia,Italy,Italy,183 cm,84 kg,False,https://media.api-sports.io/football/players/1685.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,Copa del Rey,,,,2017-2018,1,1,90,,Defender,7.200000,False,0,0,1,0,0,0,,,,47,3,88,,,1,3,2,0,0,,0,0,0,0,0,,,0,0,
8,1685,D. Bonera,Daniele,Bonera,38,1981-05-31,Brescia,Italy,Italy,183 cm,84 kg,False,https://media.api-sports.io/football/players/1685.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2017,5,5,450,,Defender,7.480000,False,0,0,2,3,1,0,,1,,288,1,91,,,9,21,15,0,0,,1,2,0,0,0,,,0,0,
9,1685,D. Bonera,Daniele,Bonera,38,1981-05-31,Brescia,Italy,Italy,183 cm,84 kg,False,https://media.api-sports.io/football/players/1685.png,533,Villarreal,https://media.api-sports.io/football/teams/533.png,,Club Friendlies,,,,2017,1,1,76,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
