,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,106,N. Chadli,Nacer,Chadli,33,1989-08-02,Liège,Belgium,Belgium,187 cm,80 kg,False,https://media.api-sports.io/football/players/106.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,5,2,215,,Midfielder,6.680000,False,3,3,9,4,2,1,,,,53,2,81,1,0,0,13,3,1,1,,0,1,1,0,0,,,0,0,
1,106,N. Chadli,Nacer,Chadli,33,1989-08-02,Liège,Belgium,Belgium,187 cm,80 kg,False,https://media.api-sports.io/football/players/106.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,106,N. Chadli,Nacer,Chadli,33,1989-08-02,Liège,Belgium,Belgium,187 cm,80 kg,False,https://media.api-sports.io/football/players/106.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,308,D. Sturridge,Daniel Andre,Sturridge,33,1989-09-01,Birmingham,England,England,188 cm,76 kg,False,https://media.api-sports.io/football/players/308.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,6,2,116,,Attacker,7.077777,False,4,2,5,21,8,0,,1,,102,13,75,,0,0,37,21,11,10,,9,1,0,0,0,,,0,0,
4,308,D. Sturridge,Daniel Andre,Sturridge,33,1989-09-01,Birmingham,England,England,188 cm,76 kg,False,https://media.api-sports.io/football/players/308.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,481,Grzegorz Krychowiak,Grzegorz,Krychowiak,32,1990-01-29,Gryfice,Poland,Poland,186 cm,83 kg,False,https://media.api-sports.io/football/players/481.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,27,20,1643,,Midfielder,6.725925,False,7,9,13,17,3,0,,2,,636,13,73,40,5,45,231,122,27,19,,39,31,2,0,0,,,0,0,
6,481,Grzegorz Krychowiak,Grzegorz,Krychowiak,32,1990-01-29,Gryfice,Poland,Poland,186 cm,83 kg,False,https://media.api-sports.io/football/players/481.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2017,1,1,90,,Midfielder,6.300000,False,0,0,0,1,0,0,,,,19,0,86,,,1,10,4,1,0,,1,2,0,0,0,,,0,0,
7,481,Grzegorz Krychowiak,Grzegorz,Krychowiak,32,1990-01-29,Gryfice,Poland,Poland,186 cm,83 kg,False,https://media.api-sports.io/football/players/481.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,3,3,257,,Midfielder,6.933333,False,0,2,0,2,1,0,,1,,105,5,74,,,6,32,17,7,5,,5,2,1,0,0,,,0,0,
8,1124,O. Burke,Oliver Jasen,Burke,25,1997-04-07,Kirkcaldy,Scotland,Scotland,188 cm,74 kg,False,https://media.api-sports.io/football/players/1124.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,15,2,356,,Midfielder,6.500000,False,13,2,23,4,0,0,,2,,111,4,76,6,0,7,67,29,20,13,,5,2,0,0,0,,,0,0,
9,1124,O. Burke,Oliver Jasen,Burke,25,1997-04-07,Kirkcaldy,Scotland,Scotland,188 cm,74 kg,False,https://media.api-sports.io/football/players/1124.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2017,1,0,1,,Midfielder,,False,1,0,3,0,0,0,,,,1,0,100,,,0,1,0,0,0,,0,0,0,0,0,,,0,0,
10,1742,G. McAuley,Gareth,McAuley,42,1979-12-05,Larne,Northern Ireland,Northern Ireland,191 cm,90 kg,False,https://media.api-sports.io/football/players/1742.png,60,West Brom,https://media.api-sports.io/football/teams/60.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2017,9,5,456,,Defender,6.533333,False,4,2,22,0,0,0,,,,81,0,57,8,4,11,42,26,1,1,,2,2,0,0,0,,,0,0,
