,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2707,O. El Hajjam,Oualid,El Hajjam,31,1991-02-19,Châteauroux,France,Morocco,181 cm,72 kg,False,https://media.api-sports.io/football/players/2707.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,11,6,542,,Defender,6.481818,False,5,3,32,1,0,0,,,,156,1,59,9,2,14,70,38,7,4,,8,10,1,0,0,,1,0,0,
1,2707,O. El Hajjam,Oualid,El Hajjam,31,1991-02-19,Châteauroux,France,Morocco,181 cm,72 kg,False,https://media.api-sports.io/football/players/2707.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2707,O. El Hajjam,Oualid,El Hajjam,31,1991-02-19,Châteauroux,France,Morocco,181 cm,72 kg,False,https://media.api-sports.io/football/players/2707.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2994,M. Konaté,Pape Moussa,Konaté,29,1993-04-03,Mbour,Senegal,Senegal,181 cm,78 kg,False,https://media.api-sports.io/football/players/2994.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,27,21,1882,,Attacker,6.900000,False,6,12,6,48,17,7,,2,,258,11,67,8,3,5,283,114,23,14,,38,44,2,0,0,1,,2,1,
4,2994,M. Konaté,Pape Moussa,Konaté,29,1993-04-03,Mbour,Senegal,Senegal,181 cm,78 kg,False,https://media.api-sports.io/football/players/2994.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,1,0,22,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,3332,B. Dibassy,Bakaye,Dibassy,33,1989-08-11,Paris,France,Mali,183 cm,74 kg,False,https://media.api-sports.io/football/players/3332.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,34,32,2941,,Defender,6.688235,False,2,0,6,11,2,1,,1,,949,7,74,26,21,44,250,121,27,16,,15,36,5,0,1,,1,0,0,
6,3332,B. Dibassy,Bakaye,Dibassy,33,1989-08-11,Paris,France,Mali,183 cm,74 kg,False,https://media.api-sports.io/football/players/3332.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,2,1,93,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,3332,B. Dibassy,Bakaye,Dibassy,33,1989-08-11,Paris,France,Mali,183 cm,74 kg,False,https://media.api-sports.io/football/players/3332.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,1,1,90,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,3378,Abdoul Khaled Akiola Adénon,Abdoul Khaled,Akiola Adénon,37,1985-07-29,Allahé,Benin,Benin,180 cm,72 kg,False,https://media.api-sports.io/football/players/3378.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,23,22,1995,,Defender,6.704347,False,1,1,11,8,0,0,,,,837,5,84,22,11,30,215,107,1,1,,21,32,7,1,0,,,0,0,
9,3378,Abdoul Khaled Akiola Adénon,Abdoul Khaled,Akiola Adénon,37,1985-07-29,Allahé,Benin,Benin,180 cm,72 kg,False,https://media.api-sports.io/football/players/3378.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,1,1,26,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,1,0,,,,,
10,3378,Abdoul Khaled Akiola Adénon,Abdoul Khaled,Akiola Adénon,37,1985-07-29,Allahé,Benin,Benin,180 cm,72 kg,False,https://media.api-sports.io/football/players/3378.png,87,Amiens,https://media.api-sports.io/football/teams/87.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
