,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,98,B. Henrichs,Benjamin Paa Kwesi,Henrichs,25,1997-02-23,Bocholt,Germany,Germany,183 cm,79 kg,False,https://media.api-sports.io/football/players/98.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,1,1,64,,Defender,5.800000,False,0,1,0,0,0,0,,,,27,0,81,,0,3,4,1,0,0,,1,3,1,0,0,,1,0,0,
1,98,B. Henrichs,Benjamin Paa Kwesi,Henrichs,25,1997-02-23,Bocholt,Germany,Germany,183 cm,79 kg,False,https://media.api-sports.io/football/players/98.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,98,B. Henrichs,Benjamin Paa Kwesi,Henrichs,25,1997-02-23,Bocholt,Germany,Germany,183 cm,79 kg,False,https://media.api-sports.io/football/players/98.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,,Club Friendlies,,,,2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,963,L. Hrádecký,Lukáš,Hrádecký,33,1989-11-24,Bratislava,Slovakia,Finland,192 cm,83 kg,False,https://media.api-sports.io/football/players/963.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,32,32,2880,,Goalkeeper,6.803225,False,0,0,1,0,0,0,44,,80,878,1,74,,0,1,11,10,0,0,,3,0,1,0,0,,,0,0,1
4,963,L. Hrádecký,Lukáš,Hrádecký,33,1989-11-24,Bratislava,Slovakia,Finland,192 cm,83 kg,False,https://media.api-sports.io/football/players/963.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,2,2,180,,Goalkeeper,7.000000,False,0,0,0,0,0,0,2,,6,52,0,73,,0,0,2,2,0,0,,0,0,0,0,0,,,0,0,0
5,963,L. Hrádecký,Lukáš,Hrádecký,33,1989-11-24,Bratislava,Slovakia,Finland,192 cm,83 kg,False,https://media.api-sports.io/football/players/963.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,6,6,540,,Goalkeeper,6.733333,False,0,0,0,0,0,0,8,,13,187,0,87,,0,1,1,0,0,0,,0,0,0,0,0,,,0,0,0
6,965,R. Özcan,Ramazan,Özcan,37,1984-06-28,Hohenems,Austria,Austria,184 cm,78 kg,False,https://media.api-sports.io/football/players/965.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,2,2,180,,Goalkeeper,6.700000,False,0,0,31,0,0,0,5,,8,35,0,56,,0,1,1,1,0,0,,0,0,0,0,0,,,0,0,1
7,965,R. Özcan,Ramazan,Özcan,37,1984-06-28,Hohenems,Austria,Austria,184 cm,78 kg,False,https://media.api-sports.io/football/players/965.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,1,1,90,,Goalkeeper,7.200000,False,0,0,2,0,0,0,0,,2,13,0,68,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
8,965,R. Özcan,Ramazan,Özcan,37,1984-06-28,Hohenems,Austria,Austria,184 cm,78 kg,False,https://media.api-sports.io/football/players/965.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,1,1,90,,Goalkeeper,6.500000,False,0,0,7,0,0,0,1,,1,23,0,92,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
9,965,R. Özcan,Ramazan,Özcan,37,1984-06-28,Hohenems,Austria,Austria,184 cm,78 kg,False,https://media.api-sports.io/football/players/965.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,,Club Friendlies,,,,2018,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,966,S. Bender,Sven,Bender,32,1989-04-27,Rosenheim,Germany,Germany,186 cm,80 kg,False,https://media.api-sports.io/football/players/966.png,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,27,25,1995,,Defender,7.007692,False,2,6,4,14,3,0,,,,1514,3,85,25,14,52,215,130,6,5,,12,21,3,0,0,,,0,0,
