,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2700,A. Jahanbakhsh,Alireza,Jahanbakhsh Jirandeh,29,1993-08-11,Jirandeh,Iran,Iran,180 cm,76 kg,False,https://media.api-sports.io/football/players/2700.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,19,12,1022,,Attacker,6.473684,False,7,9,12,21,6,0,,,,192,5,74,32,0,11,164,62,36,11,,8,19,2,0,0,,1,0,0,
1,2700,A. Jahanbakhsh,Alireza,Jahanbakhsh Jirandeh,29,1993-08-11,Jirandeh,Iran,Iran,180 cm,76 kg,False,https://media.api-sports.io/football/players/2700.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Attacker,6.200000,False,0,0,0,3,1,0,,,,20,0,71,,0,1,10,2,4,1,,1,2,0,0,0,,,0,0,
2,2700,A. Jahanbakhsh,Alireza,Jahanbakhsh Jirandeh,29,1993-08-11,Jirandeh,Iran,Iran,180 cm,76 kg,False,https://media.api-sports.io/football/players/2700.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,4,4,328,,Attacker,6.700000,False,0,3,0,6,1,0,,,,67,3,84,2,0,5,38,13,6,4,,5,3,1,0,0,,,0,0,
3,2741,M. Ryan,Mathew David,Ryan,30,1992-04-08,Plumpton,Australia,Australia,184 cm,82 kg,False,https://media.api-sports.io/football/players/2741.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,34,34,3060,,Goalkeeper,6.635294,False,0,0,0,0,0,0,55,,97,464,0,50,1,0,0,15,12,0,0,,3,1,2,0,0,,,0,0,0
4,2741,M. Ryan,Mathew David,Ryan,30,1992-04-08,Plumpton,Australia,Australia,184 cm,82 kg,False,https://media.api-sports.io/football/players/2741.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,2,2,210,,Goalkeeper,6.700000,False,0,0,0,0,0,0,1,,3,6,0,23,,0,0,1,1,0,0,,1,0,0,0,0,,,0,0,0
5,2767,L. Balogun,Leon Aderemi,Balogun,34,1988-06-28,Berlin,Germany,Nigeria,190 cm,88 kg,False,https://media.api-sports.io/football/players/2767.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,8,5,591,,Defender,6.612500,False,3,0,20,1,1,1,,,,164,0,67,12,3,17,46,27,1,0,,2,5,2,0,0,,1,0,0,
6,2767,L. Balogun,Leon Aderemi,Balogun,34,1988-06-28,Berlin,Germany,Nigeria,190 cm,88 kg,False,https://media.api-sports.io/football/players/2767.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,2767,L. Balogun,Leon Aderemi,Balogun,34,1988-06-28,Berlin,Germany,Nigeria,190 cm,88 kg,False,https://media.api-sports.io/football/players/2767.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,2,2,210,,Defender,6.600000,False,0,0,0,2,0,0,,,,75,0,87,,3,1,14,6,0,0,,1,0,0,0,0,,,0,0,
8,3398,G. Bong,Gaëtan,Bong Songo,34,1988-04-25,Sakbayeme,Cameroon,Cameroon,187 cm,74 kg,False,https://media.api-sports.io/football/players/3398.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,22,19,1805,,Defender,6.381818,False,3,0,19,2,0,0,,,,447,9,72,16,6,25,129,55,23,11,,4,11,0,0,0,,2,0,0,
9,3398,G. Bong,Gaëtan,Bong Songo,34,1988-04-25,Sakbayeme,Cameroon,Cameroon,187 cm,74 kg,False,https://media.api-sports.io/football/players/3398.png,51,Brighton,https://media.api-sports.io/football/teams/51.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,2,1,105,,Defender,6.600000,False,1,0,4,0,0,0,,,,35,1,73,,0,1,6,2,1,0,,0,1,0,0,0,,,0,0,
