,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,18984,Brian Edward Murphy,Brian Edward,Murphy,39,1983-05-07,Waterford,Republic of Ireland,Republic of Ireland,185 cm,83 kg,False,https://media.api-sports.io/football/players/18984.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,18984,Brian Edward Murphy,Brian Edward,Murphy,39,1983-05-07,Waterford,Republic of Ireland,Republic of Ireland,185 cm,83 kg,False,https://media.api-sports.io/football/players/18984.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,18984,Brian Edward Murphy,Brian Edward,Murphy,39,1983-05-07,Waterford,Republic of Ireland,Republic of Ireland,185 cm,83 kg,False,https://media.api-sports.io/football/players/18984.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,18987,Joe Bennett,Joe,Bennett,32,1990-03-28,Rochdale,England,England,177 cm,74 kg,False,https://media.api-sports.io/football/players/18987.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,30,30,2641,,Defender,6.780000,False,0,2,7,10,3,0,,1,,498,14,70,50,8,60,217,143,34,24,,35,20,5,0,0,,,0,0,
4,18987,Joe Bennett,Joe,Bennett,32,1990-03-28,Rochdale,England,England,177 cm,74 kg,False,https://media.api-sports.io/football/players/18987.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,18987,Joe Bennett,Joe,Bennett,32,1990-03-28,Rochdale,England,England,177 cm,74 kg,False,https://media.api-sports.io/football/players/18987.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,18988,Matthew Connolly,Matthew,Connolly,32,1987-09-24,London,England,England,188 cm,84 kg,False,https://media.api-sports.io/football/players/18988.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,18988,Matthew Connolly,Matthew,Connolly,32,1987-09-24,London,England,England,188 cm,84 kg,False,https://media.api-sports.io/football/players/18988.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,18989,Cameron Terry Coxe,Cameron Terry,Coxe,24,1998-12-18,Merthyr Tydfil,Wales,Wales,185 cm,80 kg,False,https://media.api-sports.io/football/players/18989.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,18989,Cameron Terry Coxe,Cameron Terry,Coxe,24,1998-12-18,Merthyr Tydfil,Wales,Wales,185 cm,80 kg,False,https://media.api-sports.io/football/players/18989.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,18991,B. Ecuele Manga,Bruno,Ecuele Manga,34,1988-07-16,Libreville,Gabon,Gabon,186 cm,86 kg,False,https://media.api-sports.io/football/players/18991.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,38,37,3375,,Defender,6.742105,False,1,0,1,10,4,0,,1,,621,7,64,69,28,81,298,177,14,10,,11,15,0,0,0,,2,0,0,
11,18991,B. Ecuele Manga,Bruno,Ecuele Manga,34,1988-07-16,Libreville,Gabon,Gabon,186 cm,86 kg,False,https://media.api-sports.io/football/players/18991.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,18991,B. Ecuele Manga,Bruno,Ecuele Manga,34,1988-07-16,Libreville,Gabon,Gabon,186 cm,86 kg,False,https://media.api-sports.io/football/players/18991.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,18993,Callum Thomas Owen Paterson,Callum Thomas Owen,Paterson,28,1994-10-13,London,England,Scotland,183 cm,76 kg,False,https://media.api-sports.io/football/players/18993.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,27,21,1996,,Defender,6.825925,False,6,4,8,41,8,4,,1,,267,23,49,21,2,8,554,256,16,5,,30,41,4,0,0,,,0,0,
14,18993,Callum Thomas Owen Paterson,Callum Thomas Owen,Paterson,28,1994-10-13,London,England,Scotland,183 cm,76 kg,False,https://media.api-sports.io/football/players/18993.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,0,31,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,18993,Callum Thomas Owen Paterson,Callum Thomas Owen,Paterson,28,1994-10-13,London,England,Scotland,183 cm,76 kg,False,https://media.api-sports.io/football/players/18993.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,18994,L. Peltier,Lee,Peltier,36,1986-12-11,Liverpool,England,England,178 cm,73 kg,False,https://media.api-sports.io/football/players/18994.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,20,17,1542,,Defender,6.663157,False,3,1,14,1,1,0,,,,206,3,57,39,12,18,132,78,3,3,,6,15,4,0,0,,,0,0,
17,18994,L. Peltier,Lee,Peltier,36,1986-12-11,Liverpool,England,England,178 cm,73 kg,False,https://media.api-sports.io/football/players/18994.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,18994,L. Peltier,Lee,Peltier,36,1986-12-11,Liverpool,England,England,178 cm,73 kg,False,https://media.api-sports.io/football/players/18994.png,43,Cardiff,https://media.api-sports.io/football/teams/43.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
