,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,922,Facundo Sebastián Roncaglia,Facundo Sebastián,Roncaglia,35,1987-02-10,Chajarí,Argentina,Argentina,179 cm,76 kg,False,https://media.api-sports.io/football/players/922.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,12,12,1071,,Defender,6.616666,False,0,1,4,1,0,0,,,,443,2,82,22,5,20,111,63,3,2,,8,16,3,0,0,,,0,0,
1,922,Facundo Sebastián Roncaglia,Facundo Sebastián,Roncaglia,35,1987-02-10,Chajarí,Argentina,Argentina,179 cm,76 kg,False,https://media.api-sports.io/football/players/922.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Defender,7.000000,False,0,0,1,0,0,0,,,,75,0,91,1,1,3,6,6,1,1,,0,0,0,0,0,,,0,0,
2,2615,M. Gómez,Maximiliano,Gómez González,26,1996-08-14,Paysandú,Uruguay,Uruguay,186 cm,91 kg,False,https://media.api-sports.io/football/players/2615.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,35,33,2963,,Attacker,7.014285,False,2,4,2,82,28,13,,5,,492,31,73,4,0,2,482,220,30,14,,66,70,5,1,0,,,1,0,
3,2615,M. Gómez,Maximiliano,Gómez González,26,1996-08-14,Paysandú,Uruguay,Uruguay,186 cm,91 kg,False,https://media.api-sports.io/football/players/2615.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,0,32,,Attacker,6.300000,False,1,0,1,1,0,0,,,,6,0,66,,0,0,5,2,0,0,,1,0,0,0,0,,,0,0,
4,2710,S. Boufal,Sofiane,Boufal,29,1993-09-17,Paris,France,Morocco,170 cm,60 kg,False,https://media.api-sports.io/football/players/2710.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,35,25,2098,,Midfielder,6.785714,False,10,23,11,51,16,3,,3,,641,40,78,21,0,10,492,256,224,144,,60,42,6,0,0,1,,0,0,
5,2710,S. Boufal,Sofiane,Boufal,29,1993-09-17,Paris,France,Morocco,170 cm,60 kg,False,https://media.api-sports.io/football/players/2710.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,2870,N. Araujo,Néstor Alejandro,Araujo Razo,31,1991-08-29,Guadalajara,Mexico,Mexico,188 cm,87 kg,False,https://media.api-sports.io/football/players/2870.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,32,30,2681,,Defender,6.980645,False,2,0,4,12,7,3,,,,1283,4,81,22,21,35,185,118,2,2,,4,15,2,1,0,,1,0,0,
7,2870,N. Araujo,Néstor Alejandro,Araujo Razo,31,1991-08-29,Guadalajara,Mexico,Mexico,188 cm,87 kg,False,https://media.api-sports.io/football/players/2870.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Defender,7.000000,False,0,0,0,0,0,0,,1,,42,1,82,,0,1,3,2,0,0,,0,0,0,0,0,,,0,0,
8,31361,Róbert Mazáň,Róbert,Mazáň,28,1994-02-09,Trencin,Slovakia,Slovakia,180 cm,75 kg,False,https://media.api-sports.io/football/players/31361.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Defender,6.900000,False,0,0,2,1,0,0,,,,38,2,86,3,0,3,8,5,0,0,,0,2,0,0,0,,,0,0,
9,31361,Róbert Mazáň,Róbert,Mazáň,28,1994-02-09,Trencin,Slovakia,Slovakia,180 cm,75 kg,False,https://media.api-sports.io/football/players/31361.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Defender,7.200000,False,0,0,1,1,0,0,,,,43,2,87,3,0,3,10,7,0,0,,2,0,0,0,0,,,0,0,
10,47425,Sergio Álvarez,Sergio,Álvarez Conde,35,1986-08-03,Vilagarcía de Arousa,Spain,Spain,180 cm,75 kg,False,https://media.api-sports.io/football/players/47425.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,13,13,1170,,Goalkeeper,6.592307,False,0,0,25,0,0,0,22,,38,257,0,62,,0,0,6,5,0,0,,0,1,1,0,0,,,0,0,0
11,47425,Sergio Álvarez,Sergio,Álvarez Conde,35,1986-08-03,Vilagarcía de Arousa,Spain,Spain,180 cm,75 kg,False,https://media.api-sports.io/football/players/47425.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Goalkeeper,6.300000,False,0,0,1,0,0,0,2,,2,21,0,75,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
12,47426,Rubén Blanco,Rubén,Blanco Veiga,27,1995-07-25,Mos,Spain,Spain,188 cm,70 kg,False,https://media.api-sports.io/football/players/47426.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,25,25,2250,,Goalkeeper,6.724000,False,0,0,12,0,0,0,40,,69,421,2,59,,0,2,6,4,0,0,,0,1,2,0,0,,,0,0,0
13,47426,Rubén Blanco,Rubén,Blanco Veiga,27,1995-07-25,Mos,Spain,Spain,188 cm,70 kg,False,https://media.api-sports.io/football/players/47426.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Goalkeeper,7.200000,False,0,0,0,0,0,0,1,,5,21,0,70,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
14,47427,Iván Villar,Iván,Villar Martínez,25,1997-07-09,Aldán,Spain,Spain,183 cm,76 kg,False,https://media.api-sports.io/football/players/47427.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,47427,Iván Villar,Iván,Villar Martínez,25,1997-07-09,Aldán,Spain,Spain,183 cm,76 kg,False,https://media.api-sports.io/football/players/47427.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,47429,David Costas,David,Costas Cordal,27,1995-03-26,Redondela,Spain,Spain,184 cm,71 kg,False,https://media.api-sports.io/football/players/47429.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,15,13,1172,,Defender,6.821428,False,2,1,16,2,1,0,,,,601,0,82,13,6,18,99,61,3,1,,7,16,4,0,0,,,0,0,
17,47429,David Costas,David,Costas Cordal,27,1995-03-26,Redondela,Spain,Spain,184 cm,71 kg,False,https://media.api-sports.io/football/players/47429.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,1,1,90,,Defender,6.700000,False,0,0,0,0,0,0,,,,53,0,89,1,1,1,4,2,0,0,,0,1,0,0,0,,,0,0,
18,47430,W. Hoedt,Wesley Theodorus,Hoedt,28,1994-03-06,Alkmaar,Netherlands,Netherlands,188 cm,77 kg,False,https://media.api-sports.io/football/players/47430.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,10,9,893,,Defender,6.920000,False,1,0,2,4,1,0,,,,414,5,83,11,11,11,87,59,6,4,,6,9,2,1,0,,,0,0,
19,47431,Juncà,David,Juncà Reñé,29,1993-11-16,Riumors,Spain,Spain,175 cm,67 kg,False,https://media.api-sports.io/football/players/47431.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,21,21,1758,,Defender,6.800000,False,0,4,2,6,1,0,,3,,693,16,81,30,6,35,190,114,24,13,,21,26,6,0,0,,2,0,0,
20,47431,Juncà,David,Juncà Reñé,29,1993-11-16,Riumors,Spain,Spain,175 cm,67 kg,False,https://media.api-sports.io/football/players/47431.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,47432,Hugo Mallo,Hugo,Mallo Novegil,31,1991-06-22,Marín,Spain,Spain,173 cm,69 kg,False,https://media.api-sports.io/football/players/47432.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,35,35,3094,,Defender,6.900000,False,0,2,0,24,8,1,,4,,1112,32,72,41,13,50,344,182,36,22,,27,51,11,0,0,,1,0,0,
22,47432,Hugo Mallo,Hugo,Mallo Novegil,31,1991-06-22,Marín,Spain,Spain,173 cm,69 kg,False,https://media.api-sports.io/football/players/47432.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
23,47434,Kevin Vázquez,Kevin,Vázquez Comesaña,29,1993-03-23,Nigrán,Spain,Spain,173 cm,72 kg,False,https://media.api-sports.io/football/players/47434.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,4,2,218,,Defender,6.633333,False,2,0,17,0,0,0,,,,71,1,57,5,3,2,27,14,2,1,,7,5,0,0,0,,,0,0,
24,47434,Kevin Vázquez,Kevin,Vázquez Comesaña,29,1993-03-23,Nigrán,Spain,Spain,173 cm,72 kg,False,https://media.api-sports.io/football/players/47434.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,2,2,180,,Defender,6.850000,False,0,0,0,0,0,0,,,,93,2,87,6,0,7,28,13,4,2,,1,5,1,0,0,,,0,0,
25,47435,Fran Beltrán,Francisco José,Beltrán Peinado,23,1999-02-03,Madrid,Spain,Spain,170 cm,66 kg,False,https://media.api-sports.io/football/players/47435.png,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,30,16,1510,,Midfielder,6.633333,False,14,7,20,17,3,1,,,,783,10,89,17,2,19,125,54,15,12,,14,12,3,0,0,,,0,0,
