,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,25600,Ewerton,Ewerton Jose,Almeida Santos,32,1989-03-23,Penedo,Brazil,Brazil,188 cm,89 kg,False,https://media.api-sports.io/football/players/25600.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,18,15,1341,,Defender,6.918750,False,3,3,9,8,1,0,,,,489,2,83,16,14,22,132,88,11,10,,2,15,2,0,0,,,0,0,
1,25600,Ewerton,Ewerton Jose,Almeida Santos,32,1989-03-23,Penedo,Brazil,Brazil,188 cm,89 kg,False,https://media.api-sports.io/football/players/25600.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,2,2,186,,Defender,7.150000,False,0,1,0,1,0,0,,,,125,0,83,3,2,2,31,22,3,3,,1,1,0,0,0,,,0,0,
2,25601,R. Bauer,Robert,Bauer,27,1995-04-09,Pforzheim,Germany,Germany,183 cm,76 kg,False,https://media.api-sports.io/football/players/25601.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,22,19,1724,,Defender,6.690476,False,3,4,10,8,1,0,,,,450,11,73,25,5,24,144,76,7,4,,17,17,4,1,0,,,0,0,
3,25601,R. Bauer,Robert,Bauer,27,1995-04-09,Pforzheim,Germany,Germany,183 cm,76 kg,False,https://media.api-sports.io/football/players/25601.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,2,1,164,,Defender,7.200000,False,1,0,1,2,0,0,,,,63,1,82,7,1,3,19,14,0,0,,2,2,0,0,0,,,0,0,
4,25602,K. Goden,Kevin,Goden,23,1999-02-22,Bonn,Germany,Germany,183 cm,80 kg,False,https://media.api-sports.io/football/players/25602.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,5,3,272,,Defender,6.425000,False,2,1,3,0,0,0,,,,48,1,68,3,1,4,27,14,4,3,,0,2,1,0,0,,,0,0,
5,25602,K. Goden,Kevin,Goden,23,1999-02-22,Bonn,Germany,Germany,183 cm,80 kg,False,https://media.api-sports.io/football/players/25602.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,1,1,90,,Defender,5.700000,False,0,0,0,0,0,0,,,,15,0,45,2,1,1,13,3,0,0,,0,3,1,0,0,,,0,0,
6,25603,T. Leibold,Tim,Leibold,29,1993-11-30,Böblingen,Germany,Germany,174 cm,72 kg,False,https://media.api-sports.io/football/players/25603.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,32,32,2768,,Defender,6.659375,False,0,2,0,28,5,0,,2,,968,37,77,42,3,38,297,163,48,25,,42,31,6,0,1,2,1,0,1,
7,25603,T. Leibold,Tim,Leibold,29,1993-11-30,Böblingen,Germany,Germany,174 cm,72 kg,False,https://media.api-sports.io/football/players/25603.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,2,2,210,,Defender,7.550000,False,0,0,0,7,0,0,,1,,104,9,87,4,0,2,26,16,5,3,,6,5,1,0,0,,1,1,0,
8,25605,G. Margreitter,Georg,Margreitter,34,1988-11-07,Bludenz,Austria,Austria,186 cm,87 kg,False,https://media.api-sports.io/football/players/25605.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,27,22,2059,,Defender,6.892307,False,5,0,7,16,4,2,,,,987,3,79,24,26,26,175,115,9,5,,14,10,2,0,0,1,,0,0,
9,25605,G. Margreitter,Georg,Margreitter,34,1988-11-07,Bludenz,Austria,Austria,186 cm,87 kg,False,https://media.api-sports.io/football/players/25605.png,171,FC Nurnberg,https://media.api-sports.io/football/teams/171.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,2,2,210,,Defender,7.600000,False,0,0,0,2,0,0,,,,228,1,92,2,4,3,20,10,1,1,,2,3,2,0,0,,,1,0,
