,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2469,G. Pezzella,Germán Alejo,Pezzella,31,1991-06-27,Bahía Blanca,Argentina,Argentina,187 cm,82 kg,False,https://media.api-sports.io/football/players/2469.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,32,32,2852,,Defender,7.084375,False,0,2,1,26,6,2,,1,,1398,6,84,35,30,59,323,207,5,4,,27,32,6,0,0,,,0,0,
1,2469,G. Pezzella,Germán Alejo,Pezzella,31,1991-06-27,Bahía Blanca,Argentina,Argentina,187 cm,82 kg,False,https://media.api-sports.io/football/players/2469.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,3,3,270,,Defender,6.966666,False,0,0,1,1,0,0,,,,72,1,79,3,0,9,23,16,1,1,,2,3,2,0,0,,,0,0,
2,21096,V. Eysseric,Valentin,Eysseric,30,1992-03-25,Aix-en-Provence,France,France,181 cm,73 kg,False,https://media.api-sports.io/football/players/21096.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,8,4,356,,Midfielder,6.875000,False,4,2,14,4,2,0,,1,,130,12,79,5,1,4,45,20,5,1,,7,10,1,0,0,,,0,0,
3,21096,V. Eysseric,Valentin,Eysseric,30,1992-03-25,Aix-en-Provence,France,France,181 cm,73 kg,False,https://media.api-sports.io/football/players/21096.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,30391,F. Brancolini,Federico,Brancolini,21,2001-07-14,,Italy,Italy,192 cm,,False,https://media.api-sports.io/football/players/30391.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,26,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,30391,F. Brancolini,Federico,Brancolini,21,2001-07-14,,Italy,Italy,192 cm,,False,https://media.api-sports.io/football/players/30391.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,4,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,30392,Simone Ghidotti,Simone,Ghidotti,22,2000-03-19,Brescia,Italy,Italy,185 cm,73 kg,False,https://media.api-sports.io/football/players/30392.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,6,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30392,Simone Ghidotti,Simone,Ghidotti,22,2000-03-19,Brescia,Italy,Italy,185 cm,73 kg,False,https://media.api-sports.io/football/players/30392.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30393,A. Lafont,Alban,Lafont,23,1999-01-23,Ouagadougou,Burkina Faso,France,193 cm,82 kg,False,https://media.api-sports.io/football/players/30393.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,34,34,3016,,Goalkeeper,6.855882,False,0,1,3,0,0,0,40,,93,531,3,63,,0,1,13,13,2,2,,8,0,2,0,0,,,0,0,1
9,30393,A. Lafont,Alban,Lafont,23,1999-01-23,Ouagadougou,Burkina Faso,France,193 cm,82 kg,False,https://media.api-sports.io/football/players/30393.png,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,4,4,360,,Goalkeeper,6.250000,False,0,0,0,0,0,0,6,,4,47,1,46,,0,0,2,2,0,0,,1,0,0,0,0,,,0,0,0
