,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2605,T. Usami,Takashi,Usami,30,1992-05-06,Nagaokakyō,Japan,Japan,178 cm,69 kg,False,https://media.api-sports.io/football/players/2605.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,19,10,877,,Attacker,6.731578,False,9,7,15,27,7,1,,2,,166,14,71,12,2,7,96,47,22,14,,11,8,1,0,0,,,0,0,
1,2605,T. Usami,Takashi,Usami,30,1992-05-06,Nagaokakyō,Japan,Japan,178 cm,69 kg,False,https://media.api-sports.io/football/players/2605.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,2,2,146,,Attacker,6.750000,False,0,1,0,2,0,0,,1,,40,2,75,4,1,1,20,10,4,2,,1,1,1,0,0,,,0,0,
2,2605,T. Usami,Takashi,Usami,30,1992-05-06,Nagaokakyō,Japan,Japan,178 cm,69 kg,False,https://media.api-sports.io/football/players/2605.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,,Club Friendlies,,,,2018,1,0,44,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,3013,D. Kownacki,Dawid Igor,Kownacki,25,1997-03-14,Gorzów Wielkopolski,Poland,Poland,186 cm,75 kg,False,https://media.api-sports.io/football/players/3013.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,10,7,576,,Attacker,6.780000,False,3,4,4,13,5,4,,,,97,5,67,6,0,2,86,41,13,5,,9,4,2,0,0,,,0,0,
4,3013,D. Kownacki,Dawid Igor,Kownacki,25,1997-03-14,Gorzów Wielkopolski,Poland,Poland,186 cm,75 kg,False,https://media.api-sports.io/football/players/3013.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,1,0,34,,Attacker,7.200000,False,1,0,1,1,1,0,,1,,7,1,77,,0,3,4,2,1,1,,0,1,1,0,0,,,0,0,
5,7553,L. Schmitz,Lukas,Schmitz,33,1988-10-13,Hattingen,Germany,Germany,184 cm,80 kg,False,https://media.api-sports.io/football/players/7553.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,,Club Friendlies,,,,2018,1,1,46,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,25277,H. Nielsen,Håvard,Kallevik Nielsen,29,1993-07-15,Oslo,Norway,Norway,187 cm,82 kg,False,https://media.api-sports.io/football/players/25277.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,0,0,0,,Attacker,,False,0,0,8,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,25277,H. Nielsen,Håvard,Kallevik Nielsen,29,1993-07-15,Oslo,Norway,Norway,187 cm,82 kg,False,https://media.api-sports.io/football/players/25277.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,1,0,15,,Attacker,6.300000,False,1,0,1,0,0,0,,,,5,0,62,,0,0,1,0,0,0,,0,0,0,0,0,,,0,0,
8,25277,H. Nielsen,Håvard,Kallevik Nielsen,29,1993-07-15,Oslo,Norway,Norway,187 cm,82 kg,False,https://media.api-sports.io/football/players/25277.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,,Club Friendlies,,,,2018,1,1,46,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,25444,Jaroslav Drobný,Jaroslav,Drobný,42,1979-10-18,Počátky,Czech Republic,Czech Republic,192 cm,90 kg,False,https://media.api-sports.io/football/players/25444.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2018,2,2,180,,Goalkeeper,6.500000,False,0,0,8,0,0,0,3,,6,23,0,70,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
10,25444,Jaroslav Drobný,Jaroslav,Drobný,42,1979-10-18,Počátky,Czech Republic,Czech Republic,192 cm,90 kg,False,https://media.api-sports.io/football/players/25444.png,158,Fortuna Dusseldorf,https://media.api-sports.io/football/teams/158.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2018,1,1,90,,Goalkeeper,5.900000,False,0,0,0,0,0,0,4,,4,20,0,66,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
