,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,30808,Emil Hallfreðsson,Emil,Hallfreðsson,38,1984-06-29,Hafnarfjörður,Iceland,Iceland,185 cm,83 kg,False,https://media.api-sports.io/football/players/30808.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,6,5,393,,Midfielder,6.183333,False,1,2,1,1,0,0,,,,126,4,85,6,1,2,42,15,1,1,,3,10,2,0,0,,1,0,0,
1,30808,Emil Hallfreðsson,Emil,Hallfreðsson,38,1984-06-29,Hafnarfjörður,Iceland,Iceland,185 cm,83 kg,False,https://media.api-sports.io/football/players/30808.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,67,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,31066,Alessandro Iacobucci,Alessandro,Iacobucci,31,1991-06-03,Pescara,Italy,Italy,187 cm,82 kg,False,https://media.api-sports.io/football/players/31066.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,31066,Alessandro Iacobucci,Alessandro,Iacobucci,31,1991-06-03,Pescara,Italy,Italy,187 cm,82 kg,False,https://media.api-sports.io/football/players/31066.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,31067,G. Marcianò,Giuseppe,Marcianò,22,2000-05-27,Rome,Italy,Italy,190 cm,76 kg,False,https://media.api-sports.io/football/players/31067.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,31068,P. Salvati,Pier Paolo,Salvati,18,2002-01-01,,Italy,Italy,,,False,https://media.api-sports.io/football/players/31068.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,31078,Francesco Verde,Francesco,Verde,22,2000-03-18,Sant'Antimo,Italy,Italy,,,False,https://media.api-sports.io/football/players/31078.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Defender,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,31083,Andrea Errico,Andrea,Errico,23,1999-01-01,Rome,Italy,Italy,,,False,https://media.api-sports.io/football/players/31083.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Midfielder,,False,0,0,4,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,31083,Andrea Errico,Andrea,Errico,23,1999-01-01,Rome,Italy,Italy,,,False,https://media.api-sports.io/football/players/31083.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,31086,Raffaele Maiello,Raffaele,Maiello,31,1991-07-10,Acerra,Italy,Italy,177 cm,73 kg,False,https://media.api-sports.io/football/players/31086.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,29,22,2044,,Midfielder,6.910714,False,7,9,12,10,2,0,,,,924,19,80,25,10,29,158,105,22,18,,36,10,4,0,0,,,0,0,
10,31086,Raffaele Maiello,Raffaele,Maiello,31,1991-07-10,Acerra,Italy,Italy,177 cm,73 kg,False,https://media.api-sports.io/football/players/31086.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
11,31087,L. Paganini,Luca Rudolf,Paganini,29,1993-06-08,Rome,Italy,Italy,182 cm,70 kg,False,https://media.api-sports.io/football/players/31087.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,14,12,1121,,Midfielder,6.684615,False,2,0,5,26,5,2,,,,260,8,75,13,4,19,211,94,19,3,,32,23,2,0,0,2,,0,0,
12,31088,Paolo Sammarco,Paolo,Sammarco,38,1983-03-17,Como,Italy,Italy,181 cm,76 kg,False,https://media.api-sports.io/football/players/31088.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,8,6,553,,Midfielder,6.687500,False,2,2,16,6,1,1,,,,250,6,76,7,0,3,60,36,6,5,,7,8,1,0,0,,1,0,0,
13,31088,Paolo Sammarco,Paolo,Sammarco,38,1983-03-17,Como,Italy,Italy,181 cm,76 kg,False,https://media.api-sports.io/football/players/31088.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,0,23,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,31089,L. Valzania,Luca,Valzania,26,1996-03-05,Cesena,Italy,Italy,184 cm,72 kg,False,https://media.api-sports.io/football/players/31089.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,13,11,904,,Midfielder,6.550000,False,2,9,8,1,0,2,,,,20,0,76,4,0,1,14,10,1,1,,0,0,4,0,0,,,0,0,
15,31092,D. Ciofani,Daniel,Ciofani,37,1985-07-31,Avezzano,Italy,Italy,191 cm,82 kg,False,https://media.api-sports.io/football/players/31092.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,32,17,1628,,Attacker,6.840000,False,15,8,17,50,19,5,,2,,219,14,67,6,0,3,258,120,4,2,,18,26,1,0,0,,,2,0,
16,31093,F. Dionisi,Federico,Dionisi,35,1987-06-16,Rieti,Italy,Italy,179 cm,70 kg,False,https://media.api-sports.io/football/players/31093.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,9,1,197,,Attacker,6.675000,False,8,1,11,9,3,1,,,,34,6,69,1,0,0,45,16,4,1,,8,7,2,0,0,,,0,0,
17,31093,F. Dionisi,Federico,Dionisi,35,1987-06-16,Rieti,Italy,Italy,179 cm,70 kg,False,https://media.api-sports.io/football/players/31093.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,58,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
18,31095,Marcello Trotta,Marcello,Trotta,30,1992-09-29,Santa Maria Capua Vetere,Italy,Italy,188 cm,85 kg,False,https://media.api-sports.io/football/players/31095.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,12,4,394,,Attacker,6.572727,False,8,4,14,7,3,0,,,,72,2,74,6,1,2,42,15,3,1,,3,8,0,0,0,,,0,0,
19,31366,Prince Emmanuel Doudu Besea,Prince Emmanuel Doudu,Besea,25,1997-04-15,Wenchi,Ghana,Ghana,180 cm,75 kg,False,https://media.api-sports.io/football/players/31366.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Midfielder,,False,0,0,9,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
20,31366,Prince Emmanuel Doudu Besea,Prince Emmanuel Doudu,Besea,25,1997-04-15,Wenchi,Ghana,Ghana,180 cm,75 kg,False,https://media.api-sports.io/football/players/31366.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
21,31611,Emanuele Terranova,Emanuele,Terranova,35,1987-04-14,Mazara del Vallo,Italy,Italy,183 cm,73 kg,False,https://media.api-sports.io/football/players/31611.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
22,31622,D. Soddimo,Danilo,Soddimo,34,1987-09-27,Roma,Italy,Italy,180 cm,70 kg,False,https://media.api-sports.io/football/players/31622.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,10,1,244,,Midfielder,6.690000,False,9,0,16,6,2,0,,1,,80,8,74,9,1,7,52,23,11,2,,4,9,2,0,0,,,0,0,
23,31661,Luca Matarese,Luca,Matarese,24,1998-04-16,Scafati,Italy,Italy,177 cm,,False,https://media.api-sports.io/football/players/31661.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,2,0,14,,Attacker,6.250000,False,2,0,6,0,0,0,,,,3,0,75,,0,0,5,1,2,1,,0,1,1,0,0,,,0,0,
24,31661,Luca Matarese,Luca,Matarese,24,1998-04-16,Scafati,Italy,Italy,177 cm,,False,https://media.api-sports.io/football/players/31661.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,0,15,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
25,91523,Andrea Tarasco,Andrea,Tarasco,18,2000-01-01,,Italy,Italy,,,False,https://media.api-sports.io/football/players/91523.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,,,,,Defender,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,91531,R. Obleac,Raul,Obleac,20,2000-11-04,Roma,Italy,Moldova,,,False,https://media.api-sports.io/football/players/91531.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
27,91532,Lorenzo Persichini,Lorenzo,Persichini,19,1999-08-16,,Italy,Italy,,,False,https://media.api-sports.io/football/players/91532.png,512,Frosinone,https://media.api-sports.io/football/teams/512.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,,,,,Attacker,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
