,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2617,C. Stuani,Cristhian Ricardo,Stuani Curbelo,36,1986-10-12,Tala,Uruguay,Uruguay,186 cm,76 kg,False,https://media.api-sports.io/football/players/2617.png,547,Girona,https://media.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,32,30,2731,,Attacker,7.175000,False,2,4,2,77,39,19,,,,343,14,69,13,1,4,487,225,29,14,,74,89,9,0,0,2,,5,0,
1,2617,C. Stuani,Cristhian Ricardo,Stuani Curbelo,36,1986-10-12,Tala,Uruguay,Uruguay,186 cm,76 kg,False,https://media.api-sports.io/football/players/2617.png,547,Girona,https://media.api-sports.io/football/teams/547.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,2,2,141,,Attacker,6.800000,False,0,2,1,4,3,1,,,,24,2,78,1,0,1,23,3,0,0,,0,1,1,0,0,,,0,0,
2,47010,Timor,David,Timor Copoví,33,1989-10-17,Carcaixent,Spain,Spain,185 cm,80 kg,False,https://media.api-sports.io/football/players/47010.png,547,Girona,https://media.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,2,2,164,,Midfielder,6.700000,False,0,1,0,2,0,0,,,,74,0,84,2,1,3,16,10,0,0,,1,1,0,0,0,,,0,0,
3,47010,Timor,David,Timor Copoví,33,1989-10-17,Carcaixent,Spain,Spain,185 cm,80 kg,False,https://media.api-sports.io/football/players/47010.png,547,Girona,https://media.api-sports.io/football/teams/547.png,,Club Friendlies,,,,2018,1,1,65,,Midfielder,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,47501,Gorka Iraizoz Moreno,Gorka,Iraizoz Moreno,38,1981-03-06,Pamplona,Spain,Spain,191 cm,87 kg,False,https://media.api-sports.io/football/players/47501.png,547,Girona,https://media.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,7,6,558,,Goalkeeper,7.071428,False,1,0,28,0,0,0,10,,31,113,0,57,,0,1,6,5,1,1,,0,0,0,0,0,,,0,0,0
5,47501,Gorka Iraizoz Moreno,Gorka,Iraizoz Moreno,38,1981-03-06,Pamplona,Spain,Spain,191 cm,87 kg,False,https://media.api-sports.io/football/players/47501.png,547,Girona,https://media.api-sports.io/football/teams/547.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,6,6,540,,Goalkeeper,6.816666,False,0,0,0,0,0,0,14,,29,141,0,66,,0,1,2,1,0,0,,0,0,1,0,0,,,0,0,0
6,47502,José Aurelio Suárez García,José Aurelio,Suárez García,27,1995-12-18,Gijón,Spain,Spain,187 cm,85 kg,False,https://media.api-sports.io/football/players/47502.png,547,Girona,https://media.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,8,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,47502,José Aurelio Suárez García,José Aurelio,Suárez García,27,1995-12-18,Gijón,Spain,Spain,187 cm,85 kg,False,https://media.api-sports.io/football/players/47502.png,547,Girona,https://media.api-sports.io/football/teams/547.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,4,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,47503,Marc Vito Brezmes,Marc,Vito Brezmes,26,1996-03-10,Terrassa,Spain,Spain,187 cm,,False,https://media.api-sports.io/football/players/47503.png,547,Girona,https://media.api-sports.io/football/teams/547.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,47503,Marc Vito Brezmes,Marc,Vito Brezmes,26,1996-03-10,Terrassa,Spain,Spain,187 cm,,False,https://media.api-sports.io/football/players/47503.png,547,Girona,https://media.api-sports.io/football/teams/547.png,,Club Friendlies,,,,2018,1,0,5,,Goalkeeper,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
