,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,20899,N. Julan,Nathael,Julan,24,1996-07-19,Montivilliers,France,France,196 cm,83 kg,False,https://media.api-sports.io/football/players/20899.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,10,3,430,,Attacker,6.590000,False,7,3,7,14,6,0,,,,74,5,61,,1,0,104,50,8,2,,9,4,1,0,0,,,0,0,
1,20899,N. Julan,Nathael,Julan,24,1996-07-19,Montivilliers,France,France,196 cm,83 kg,False,https://media.api-sports.io/football/players/20899.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,1,0,75,,Attacker,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,21483,M. Caillard,Marc-Aurèle,Caillard,28,1994-05-12,Melun,France,France,191 cm,87 kg,False,https://media.api-sports.io/football/players/21483.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,21,21,1890,,Goalkeeper,6.671428,False,0,0,13,0,0,0,34,,59,243,0,51,,0,2,10,8,0,0,,5,0,0,0,0,,,0,0,1
3,21483,M. Caillard,Marc-Aurèle,Caillard,28,1994-05-12,Melun,France,France,191 cm,87 kg,False,https://media.api-sports.io/football/players/21483.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,4,3,300,,Goalkeeper,,False,1,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,21483,M. Caillard,Marc-Aurèle,Caillard,28,1994-05-12,Melun,France,France,191 cm,87 kg,False,https://media.api-sports.io/football/players/21483.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,1,1,90,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,21484,D. Petrić,Denis,Petrić,34,1988-05-24,Ljubljana,Slovenia,Slovenia,186 cm,80 kg,False,https://media.api-sports.io/football/players/21484.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,0,0,0,,Goalkeeper,,False,0,0,6,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,21484,D. Petrić,Denis,Petrić,34,1988-05-24,Ljubljana,Slovenia,Slovenia,186 cm,80 kg,False,https://media.api-sports.io/football/players/21484.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,21486,Pedro Rebocho,Pedro Miguel,Braga Rebocho,27,1995-01-23,Évora,Portugal,Portugal,174 cm,69 kg,False,https://media.api-sports.io/football/players/21486.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,36,36,3240,,Defender,7.069444,False,0,0,2,17,5,0,,8,,1157,55,77,36,13,40,279,164,29,21,,35,18,4,0,0,,1,0,0,
8,21486,Pedro Rebocho,Pedro Miguel,Braga Rebocho,27,1995-01-23,Évora,Portugal,Portugal,174 cm,69 kg,False,https://media.api-sports.io/football/players/21486.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,4,4,374,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,21486,Pedro Rebocho,Pedro Miguel,Braga Rebocho,27,1995-01-23,Évora,Portugal,Portugal,174 cm,69 kg,False,https://media.api-sports.io/football/players/21486.png,90,Guingamp,https://media.api-sports.io/football/teams/90.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,3,3,300,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
