,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2734,P. Billing,Philip,Anyanwu Billing,26,1996-06-11,Lagos,Denmark,Denmark,193 cm,83 kg,False,https://media.api-sports.io/football/players/2734.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,27,25,2192,,Midfielder,7.166666,False,2,6,3,42,9,2,,,,844,23,76,74,16,53,346,210,38,20,,30,37,7,0,0,,,0,0,
1,2734,P. Billing,Philip,Anyanwu Billing,26,1996-06-11,Lagos,Denmark,Denmark,193 cm,83 kg,False,https://media.api-sports.io/football/players/2734.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,3395,S. Mounié,Steve Michel,Mounié,28,1994-09-29,Parakou,Benin,Benin,190 cm,83 kg,False,https://media.api-sports.io/football/players/3395.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,31,19,1777,,Attacker,6.793548,False,12,10,14,61,23,2,,3,,360,18,65,9,1,5,460,247,20,13,,15,32,1,0,1,,,0,0,
3,3395,S. Mounié,Steve Michel,Mounié,28,1994-09-29,Parakou,Benin,Benin,190 cm,83 kg,False,https://media.api-sports.io/football/players/3395.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,0,44,,Attacker,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,18001,R. Schofield,Ryan,Schofield,23,1999-12-11,,England,England,190 cm,,False,https://media.api-sports.io/football/players/18001.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,18001,R. Schofield,Ryan,Schofield,23,1999-12-11,,England,England,190 cm,,False,https://media.api-sports.io/football/players/18001.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,19037,Joel Coleman,Joel,Coleman,27,1995-09-26,Bolton,England,England,198 cm,82 kg,False,https://media.api-sports.io/football/players/19037.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Goalkeeper,6.300000,False,0,0,7,0,0,0,1,,2,14,0,37,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
7,19040,E. Durm,Erik,Durm,30,1992-05-12,Pirmasens,Germany,Germany,182 cm,70 kg,False,https://media.api-sports.io/football/players/19040.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,28,21,2052,,Defender,6.521428,False,7,3,9,9,0,0,,1,,534,11,65,35,6,41,182,91,21,12,,22,13,0,0,0,,,0,0,
8,19040,E. Durm,Erik,Durm,30,1992-05-12,Pirmasens,Germany,Germany,182 cm,70 kg,False,https://media.api-sports.io/football/players/19040.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,77,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,19040,E. Durm,Erik,Durm,30,1992-05-12,Pirmasens,Germany,Germany,182 cm,70 kg,False,https://media.api-sports.io/football/players/19040.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,19041,J. Stankovič,Jon,Gorenc Stankovič,26,1996-01-14,Ljubljana,Slovenia,Slovenia,190 cm,78 kg,False,https://media.api-sports.io/football/players/19041.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,11,9,718,,Defender,6.788888,False,2,5,18,9,2,1,,,,222,2,68,26,9,9,96,58,2,1,,12,9,2,0,0,,,0,0,
11,19041,J. Stankovič,Jon,Gorenc Stankovič,26,1996-01-14,Ljubljana,Slovenia,Slovenia,190 cm,78 kg,False,https://media.api-sports.io/football/players/19041.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,19041,J. Stankovič,Jon,Gorenc Stankovič,26,1996-01-14,Ljubljana,Slovenia,Slovenia,190 cm,78 kg,False,https://media.api-sports.io/football/players/19041.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
13,19042,F. Hadërgjonaj,Florent,Hadërgjonaj,28,1994-07-31,Langnau,Switzerland,Kosovo,182 cm,73 kg,False,https://media.api-sports.io/football/players/19042.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,24,19,1840,,Defender,6.683333,False,5,3,14,6,2,0,,,,545,23,71,30,7,21,153,81,22,10,,19,11,1,0,0,,1,0,0,
14,19042,F. Hadërgjonaj,Florent,Hadërgjonaj,28,1994-07-31,Langnau,Switzerland,Kosovo,182 cm,73 kg,False,https://media.api-sports.io/football/players/19042.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,19043,T. Kongolo,Terence,Kongolo,28,1994-02-14,Fribourg,Switzerland,Netherlands,188 cm,70 kg,False,https://media.api-sports.io/football/players/19043.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,32,32,2722,,Defender,6.706250,False,0,6,2,14,4,1,,1,,896,9,76,74,16,65,247,162,18,10,,25,20,4,0,0,,1,0,0,
16,19043,T. Kongolo,Terence,Kongolo,28,1994-02-14,Fribourg,Switzerland,Netherlands,188 cm,70 kg,False,https://media.api-sports.io/football/players/19043.png,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
