,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,848,Mattia Del Favero,Mattia,Del Favero,24,1998-06-05,Firenze,Italy,Italy,190 cm,84 kg,False,https://media.api-sports.io/football/players/848.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,8,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,851,W. Szczęsny,Wojciech Tomasz,Szczęsny,32,1990-04-18,Warszawa,Poland,Poland,195 cm,90 kg,False,https://media.api-sports.io/football/players/851.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,28,28,2520,,Goalkeeper,6.978571,False,0,0,10,0,0,0,20,,63,491,0,78,1,0,1,6,5,0,0,,1,0,0,0,0,,,0,0,1
2,851,W. Szczęsny,Wojciech Tomasz,Szczęsny,32,1990-04-18,Warszawa,Poland,Poland,195 cm,90 kg,False,https://media.api-sports.io/football/players/851.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,2,2,180,,Goalkeeper,6.450000,False,0,0,0,0,0,0,3,,3,43,0,81,,0,0,2,2,1,1,,0,0,0,0,0,,,0,0,0
3,851,W. Szczęsny,Wojciech Tomasz,Szczęsny,32,1990-04-18,Warszawa,Poland,Poland,195 cm,90 kg,False,https://media.api-sports.io/football/players/851.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2018,10,10,900,,Goalkeeper,6.980000,False,0,0,0,0,0,0,9,,23,184,0,75,,0,0,3,2,1,1,,0,0,1,0,0,,,0,0,1
4,852,Andrea Barzagli,Andrea,Barzagli,38,1981-05-08,Fiesole,Italy,Italy,187 cm,87 kg,False,https://media.api-sports.io/football/players/852.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,7,4,260,,Defender,6.560000,False,3,4,20,0,0,0,,,,176,0,73,1,2,4,22,10,1,0,,1,3,0,0,0,,,0,0,
5,852,Andrea Barzagli,Andrea,Barzagli,38,1981-05-08,Fiesole,Italy,Italy,187 cm,87 kg,False,https://media.api-sports.io/football/players/852.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2018,3,1,106,,Defender,6.533333,False,2,0,4,0,0,0,,,,67,0,87,1,0,1,14,7,0,0,,1,1,0,0,0,,,0,0,
6,854,M. Cáceres,José Martín,Cáceres Silva,35,1987-04-07,Montevideo,Uruguay,Uruguay,180 cm,78 kg,False,https://media.api-sports.io/football/players/854.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,9,7,627,,Defender,6.700000,False,2,1,6,4,1,0,,,,365,1,92,3,3,4,40,20,1,0,,0,5,1,0,0,,,0,0,
7,854,M. Cáceres,José Martín,Cáceres Silva,35,1987-04-07,Montevideo,Uruguay,Uruguay,180 cm,78 kg,False,https://media.api-sports.io/football/players/854.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,854,M. Cáceres,José Martín,Cáceres Silva,35,1987-04-07,Montevideo,Uruguay,Uruguay,180 cm,78 kg,False,https://media.api-sports.io/football/players/854.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2018,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,855,João Cancelo,João Pedro,Cavaco Cancelo,28,1994-05-27,Barreiro,Portugal,Portugal,182 cm,74 kg,False,https://media.api-sports.io/football/players/855.png,496,Juventus,https://media.api-sports.io/football/teams/496.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,25,22,1967,,Defender,7.150000,False,3,2,10,25,7,1,,3,,1063,34,83,27,4,15,270,144,82,60,,22,32,6,0,0,1,1,0,0,
