,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1832,Marco Alia,Marco,Alia,22,2000-04-26,Genzano di Roma,Italy,Albania,185 cm,,False,https://media.api-sports.io/football/players/1832.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1832,Marco Alia,Marco,Alia,22,2000-04-26,Genzano di Roma,Italy,Albania,185 cm,,False,https://media.api-sports.io/football/players/1832.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1834,S. Proto,Silvio,Proto,38,1983-05-23,Charleroi,Belgium,Belgium,187 cm,77 kg,False,https://media.api-sports.io/football/players/1834.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,2,2,180,,Goalkeeper,6.600000,False,0,0,35,0,0,0,4,,9,40,0,70,,0,0,3,2,0,0,,1,0,1,0,0,,,0,0,0
3,1834,S. Proto,Silvio,Proto,38,1983-05-23,Charleroi,Belgium,Belgium,187 cm,77 kg,False,https://media.api-sports.io/football/players/1834.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,1834,S. Proto,Silvio,Proto,38,1983-05-23,Charleroi,Belgium,Belgium,187 cm,77 kg,False,https://media.api-sports.io/football/players/1834.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,4,4,360,,Goalkeeper,6.225000,False,0,0,4,0,0,0,9,,8,86,0,80,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
5,1834,S. Proto,Silvio,Proto,38,1983-05-23,Charleroi,Belgium,Belgium,187 cm,77 kg,False,https://media.api-sports.io/football/players/1834.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,,Club Friendlies,,,,2018,1,1,90,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,1837,Nicolò Armini,Nicolò,Armini,21,2001-03-07,Marino,Italy,Italy,,,False,https://media.api-sports.io/football/players/1837.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,1,0,37,,Defender,6.300000,False,1,0,3,0,0,0,,,,17,0,77,1,0,0,6,1,0,0,,0,1,0,0,0,,,0,0,
7,1837,Nicolò Armini,Nicolò,Armini,21,2001-03-07,Marino,Italy,Italy,,,False,https://media.api-sports.io/football/players/1837.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,1,0,5,,Defender,6.700000,False,1,0,1,0,0,0,,,,3,0,42,,0,0,3,2,2,2,,0,1,0,0,0,,,0,0,
8,1838,Dušan Basta,Dušan,Basta,35,1984-08-18,Beograd,Serbia,Serbia,183 cm,76 kg,False,https://media.api-sports.io/football/players/1838.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Defender,,False,0,0,6,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,1838,Dušan Basta,Dušan,Basta,35,1984-08-18,Beograd,Serbia,Serbia,183 cm,76 kg,False,https://media.api-sports.io/football/players/1838.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,2,2,135,,Defender,6.300000,False,0,0,1,1,0,0,,,,31,0,60,,2,2,8,4,2,2,,1,3,1,1,0,,,0,0,
10,1838,Dušan Basta,Dušan,Basta,35,1984-08-18,Beograd,Serbia,Serbia,183 cm,76 kg,False,https://media.api-sports.io/football/players/1838.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,,Club Friendlies,,,,2018,2,1,86,,Defender,,False,1,1,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,1840,Wallace Fortuna dos Santos,Wallace,Fortuna dos Santos,28,1994-10-14,Rio de Janeiro,Brazil,Brazil,191 cm,83 kg,False,https://media.api-sports.io/football/players/1840.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,16,14,1234,,Defender,6.793750,False,2,3,19,10,2,0,,,,611,4,83,13,7,30,100,55,6,3,,10,17,3,0,0,,,0,0,
12,1840,Wallace Fortuna dos Santos,Wallace,Fortuna dos Santos,28,1994-10-14,Rio de Janeiro,Brazil,Brazil,191 cm,83 kg,False,https://media.api-sports.io/football/players/1840.png,487,Lazio,https://media.api-sports.io/football/teams/487.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,70,,Defender,6.700000,False,0,1,2,0,0,0,,,,22,0,81,,0,1,2,0,0,0,,0,1,1,0,0,,,0,0,
