,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,568,Gabriel Appelt Pires,Gabriel,Appelt Pires,29,1993-09-18,Rio de Janeiro,Brazil,Brazil,187 cm,83 kg,False,https://media.api-sports.io/football/players/568.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,2772,K. Omeruo,Kenneth,Josiah Omeruo,29,1993-10-17,Kaduna,Nigeria,Nigeria,185 cm,81 kg,False,https://media.api-sports.io/football/players/2772.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,28,27,2434,,Defender,6.914285,False,1,2,4,3,1,0,,,,773,2,77,27,11,37,182,121,9,8,,11,17,7,0,0,,2,0,0,
2,2772,K. Omeruo,Kenneth,Josiah Omeruo,29,1993-10-17,Kaduna,Nigeria,Nigeria,185 cm,81 kg,False,https://media.api-sports.io/football/players/2772.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,3,3,270,,Defender,6.933333,False,0,0,1,1,0,0,,,,99,0,77,3,3,4,18,7,2,2,,1,1,1,0,0,,,0,0,
3,33928,Jon Ander Serantes Simon,Jon Ander,Serantes Simon,33,1989-10-24,Barakaldo,Spain,Spain,184 cm,72 kg,False,https://media.api-sports.io/football/players/33928.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,8,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,33928,Jon Ander Serantes Simon,Jon Ander,Serantes Simon,33,1989-10-24,Barakaldo,Spain,Spain,184 cm,72 kg,False,https://media.api-sports.io/football/players/33928.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,46694,Dani Ojeda,Daniel,Ojeda Saranova,28,1994-12-03,Las Palmas de Gran Canaria,Spain,Spain,177 cm,72 kg,False,https://media.api-sports.io/football/players/46694.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,5,2,192,,Attacker,6.620000,False,3,2,6,2,1,0,,,,41,2,53,2,0,2,27,12,3,2,,2,5,1,0,0,,,0,0,
6,46694,Dani Ojeda,Daniel,Ojeda Saranova,28,1994-12-03,Las Palmas de Gran Canaria,Spain,Spain,177 cm,72 kg,False,https://media.api-sports.io/football/players/46694.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Attacker,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,47399,Pichu Cuéllar,Iván,Cuéllar Sacristán,38,1984-05-27,Mérida,Spain,Spain,187 cm,76 kg,False,https://media.api-sports.io/football/players/47399.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,34,34,3056,,Goalkeeper,6.732352,False,0,1,2,0,0,0,38,,78,509,0,51,,0,2,18,17,0,0,,7,0,5,0,0,,,0,0,0
8,47399,Pichu Cuéllar,Iván,Cuéllar Sacristán,38,1984-05-27,Mérida,Spain,Spain,187 cm,76 kg,False,https://media.api-sports.io/football/players/47399.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,2,2,180,,Goalkeeper,7.250000,False,0,0,0,0,0,0,3,,10,28,0,47,1,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
9,47400,A. Lunin,Andrii,Lunin,23,1999-02-11,Krasnohrad,Ukraine,Ukraine,191 cm,80 kg,False,https://media.api-sports.io/football/players/47400.png,537,Leganes,https://media.api-sports.io/football/teams/537.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,5,4,364,,Goalkeeper,7.000000,False,1,0,26,0,0,0,5,,14,64,0,67,,0,0,3,2,0,0,,1,0,0,0,0,,,0,0,1
