,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,882,David de Gea,David,de Gea Quintana,32,1990-11-07,Madrid,Spain,Spain,192 cm,76 kg,False,https://media.api-sports.io/football/players/882.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,38,38,3420,,Goalkeeper,6.647368,False,0,0,0,0,0,0,54,,122,569,0,60,,0,0,9,7,0,0,,4,1,1,0,0,,,0,0,0
1,882,David de Gea,David,de Gea Quintana,32,1990-11-07,Madrid,Spain,Spain,192 cm,76 kg,False,https://media.api-sports.io/football/players/882.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,882,David de Gea,David,de Gea Quintana,32,1990-11-07,Madrid,Spain,Spain,192 cm,76 kg,False,https://media.api-sports.io/football/players/882.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2018,9,9,810,,Goalkeeper,6.711111,False,0,0,0,0,0,0,9,,24,112,0,64,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
3,882,David de Gea,David,de Gea Quintana,32,1990-11-07,Madrid,Spain,Spain,192 cm,76 kg,False,https://media.api-sports.io/football/players/882.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,,Club Friendlies,,,,2018,1,1,78,,Goalkeeper,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,883,L. Grant,Lee,Grant,39,1983-01-27,Hemel Hempstead,England,England,193 cm,83 kg,False,https://media.api-sports.io/football/players/883.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,9,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,883,L. Grant,Lee,Grant,39,1983-01-27,Hemel Hempstead,England,England,193 cm,83 kg,False,https://media.api-sports.io/football/players/883.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,1,0,20,,Goalkeeper,6.300000,False,1,0,1,0,0,0,2,,2,4,0,44,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
6,883,L. Grant,Lee,Grant,39,1983-01-27,Hemel Hempstead,England,England,193 cm,83 kg,False,https://media.api-sports.io/football/players/883.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,883,L. Grant,Lee,Grant,39,1983-01-27,Hemel Hempstead,England,England,193 cm,83 kg,False,https://media.api-sports.io/football/players/883.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,883,L. Grant,Lee,Grant,39,1983-01-27,Hemel Hempstead,England,England,193 cm,83 kg,False,https://media.api-sports.io/football/players/883.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,,Club Friendlies,,,,2018,3,1,102,,Goalkeeper,,False,2,1,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,885,E. Bailly,Eric Bertrand,Bailly,28,1994-04-12,Bingerville,Côte d'Ivoire,Côte d'Ivoire,187 cm,77 kg,False,https://media.api-sports.io/football/players/885.png,33,Manchester United,https://media.api-sports.io/football/teams/33.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,12,8,637,,Defender,6.710000,False,4,2,13,3,1,0,,,,263,0,65,15,4,13,50,37,5,4,,5,5,0,0,1,,1,0,0,
