,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,3344,K. Coulibaly,Kalifa,Coulibaly,31,1991-08-21,Bamako,Mali,Mali,197 cm,84 kg,False,https://media.api-sports.io/football/players/3344.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,32,19,1744,,Attacker,6.859259,False,13,5,17,56,18,8,,2,,214,20,55,6,1,4,384,189,32,18,,20,52,6,1,0,1,,1,0,
1,3344,K. Coulibaly,Kalifa,Coulibaly,31,1991-08-21,Bamako,Mali,Mali,197 cm,84 kg,False,https://media.api-sports.io/football/players/3344.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,2,1,90,,Attacker,,False,1,1,1,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,3344,K. Coulibaly,Kalifa,Coulibaly,31,1991-08-21,Bamako,Mali,Mali,197 cm,84 kg,False,https://media.api-sports.io/football/players/3344.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,5,4,359,,Attacker,,False,1,0,1,,,3,,,,,,,,,,,,,,,,,1,1,0,,,,,
3,3432,A. Waris,Abdul Majeed,Waris,31,1991-09-19,Tamale,Ghana,Ghana,172 cm,71 kg,False,https://media.api-sports.io/football/players/3432.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,33,25,2255,,Attacker,6.766666,False,8,17,8,40,14,5,,3,,423,25,74,13,0,6,303,135,67,27,,73,17,3,0,0,3,,1,0,
4,3432,A. Waris,Abdul Majeed,Waris,31,1991-09-19,Tamale,Ghana,Ghana,172 cm,71 kg,False,https://media.api-sports.io/football/players/3432.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,3,1,139,,Attacker,,False,2,0,2,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,
5,3432,A. Waris,Abdul Majeed,Waris,31,1991-09-19,Tamale,Ghana,Ghana,172 cm,71 kg,False,https://media.api-sports.io/football/players/3432.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,2,2,180,,Attacker,,False,0,0,0,,,2,,,,,,,,,,,,,,,,,2,0,0,,,,,
6,21085,Edgar Ié,Edgar Miguel,Ié,28,1994-05-01,Bissau,Guinea-Bissau,Guinea-Bissau,182 cm,66 kg,False,https://media.api-sports.io/football/players/21085.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,9,9,778,,Defender,6.528571,False,0,2,0,0,0,0,,,,91,1,75,4,1,7,23,14,2,2,,0,3,2,0,0,,1,0,0,
7,21085,Edgar Ié,Edgar Miguel,Ié,28,1994-05-01,Bissau,Guinea-Bissau,Guinea-Bissau,182 cm,66 kg,False,https://media.api-sports.io/football/players/21085.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,2,2,180,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,21088,N. Pallois,Nicolas,Pallois,35,1987-09-19,Elbeuf,France,France,190 cm,89 kg,False,https://media.api-sports.io/football/players/21088.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,24,24,2160,,Defender,6.960869,False,0,0,6,18,7,2,,,,778,5,73,48,12,33,254,151,26,20,,11,24,8,0,0,,2,0,0,
9,21088,N. Pallois,Nicolas,Pallois,35,1987-09-19,Elbeuf,France,France,190 cm,89 kg,False,https://media.api-sports.io/football/players/21088.png,83,Nantes,https://media.api-sports.io/football/teams/83.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
