,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,104,Carlos Vinícius,Carlos Vinícius,Alves Morais,27,1995-03-25,Rio de Janeiro,Brazil,Brazil,190 cm,86 kg,False,https://media.api-sports.io/football/players/104.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,,Club Friendlies,,,,2018,0,0,0,,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,309,A. Daniele,Antonio Pio,Daniele,19,2002-07-10,,Italy,Italy,,,False,https://media.api-sports.io/football/players/309.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,310,Alessandro D'Andrea,Alessandro,D'Andrea,21,2000-03-22,,Italy,Italy,,,False,https://media.api-sports.io/football/players/310.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,14,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,311,O. Karnezis,Orestis Spyridon,Karnezis,37,1985-07-11,Athina,Greece,Greece,189 cm,79 kg,False,https://media.api-sports.io/football/players/311.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,9,9,810,,Goalkeeper,6.944444,False,0,0,29,0,0,0,7,,20,132,0,64,,0,0,3,3,0,0,,1,0,0,0,0,,,0,0,0
4,311,O. Karnezis,Orestis Spyridon,Karnezis,37,1985-07-11,Athina,Greece,Greece,189 cm,79 kg,False,https://media.api-sports.io/football/players/311.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,311,O. Karnezis,Orestis Spyridon,Karnezis,37,1985-07-11,Athina,Greece,Greece,189 cm,79 kg,False,https://media.api-sports.io/football/players/311.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2018,0,0,0,,Goalkeeper,,False,0,0,6,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,311,O. Karnezis,Orestis Spyridon,Karnezis,37,1985-07-11,Athina,Greece,Greece,189 cm,79 kg,False,https://media.api-sports.io/football/players/311.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,,Club Friendlies,,,,2018,2,2,180,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,312,A. Meret,Alex,Meret,25,1997-03-22,Udine,Italy,Italy,190 cm,82 kg,False,https://media.api-sports.io/football/players/312.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,14,13,1151,,Goalkeeper,6.892307,False,1,0,12,0,0,0,11,,39,217,0,75,,0,0,8,6,0,0,,4,2,0,0,1,,,0,0,0
8,312,A. Meret,Alex,Meret,25,1997-03-22,Udine,Italy,Italy,190 cm,82 kg,False,https://media.api-sports.io/football/players/312.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,90,,Goalkeeper,6.000000,False,0,0,1,0,0,0,2,,1,13,0,92,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
9,312,A. Meret,Alex,Meret,25,1997-03-22,Udine,Italy,Italy,190 cm,82 kg,False,https://media.api-sports.io/football/players/312.png,492,Napoli,https://media.api-sports.io/football/teams/492.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2018,6,6,540,,Goalkeeper,7.033333,False,0,0,0,0,0,0,7,,20,118,0,70,,0,1,3,3,0,0,,1,0,0,0,0,,,0,0,0
