,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,33305,David Concha Salas,David,Concha Salas,26,1996-11-20,Santander,Spain,Spain,179 cm,70 kg,False,https://media.api-sports.io/football/players/33305.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,46994,De la Bella,Alberto,de la Bella Madureño,37,1985-12-02,Santa Coloma de Gramanet,Spain,Spain,182 cm,79 kg,False,https://media.api-sports.io/football/players/46994.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,47295,Moyà,Miguel Ángel,Moyà Rumbo,37,1984-04-02,Binissalem,Spain,Spain,188 cm,83 kg,False,https://media.api-sports.io/football/players/47295.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,11,11,990,,Goalkeeper,6.736363,False,0,0,22,0,0,0,11,,22,257,0,78,1,0,1,8,7,1,1,,1,0,1,0,0,,,0,0,0
3,47295,Moyà,Miguel Ángel,Moyà Rumbo,37,1984-04-02,Binissalem,Spain,Spain,188 cm,83 kg,False,https://media.api-sports.io/football/players/47295.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,2,2,180,,Goalkeeper,6.900000,False,0,0,2,0,0,0,2,,4,59,0,75,,0,0,2,1,0,0,,0,0,0,0,0,,,0,0,0
4,47297,Andoni Zubiaurre,Andoni,Zubiaurre Dorronsoro,26,1996-12-04,Ordizia,Spain,Spain,188 cm,82 kg,False,https://media.api-sports.io/football/players/47297.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,47297,Andoni Zubiaurre,Andoni,Zubiaurre Dorronsoro,26,1996-12-04,Ordizia,Spain,Spain,188 cm,82 kg,False,https://media.api-sports.io/football/players/47297.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,47298,Elustondo,Aritz,Elustondo Irribaria,28,1994-03-28,Beasain,Spain,Spain,180 cm,71 kg,False,https://media.api-sports.io/football/players/47298.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,27,24,2253,,Defender,6.922222,False,3,2,6,10,5,1,,,,874,9,77,29,7,39,234,154,19,16,,27,22,5,0,0,,,0,0,
7,47298,Elustondo,Aritz,Elustondo Irribaria,28,1994-03-28,Beasain,Spain,Spain,180 cm,71 kg,False,https://media.api-sports.io/football/players/47298.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,2,1,105,,Defender,6.850000,False,1,0,3,0,0,0,,1,,45,2,83,1,0,2,12,5,1,1,,1,3,1,0,0,,,0,0,
8,47299,Gorosabel,Andoni,Gorosabel Espinosa,26,1996-08-04,Arrasate,Spain,Spain,174 cm,73 kg,False,https://media.api-sports.io/football/players/47299.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,140,La Liga,Spain,https://media.api-sports.io/football/leagues/140.png,https://media.api-sports.io/flags/es.svg,2018,7,6,456,,Defender,6.685714,False,1,2,7,2,0,0,,,,166,4,80,9,1,4,56,28,7,1,,5,5,0,0,0,,,0,0,
9,47299,Gorosabel,Andoni,Gorosabel Espinosa,26,1996-08-04,Arrasate,Spain,Spain,174 cm,73 kg,False,https://media.api-sports.io/football/players/47299.png,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,143,Copa del Rey,Spain,https://media.api-sports.io/football/leagues/143.png,https://media.api-sports.io/flags/es.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
