,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,152,K. Boateng,Kevin-Prince,Boateng,35,1987-03-06,Berlin,Germany,Ghana,186 cm,77 kg,False,https://media.api-sports.io/football/players/152.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,13,11,942,,Midfielder,7.015384,False,2,6,3,29,12,4,,1,,247,16,81,4,3,3,133,52,4,0,,27,25,1,0,0,,,2,0,
1,152,K. Boateng,Kevin-Prince,Boateng,35,1987-03-06,Berlin,Germany,Ghana,186 cm,77 kg,False,https://media.api-sports.io/football/players/152.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,2,2,134,,Midfielder,6.300000,False,0,2,0,0,0,1,,,,23,1,82,,0,1,9,2,1,0,,0,2,0,0,0,,,0,0,
2,30516,A. Consigli,Andrea,Consigli,35,1987-01-27,Milano,Italy,Italy,189 cm,82 kg,False,https://media.api-sports.io/football/players/30516.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,36,36,3214,,Goalkeeper,6.741666,False,0,0,1,0,0,0,56,,103,705,0,70,,0,1,19,14,0,0,,7,1,2,0,1,,,0,0,3
3,30516,A. Consigli,Andrea,Consigli,35,1987-01-27,Milano,Italy,Italy,189 cm,82 kg,False,https://media.api-sports.io/football/players/30516.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,90,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,30517,G. Pegolo,Gianluca,Pegolo,41,1981-03-25,Bassano del Grappa,Italy,Italy,184 cm,76 kg,False,https://media.api-sports.io/football/players/30517.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,3,2,202,,Goalkeeper,6.533333,False,1,0,35,0,0,0,5,,9,39,0,64,,0,0,0,0,0,0,,0,0,1,0,0,,,0,0,0
5,30517,G. Pegolo,Gianluca,Pegolo,41,1981-03-25,Bassano del Grappa,Italy,Italy,184 cm,76 kg,False,https://media.api-sports.io/football/players/30517.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,2,2,180,,Goalkeeper,6.500000,False,0,0,1,0,0,0,2,,3,31,0,77,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
6,30518,G. Satalino,Giacomo,Satalino,23,1999-05-20,Putignano,Italy,Italy,188 cm,75 kg,False,https://media.api-sports.io/football/players/30518.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,17,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30518,G. Satalino,Giacomo,Satalino,23,1999-05-20,Putignano,Italy,Italy,188 cm,75 kg,False,https://media.api-sports.io/football/players/30518.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30520,C. Adjapong,Claud,Adjapong,24,1998-05-06,Modena,Italy,Italy,180 cm,74 kg,False,https://media.api-sports.io/football/players/30520.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,5,3,270,,Defender,6.550000,False,2,2,23,2,1,1,,,,53,2,58,2,1,1,39,18,14,6,,6,3,1,0,0,,,0,0,
9,30520,C. Adjapong,Claud,Adjapong,24,1998-05-06,Modena,Italy,Italy,180 cm,74 kg,False,https://media.api-sports.io/football/players/30520.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,30521,M. Demiral,Merih,Demiral,24,1998-03-05,Kocaeli,Turkey,Turkey,192 cm,86 kg,False,https://media.api-sports.io/football/players/30521.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,14,14,1260,,Defender,7.128571,False,0,0,2,7,3,2,,,,616,2,84,17,11,19,133,88,5,4,,4,27,3,0,0,,1,0,0,
11,30522,S. Ferraresi,Stefano,Ferraresi,19,2000-08-16,,Italy,Italy,,,False,https://media.api-sports.io/football/players/30522.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,30524,M. Lemos,Paolo Mauricio,Lemos Merladet,27,1995-12-28,Rivera,Uruguay,Uruguay,187 cm,85 kg,False,https://media.api-sports.io/football/players/30524.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,3,3,182,,Defender,6.266666,False,0,3,32,0,0,0,,,,58,0,91,1,1,3,13,5,0,0,,1,2,0,0,0,,,0,0,
13,30524,M. Lemos,Paolo Mauricio,Lemos Merladet,27,1995-12-28,Rivera,Uruguay,Uruguay,187 cm,85 kg,False,https://media.api-sports.io/football/players/30524.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,30525,Pol Lirola,Pol Mikel,Lirola Kosok,25,1997-08-13,Mollet del Vallès,Spain,Spain,183 cm,70 kg,False,https://media.api-sports.io/football/players/30525.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2018,35,32,2974,,Defender,6.774285,False,3,2,6,17,3,2,,6,,1090,41,76,22,5,31,215,105,72,41,,10,15,2,0,0,,,0,0,
15,30525,Pol Lirola,Pol Mikel,Lirola Kosok,25,1997-08-13,Mollet del Vallès,Spain,Spain,183 cm,70 kg,False,https://media.api-sports.io/football/players/30525.png,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2018,3,2,205,,Defender,6.800000,False,1,0,1,0,0,0,,,,22,2,78,1,0,2,6,4,2,1,,0,0,0,0,0,,,0,0,
