,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,22256,Jeremy Grimm,Jeremy,Grimm,35,1987-03-27,Ostheim,France,France,181 cm,69 kg,False,https://media.api-sports.io/football/players/22256.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,5,2,167,,Midfielder,6.500000,False,3,2,10,2,1,0,,,,69,1,92,2,0,4,19,10,0,0,,3,4,2,0,0,,1,0,0,
1,22256,Jeremy Grimm,Jeremy,Grimm,35,1987-03-27,Ostheim,France,France,181 cm,69 kg,False,https://media.api-sports.io/football/players/22256.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,
2,22252,Léon Valentin,Léon,Valentin,24,1998-07-30,Neuilly-sur-Seine,France,France,,,False,https://media.api-sports.io/football/players/22252.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,22263,K. Zohi,Kévin Lucien,Zohi,26,1996-12-19,Lopou,Côte d'Ivoire,Mali,177 cm,70 kg,False,https://media.api-sports.io/football/players/22263.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,20,6,620,,Attacker,6.615000,False,14,6,20,17,5,1,,1,,139,5,70,10,0,7,113,47,35,14,,10,7,0,0,0,,,0,0,
4,22263,K. Zohi,Kévin Lucien,Zohi,26,1996-12-19,Lopou,Côte d'Ivoire,Mali,177 cm,70 kg,False,https://media.api-sports.io/football/players/22263.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,4,2,188,,Attacker,,False,2,2,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,22263,K. Zohi,Kévin Lucien,Zohi,26,1996-12-19,Lopou,Côte d'Ivoire,Mali,177 cm,70 kg,False,https://media.api-sports.io/football/players/22263.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,2,1,144,,Attacker,,False,1,0,1,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,22246,L. Koné,Lamine,Koné,33,1989-02-01,Paris,France,Côte d'Ivoire,189 cm,90 kg,False,https://media.api-sports.io/football/players/22246.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,27,23,2148,,Defender,6.733333,False,4,0,7,6,2,1,,1,,908,5,79,15,13,30,166,104,10,8,,22,22,2,0,0,,2,0,0,
7,22246,L. Koné,Lamine,Koné,33,1989-02-01,Paris,France,Côte d'Ivoire,189 cm,90 kg,False,https://media.api-sports.io/football/players/22246.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2018,4,4,360,,Defender,,False,0,1,0,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,22246,L. Koné,Lamine,Koné,33,1989-02-01,Paris,France,Côte d'Ivoire,189 cm,90 kg,False,https://media.api-sports.io/football/players/22246.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2018,1,0,39,,Defender,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,22247,Kenny Lala,Kenny,Lala,31,1991-10-03,Villepinte,France,France,178 cm,78 kg,False,https://media.api-sports.io/football/players/22247.png,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2018,34,34,3060,,Defender,7.158823,False,0,0,0,23,10,5,,9,,1317,63,79,45,9,28,361,178,84,37,,37,33,4,0,0,,2,1,1,
