,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,18789,Gomes,Heurelho,da Silva Gomes,40,1981-02-15,João Pinheiro,Brazil,Brazil,191 cm,91 kg,False,https://media.api-sports.io/football/players/18789.png,38,Watford,https://media.api-sports.io/football/teams/38.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,38,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,18789,Gomes,Heurelho,da Silva Gomes,40,1981-02-15,João Pinheiro,Brazil,Brazil,191 cm,91 kg,False,https://media.api-sports.io/football/players/18789.png,38,Watford,https://media.api-sports.io/football/teams/38.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,2,2,180,,Goalkeeper,5.900000,False,0,0,0,0,0,0,2,,0,20,0,57,,0,0,1,1,0,0,,0,0,0,0,0,,,0,0,0
2,18789,Gomes,Heurelho,da Silva Gomes,40,1981-02-15,João Pinheiro,Brazil,Brazil,191 cm,91 kg,False,https://media.api-sports.io/football/players/18789.png,38,Watford,https://media.api-sports.io/football/teams/38.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,6,6,570,,Goalkeeper,6.800000,False,0,0,0,0,0,0,9,,16,88,0,61,,0,0,12,10,0,0,,1,0,0,0,0,,,0,0,0
3,18790,Pontus Jacob Ragne Dahlberg,Pontus Jacob Ragne,Dahlberg,23,1999-01-21,Älvängen,Sweden,Sweden,194 cm,84 kg,False,https://media.api-sports.io/football/players/18790.png,38,Watford,https://media.api-sports.io/football/teams/38.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,18790,Pontus Jacob Ragne Dahlberg,Pontus Jacob Ragne,Dahlberg,23,1999-01-21,Älvängen,Sweden,Sweden,194 cm,84 kg,False,https://media.api-sports.io/football/players/18790.png,38,Watford,https://media.api-sports.io/football/teams/38.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,4,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,18791,B. Foster,Ben,Foster,39,1983-04-03,Leamington Spa,England,England,193 cm,79 kg,False,https://media.api-sports.io/football/players/18791.png,38,Watford,https://media.api-sports.io/football/teams/38.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,38,38,3420,,Goalkeeper,6.755263,False,0,0,0,1,0,0,59,,127,517,6,45,2,0,2,30,24,0,0,,9,2,1,0,0,,,0,0,1
6,18791,B. Foster,Ben,Foster,39,1983-04-03,Leamington Spa,England,England,193 cm,79 kg,False,https://media.api-sports.io/football/players/18791.png,38,Watford,https://media.api-sports.io/football/teams/38.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,18792,M. Britos,Miguel Ángel,Britos Cabrera,36,1985-07-17,Montevideo,Uruguay,Uruguay,188 cm,82 kg,False,https://media.api-sports.io/football/players/18792.png,38,Watford,https://media.api-sports.io/football/teams/38.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,3,2,185,,Defender,6.266666,False,1,1,10,0,0,0,,,,47,0,70,4,1,3,20,11,3,1,,1,3,0,0,0,,,0,0,
8,18792,M. Britos,Miguel Ángel,Britos Cabrera,36,1985-07-17,Montevideo,Uruguay,Uruguay,188 cm,82 kg,False,https://media.api-sports.io/football/players/18792.png,38,Watford,https://media.api-sports.io/football/teams/38.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2018,3,3,270,,Defender,7.233333,False,0,0,0,1,0,0,,,,116,1,77,3,0,6,36,24,2,1,,2,0,1,0,0,,,0,0,
9,18795,José Holebas,José,Holebas,37,1984-06-27,Aschaffenburg,Germany,Greece,184 cm,77 kg,False,https://media.api-sports.io/football/players/18795.png,38,Watford,https://media.api-sports.io/football/teams/38.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,28,27,2394,,Defender,6.935714,False,1,1,4,17,5,3,,6,,570,38,68,69,8,21,309,164,44,21,,14,34,12,0,1,,,0,0,
