,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,57,Nikola Kalinić,Nikola,Kalinić,34,1988-01-05,Solin,Croatia,Croatia,187 cm,79 kg,False,https://media.api-sports.io/football/players/57.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,15,6,565,,Attacker,6.900000,False,9,3,25,19,8,5,,1,,93,7,73,2,0,1,29,20,2,2,,19,8,1,0,0,,,0,0,
1,57,Nikola Kalinić,Nikola,Kalinić,34,1988-01-05,Solin,Croatia,Croatia,187 cm,79 kg,False,https://media.api-sports.io/football/players/57.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,2,180,,Attacker,6.950000,False,0,0,0,4,2,0,,1,,38,4,82,,0,0,,,2,2,,7,1,0,0,0,,,0,0,
2,57,Nikola Kalinić,Nikola,Kalinić,34,1988-01-05,Solin,Croatia,Croatia,187 cm,79 kg,False,https://media.api-sports.io/football/players/57.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,2,1,106,,Attacker,6.750000,False,1,0,6,8,4,0,,,,20,1,93,,0,0,,,0,0,,2,0,0,0,0,,,0,0,
3,764,Stefano Greco,Stefano,Greco,23,1999-02-21,Galatina,Italy,Italy,185 cm,73 kg,False,https://media.api-sports.io/football/players/764.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,767,Riccardo Cargnelutti,Riccardo,Cargnelutti,23,1999-02-08,,Italy,Italy,,,False,https://media.api-sports.io/football/players/767.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,772,Konstantinos Manolas,Konstantinos,Manolas,31,1991-06-14,Athina,Greece,Greece,189 cm,83 kg,False,https://media.api-sports.io/football/players/772.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,773,Iván Marcano,Iván,Marcano Sierra,35,1987-06-23,Santander,Spain,Spain,189 cm,77 kg,False,https://media.api-sports.io/football/players/773.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,776,Francesco Semeraro,Francesco,Semeraro,21,2001-05-01,Fasano,Italy,Italy,,,False,https://media.api-sports.io/football/players/776.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,779,D. De Rossi,Daniele,De Rossi,37,1983-07-24,Roma,Italy,Italy,184 cm,83 kg,False,https://media.api-sports.io/football/players/779.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,780,Steven N'Kemboanza Mike Christopher Nzonzi,Steven N'Kemboanza Mike Christ,Nzonzi,34,1988-12-15,Colombes,France,France,196 cm,75 kg,False,https://media.api-sports.io/football/players/780.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,1,0,44,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,781,J. Pastore,Javier Matías,Pastore,33,1989-06-20,Córdoba,Argentina,Argentina,187 cm,78 kg,False,https://media.api-sports.io/football/players/781.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,11,5,512,,Midfielder,6.810000,False,6,4,21,16,3,0,,1,,234,5,84,13,0,6,7,5,16,12,,9,10,0,0,0,,,0,0,
11,781,J. Pastore,Javier Matías,Pastore,33,1989-06-20,Córdoba,Argentina,Argentina,187 cm,78 kg,False,https://media.api-sports.io/football/players/781.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,781,J. Pastore,Javier Matías,Pastore,33,1989-06-20,Córdoba,Argentina,Argentina,187 cm,78 kg,False,https://media.api-sports.io/football/players/781.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,4,4,283,,Midfielder,7.350000,False,0,4,0,7,4,0,,,,92,11,75,4,0,1,,,17,12,,5,3,0,0,0,,,0,0,
13,781,J. Pastore,Javier Matías,Pastore,33,1989-06-20,Córdoba,Argentina,Argentina,187 cm,78 kg,False,https://media.api-sports.io/football/players/781.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
14,783,Salvatore Pezzella,Salvatore,Pezzella,22,2000-03-11,Rome,Italy,Italy,178 cm,70 kg,False,https://media.api-sports.io/football/players/783.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
15,784,A. Riccardi,Alessio,Riccardi,20,2001-04-03,Roma,Italy,Italy,178 cm,,False,https://media.api-sports.io/football/players/784.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Attacker,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
16,784,A. Riccardi,Alessio,Riccardi,20,2001-04-03,Roma,Italy,Italy,178 cm,,False,https://media.api-sports.io/football/players/784.png,497,AS Roma,https://media.api-sports.io/football/teams/497.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
