,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,84,Wesley Moraes,Wesley,Moraes Ferreira da Silva,26,1996-11-26,Juiz de Fora,Brazil,Brazil,191 cm,93 kg,False,https://media.api-sports.io/football/players/84.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,21,21,1790,,Attacker,6.819047,False,0,8,0,35,18,5,,1,,263,11,72,15,2,4,274,110,24,12,,14,43,3,0,0,,,0,1,
1,84,Wesley Moraes,Wesley,Moraes Ferreira da Silva,26,1996-11-26,Juiz de Fora,Brazil,Brazil,191 cm,93 kg,False,https://media.api-sports.io/football/players/84.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,1,0,17,,Attacker,,False,1,0,3,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1945,M. Samatta,Mbwana,Ally Samatta,30,1992-12-23,Dar es Salaam,Tanzania,Tanzania,183 cm,77 kg,False,https://media.api-sports.io/football/players/1945.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,14,11,946,,Attacker,6.664285,False,3,6,3,17,3,1,,,,117,10,69,6,0,1,178,73,15,9,,18,9,1,0,0,,,0,0,
3,1945,M. Samatta,Mbwana,Ally Samatta,30,1992-12-23,Dar es Salaam,Tanzania,Tanzania,183 cm,77 kg,False,https://media.api-sports.io/football/players/1945.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,2,2,147,,Attacker,6.750000,False,0,2,0,2,1,1,,,,13,0,76,1,0,0,,,1,0,,1,0,0,0,0,,,0,0,
4,2664,Trézéguet,Mahmoud Ahmed Ibrahim,Hassan,28,1994-10-01,Kafr el-Sheikh,Egypt,Egypt,180 cm,71 kg,False,https://media.api-sports.io/football/players/2664.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,34,20,1951,,Midfielder,6.726470,False,14,14,17,50,17,6,,1,,273,21,68,38,2,25,294,128,64,30,,32,35,3,1,0,1,,0,0,
5,2664,Trézéguet,Mahmoud Ahmed Ibrahim,Hassan,28,1994-10-01,Kafr el-Sheikh,Egypt,Egypt,180 cm,71 kg,False,https://media.api-sports.io/football/players/2664.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,6,4,360,,Midfielder,7.100000,False,2,2,2,17,6,1,,1,,86,9,91,5,0,3,,,16,6,,3,2,0,0,0,,,0,0,
6,2664,Trézéguet,Mahmoud Ahmed Ibrahim,Hassan,28,1994-10-01,Kafr el-Sheikh,Egypt,Egypt,180 cm,71 kg,False,https://media.api-sports.io/football/players/2664.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,1,0,14,,Midfielder,6.000000,False,1,0,1,0,0,0,,,,2,0,66,,0,0,,,2,0,,0,0,0,0,0,,,0,0,
7,2758,Lovre Kalinić,Lovre,Kalinić,32,1990-04-03,Split,Croatia,Croatia,201 cm,96 kg,False,https://media.api-sports.io/football/players/2758.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2758,Lovre Kalinić,Lovre,Kalinić,32,1990-04-03,Split,Croatia,Croatia,201 cm,96 kg,False,https://media.api-sports.io/football/players/2758.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,2758,Lovre Kalinić,Lovre,Kalinić,32,1990-04-03,Split,Croatia,Croatia,201 cm,96 kg,False,https://media.api-sports.io/football/players/2758.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,3245,Jonathan Adjo  Kodjia,Jonathan Adjo,Kodjia,33,1989-10-22,Saint-Denis,France,Côte d'Ivoire,191 cm,77 kg,False,https://media.api-sports.io/football/players/3245.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,6,0,112,,Attacker,6.433333,False,6,0,12,2,0,0,,,,15,1,50,,0,0,16,9,3,1,,2,1,1,0,0,,,0,0,
11,3245,Jonathan Adjo  Kodjia,Jonathan Adjo,Kodjia,33,1989-10-22,Saint-Denis,France,Côte d'Ivoire,191 cm,77 kg,False,https://media.api-sports.io/football/players/3245.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,2,1,113,,Attacker,7.450000,False,1,1,1,2,2,2,,,,15,0,76,,1,0,,,4,3,,1,1,0,0,0,,,0,0,
12,3245,Jonathan Adjo  Kodjia,Jonathan Adjo,Kodjia,33,1989-10-22,Saint-Denis,France,Côte d'Ivoire,191 cm,77 kg,False,https://media.api-sports.io/football/players/3245.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,90,,Attacker,7.500000,False,0,0,0,3,0,0,,1,,6,2,75,,0,0,,,4,4,,2,1,0,0,0,,,0,0,
13,19171,Mark Bunn,Mark,Bunn,35,1984-11-16,Southgate,England,England,183 cm,77 kg,False,https://media.api-sports.io/football/players/19171.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,,,,,Goalkeeper,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19174,J. Steer,Jed John,Steer,30,1992-09-22,Norwich,England,England,183 cm,80 kg,False,https://media.api-sports.io/football/players/19174.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,8,,Goalkeeper,6.300000,False,0,1,12,0,0,0,2,,0,1,0,50,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0
15,19174,J. Steer,Jed John,Steer,30,1992-09-22,Norwich,England,England,183 cm,80 kg,False,https://media.api-sports.io/football/players/19174.png,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,3,3,270,,Goalkeeper,7.166666,False,0,0,0,0,0,0,3,,11,90,0,88,,0,0,,,0,0,,0,0,0,0,0,,,0,0,0
