,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,30547,Rafael,Rafael,de Andrade Bittencourt Pinheir,39,1982-03-03,São Paulo,Brazil,Brazil,187 cm,80 kg,False,https://media.api-sports.io/football/players/30547.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,6,5,453,,Goalkeeper,6.300000,False,1,0,32,0,0,0,12,,6,93,0,64,,0,0,,,0,0,,0,0,0,0,0,,,0,0,0
1,30547,Rafael,Rafael,de Andrade Bittencourt Pinheir,39,1982-03-03,São Paulo,Brazil,Brazil,187 cm,80 kg,False,https://media.api-sports.io/football/players/30547.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,1,40,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,1,,,,,
2,30547,Rafael,Rafael,de Andrade Bittencourt Pinheir,39,1982-03-03,São Paulo,Brazil,Brazil,187 cm,80 kg,False,https://media.api-sports.io/football/players/30547.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,,Club Friendlies,,,,2019,1,0,6,,Goalkeeper,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,30548,F. Cacciatore,Fabrizio,Cacciatore,35,1986-10-08,Torino,Italy,Italy,182 cm,81 kg,False,https://media.api-sports.io/football/players/30548.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,16,14,1155,,Defender,6.643750,False,2,3,4,3,0,0,,,,439,5,76,14,6,15,2,1,6,3,,8,8,1,0,1,,1,0,0,
4,30548,F. Cacciatore,Fabrizio,Cacciatore,35,1986-10-08,Torino,Italy,Italy,182 cm,81 kg,False,https://media.api-sports.io/football/players/30548.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,30548,F. Cacciatore,Fabrizio,Cacciatore,35,1986-10-08,Torino,Italy,Italy,182 cm,81 kg,False,https://media.api-sports.io/football/players/30548.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,,Club Friendlies,,,,2019,1,1,46,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,30548,F. Cacciatore,Fabrizio,Cacciatore,35,1986-10-08,Torino,Italy,Italy,182 cm,81 kg,False,https://media.api-sports.io/football/players/30548.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,30551,Nunzio Lella,Nunzio,Lella,22,2000-07-28,,Italy,Italy,188 cm,,False,https://media.api-sports.io/football/players/30551.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,30555,F. Pisacane,Fabio,Pisacane,35,1986-01-28,Naples,Italy,Italy,178 cm,77 kg,False,https://media.api-sports.io/football/players/30555.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,30,28,2446,,Defender,6.723333,False,2,5,7,7,1,1,,,,955,4,86,28,27,27,44,22,10,5,,23,33,8,1,0,,1,0,0,
9,30555,F. Pisacane,Fabio,Pisacane,35,1986-01-28,Naples,Italy,Italy,178 cm,77 kg,False,https://media.api-sports.io/football/players/30555.png,490,Cagliari,https://media.api-sports.io/football/teams/490.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,1,96,,Defender,6.500000,False,1,0,2,0,0,0,,,,45,0,81,2,1,3,,,3,2,,0,1,0,0,0,,,0,0,
