,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,108,Fàbregas,Francesc,Fàbregas i Soler,35,1987-05-04,Vilassar de Mar,Spain,Spain,180 cm,77 kg,False,https://media.api-sports.io/football/players/108.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1347,V. Moses,Victor,Moses,32,1990-12-12,Kaduna,Nigeria,Nigeria,177 cm,79 kg,False,https://media.api-sports.io/football/players/1347.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,Club Friendlies,,,,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,2276,James Andrew Cumming,James Andrew,Cumming,23,1999-09-04,Winchester,England,England,186 cm,79 kg,False,https://media.api-sports.io/football/players/2276.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2276,James Andrew Cumming,James Andrew,Cumming,23,1999-09-04,Winchester,England,England,186 cm,79 kg,False,https://media.api-sports.io/football/players/2276.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,2276,James Andrew Cumming,James Andrew,Cumming,23,1999-09-04,Winchester,England,England,186 cm,79 kg,False,https://media.api-sports.io/football/players/2276.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2276,James Andrew Cumming,James Andrew,Cumming,23,1999-09-04,Winchester,England,England,186 cm,79 kg,False,https://media.api-sports.io/football/players/2276.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,Club Friendlies,,,,2019,3,0,115,,Goalkeeper,,False,3,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,2277,R. Green,Robert,Green,41,1980-01-18,Chertsey,England,England,187 cm,93 kg,False,https://media.api-sports.io/football/players/2277.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,Club Friendlies,,,,2019,1,0,2,,Goalkeeper,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,2281,G. Cahill,Gary,Cahill,37,1985-12-19,Dronfield,England,England,193 cm,86 kg,False,https://media.api-sports.io/football/players/2281.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,2284,Emerson,Emerson,Palmieri dos Santos,28,1994-08-03,Santos,Brazil,Italy,176 cm,63 kg,False,https://media.api-sports.io/football/players/2284.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,15,13,1025,,Defender,6.906666,False,2,3,9,13,7,0,,,,611,19,82,23,1,18,99,68,16,12,,16,4,3,0,0,,,0,0,
9,2284,Emerson,Emerson,Palmieri dos Santos,28,1994-08-03,Santos,Brazil,Italy,176 cm,63 kg,False,https://media.api-sports.io/football/players/2284.png,49,Chelsea,https://media.api-sports.io/football/teams/49.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
