,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1497,B. Dost,Bas,Leon Dost,33,1989-05-31,Deventer,Netherlands,Netherlands,196 cm,89 kg,False,https://media.api-sports.io/football/players/1497.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,24,16,1475,,Attacker,7.075000,False,8,8,8,32,17,8,,2,,268,19,59,10,2,4,88,55,4,2,,13,16,2,0,0,,,0,0,
1,1497,B. Dost,Bas,Leon Dost,33,1989-05-31,Deventer,Netherlands,Netherlands,196 cm,89 kg,False,https://media.api-sports.io/football/players/1497.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,2,1,101,,Attacker,7.500000,False,1,1,1,3,2,2,,,,20,0,80,,0,1,3,2,0,0,,0,0,0,0,0,,,0,0,
2,1497,B. Dost,Bas,Leon Dost,33,1989-05-31,Deventer,Netherlands,Netherlands,196 cm,89 kg,False,https://media.api-sports.io/football/players/1497.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,4,2,195,,Attacker,6.800000,False,2,1,2,5,0,0,,,,44,1,59,3,1,1,14,10,0,0,,1,1,0,0,0,,,0,0,
3,1801,J. Zimmermann,Jan,Zimmermann,36,1985-04-19,Offenbach,Germany,Germany,190 cm,86 kg,False,https://media.api-sports.io/football/players/1801.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,1801,J. Zimmermann,Jan,Zimmermann,36,1985-04-19,Offenbach,Germany,Germany,190 cm,86 kg,False,https://media.api-sports.io/football/players/1801.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,1801,J. Zimmermann,Jan,Zimmermann,36,1985-04-19,Offenbach,Germany,Germany,190 cm,86 kg,False,https://media.api-sports.io/football/players/1801.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,0,0,0,,Goalkeeper,,False,0,0,8,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,1801,J. Zimmermann,Jan,Zimmermann,36,1985-04-19,Offenbach,Germany,Germany,190 cm,86 kg,False,https://media.api-sports.io/football/players/1801.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,1802,D. Abraham,David Ángel,Abraham,35,1986-07-15,Chabás,Argentina,Argentina,188 cm,83 kg,False,https://media.api-sports.io/football/players/1802.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,20,19,1691,,Defender,6.765000,False,1,3,6,7,4,2,,,,710,2,78,16,11,24,54,30,11,7,,12,14,2,0,1,,,0,0,
8,1802,D. Abraham,David Ángel,Abraham,35,1986-07-15,Chabás,Argentina,Argentina,188 cm,83 kg,False,https://media.api-sports.io/football/players/1802.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,5,4,404,,Defender,6.600000,False,1,0,1,1,0,0,,1,,142,2,72,1,6,6,4,2,3,2,,1,6,1,0,0,,,0,0,
9,1802,D. Abraham,David Ángel,Abraham,35,1986-07-15,Chabás,Argentina,Argentina,188 cm,83 kg,False,https://media.api-sports.io/football/players/1802.png,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,3,UEFA Europa League,World,https://media.api-sports.io/football/leagues/3.png,,2019,12,12,1080,,Defender,6.462500,False,0,0,1,3,1,1,,,,263,1,76,12,4,11,13,7,0,0,,6,13,3,0,0,,,0,0,
