,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,24891,V. Eicher,Vitus,Eicher,32,1990-11-05,Erding,Germany,Germany,191 cm,85 kg,False,https://media.api-sports.io/football/players/24891.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2019,1,1,90,,Goalkeeper,,False,0,0,33,,,0,0,,,,,,,,,,,,,,,,0,0,0,,,0,0,0
1,24891,V. Eicher,Vitus,Eicher,32,1990-11-05,Erding,Germany,Germany,191 cm,85 kg,False,https://media.api-sports.io/football/players/24891.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,1,1,90,,Goalkeeper,5.700000,False,0,0,1,0,0,0,4,,3,24,0,75,,0,0,,,0,0,,0,0,0,0,0,,,0,0,0
2,24893,K. Müller,Kevin,Müller,31,1991-03-15,Rostock,Germany,Germany,190 cm,90 kg,False,https://media.api-sports.io/football/players/24893.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2019,33,33,2970,,Goalkeeper,6.909090,False,0,0,0,0,0,0,65,,152,1688,0,57,2,0,1,10,9,4,4,,2,0,0,0,0,,,0,0,0
3,24893,K. Müller,Kevin,Müller,31,1991-03-15,Rostock,Germany,Germany,190 cm,90 kg,False,https://media.api-sports.io/football/players/24893.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,1,1,90,,Goalkeeper,8.200000,False,0,0,1,0,0,0,0,,5,27,0,79,,0,0,,,0,0,,0,0,0,0,0,,,0,0,0
4,24894,D. Ramaj,Diant,Ramaj,21,2001-09-19,Stuttgart,Germany,Germany,189 cm,81 kg,False,https://media.api-sports.io/football/players/24894.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,24894,D. Ramaj,Diant,Ramaj,21,2001-09-19,Stuttgart,Germany,Germany,189 cm,81 kg,False,https://media.api-sports.io/football/players/24894.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,24896,Jonas Brändle,Jonas,Brändle,22,2000-05-06,,Germany,Germany,174 cm,66 kg,False,https://media.api-sports.io/football/players/24896.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,24896,Jonas Brändle,Jonas,Brändle,22,2000-05-06,,Germany,Germany,174 cm,66 kg,False,https://media.api-sports.io/football/players/24896.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,24897,M. Busch,Marnon Thomas,Busch,28,1994-12-08,Stade,Germany,Germany,182 cm,80 kg,False,https://media.api-sports.io/football/players/24897.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,79,Bundesliga 2,Germany,https://media.api-sports.io/football/leagues/79.png,https://media.api-sports.io/flags/de.svg,2019,33,32,2862,,Defender,6.994000,False,1,3,1,25,5,0,0,,,1848,52,58,87,21,69,196,107,62,38,,30,44,2,0,0,,,0,0,
9,24897,M. Busch,Marnon Thomas,Busch,28,1994-12-08,Stade,Germany,Germany,182 cm,80 kg,False,https://media.api-sports.io/football/players/24897.png,180,FC Heidenheim,https://media.api-sports.io/football/teams/180.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,2,2,180,,Defender,7.050000,False,0,0,0,0,0,0,,,,69,0,83,4,1,1,,,9,6,,2,0,0,0,0,,,0,0,
