,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1140,J. Krahl,Julian,Krahl,22,2000-01-22,Forst,Germany,Germany,194 cm,82 kg,False,https://media.api-sports.io/football/players/1140.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,9,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
1,1140,J. Krahl,Julian,Krahl,22,2000-01-22,Forst,Germany,Germany,194 cm,82 kg,False,https://media.api-sports.io/football/players/1140.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,1408,S. Bornauw,Sebastiaan,Bornauw,23,1999-03-22,Wemmel,Belgium,Belgium,191 cm,81 kg,False,https://media.api-sports.io/football/players/1408.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,28,28,2449,,Defender,6.750000,False,0,1,1,18,7,6,,,,1002,6,79,37,11,43,52,23,13,10,,9,41,5,0,1,,,0,0,
3,1408,S. Bornauw,Sebastiaan,Bornauw,23,1999-03-22,Wemmel,Belgium,Belgium,191 cm,81 kg,False,https://media.api-sports.io/football/players/1408.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,1,1,90,,Defender,6.300000,False,0,0,1,0,0,0,,,,53,0,93,1,2,2,,,0,0,,0,0,0,0,0,,,0,0,
4,8487,B. Verstraete,Birger Danny,Verstraete,28,1994-04-16,Oostende,Belgium,Belgium,175 cm,65 kg,False,https://media.api-sports.io/football/players/8487.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,9,7,665,,Midfielder,6.700000,False,2,2,5,7,2,0,,1,,172,10,78,14,0,4,,,7,5,,16,13,3,0,0,,,0,0,
5,8487,B. Verstraete,Birger Danny,Verstraete,28,1994-04-16,Oostende,Belgium,Belgium,175 cm,65 kg,False,https://media.api-sports.io/football/players/8487.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,1,1,120,,Midfielder,6.700000,False,0,0,0,3,1,0,,,,59,0,85,,0,1,,,3,2,,1,2,1,0,0,,,0,0,
6,19580,T. Leistner,Toni Andreas,Leistner,32,1990-08-19,Dresden,Germany,Germany,190 cm,87 kg,False,https://media.api-sports.io/football/players/19580.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,13,11,1012,,Defender,7.018181,False,2,2,4,2,0,0,,,,414,1,77,19,5,22,97,68,6,6,,5,15,3,0,0,,,0,0,
7,24785,T. Horn,Timo,Horn,29,1993-05-12,Köln,Germany,Germany,192 cm,90 kg,False,https://media.api-sports.io/football/players/24785.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,34,34,3060,,Goalkeeper,6.578125,False,0,0,0,0,0,0,66,,85,717,1,69,,0,2,4,3,0,0,,3,1,0,0,0,,,0,0,2
8,24785,T. Horn,Timo,Horn,29,1993-05-12,Köln,Germany,Germany,192 cm,90 kg,False,https://media.api-sports.io/football/players/24785.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,2,2,210,,Goalkeeper,6.550000,False,0,0,0,0,0,0,6,,8,55,0,89,,1,0,,,1,1,,1,0,0,0,0,,,0,0,0
9,24786,T. Kessler,Thomas,Kessler,35,1986-01-20,Köln,Germany,Germany,197 cm,92 kg,False,https://media.api-sports.io/football/players/24786.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,25,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,24786,T. Kessler,Thomas,Kessler,35,1986-01-20,Köln,Germany,Germany,197 cm,92 kg,False,https://media.api-sports.io/football/players/24786.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,24788,M. Bader,Matthias,Bader,25,1997-06-17,Pforzheim,Germany,Germany,176 cm,73 kg,False,https://media.api-sports.io/football/players/24788.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,1,0,11,,Defender,6.700000,False,1,0,6,0,0,0,,,,5,0,83,,,0,,,0,0,,2,0,0,0,0,,,0,0,
12,24788,M. Bader,Matthias,Bader,25,1997-06-17,Pforzheim,Germany,Germany,176 cm,73 kg,False,https://media.api-sports.io/football/players/24788.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,1,0,9,,Defender,6.200000,False,1,0,1,0,0,0,,,,0,0,0,,0,0,,,1,0,,0,0,0,0,0,,,0,0,
13,24791,J. Horn,Jannes-Kilian,Horn,25,1997-02-06,Braunschweig,Germany,Germany,186 cm,79 kg,False,https://media.api-sports.io/football/players/24791.png,192,FC Koln,https://media.api-sports.io/football/teams/192.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
