,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2751,M. Leckie,Mathew Allan,Leckie,31,1991-02-04,Melbourne,Australia,Australia,181 cm,82 kg,False,https://media.api-sports.io/football/players/2751.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,7,1,189,,Attacker,6.560000,False,6,0,13,2,0,0,,,,52,0,74,3,0,1,7,5,2,1,,2,4,0,0,0,,,0,0,
1,2751,M. Leckie,Mathew Allan,Leckie,31,1991-02-04,Melbourne,Australia,Australia,181 cm,82 kg,False,https://media.api-sports.io/football/players/2751.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,2,1,105,,Attacker,6.700000,False,1,0,1,0,0,0,,,,44,1,89,,0,2,,,2,1,,3,2,0,0,0,,,0,0,
2,2751,M. Leckie,Mathew Allan,Leckie,31,1991-02-04,Melbourne,Australia,Australia,181 cm,82 kg,False,https://media.api-sports.io/football/players/2751.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,Club Friendlies,,,,2019,1,1,46,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,8591,Sidney Friede,Sidney,Friede,23,1998-04-12,Berlin,Germany,Germany,188 cm,82 kg,False,https://media.api-sports.io/football/players/8591.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Midfielder,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,8591,Sidney Friede,Sidney,Friede,23,1998-04-12,Berlin,Germany,Germany,188 cm,82 kg,False,https://media.api-sports.io/football/players/8591.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Midfielder,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,8591,Sidney Friede,Sidney,Friede,23,1998-04-12,Berlin,Germany,Germany,188 cm,82 kg,False,https://media.api-sports.io/football/players/8591.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,Club Friendlies,,,,2019,1,0,44,,Midfielder,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,25335,J. Klinsmann,Jonathan Lee,Klinsmann,25,1997-04-08,München,Germany,USA,194 cm,89 kg,False,https://media.api-sports.io/football/players/25335.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,25336,T. Kraft,Thomas,Kraft,32,1988-07-22,Kirchen,Germany,Germany,187 cm,85 kg,False,https://media.api-sports.io/football/players/25336.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,4,4,360,,Goalkeeper,6.500000,False,0,0,19,0,0,0,7,,9,52,0,60,,0,1,,,0,0,,1,0,1,0,0,,,0,0,0
8,25336,T. Kraft,Thomas,Kraft,32,1988-07-22,Kirchen,Germany,Germany,187 cm,85 kg,False,https://media.api-sports.io/football/players/25336.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,81,DFB Pokal,Germany,https://media.api-sports.io/football/leagues/81.png,https://media.api-sports.io/flags/de.svg,2019,1,1,120,,Goalkeeper,6.300000,False,0,0,1,0,0,0,7,,0,33,0,80,,0,0,,,0,0,,0,0,1,0,0,,,0,0,0
9,25336,T. Kraft,Thomas,Kraft,32,1988-07-22,Kirchen,Germany,Germany,187 cm,85 kg,False,https://media.api-sports.io/football/players/25336.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,Club Friendlies,,,,2019,1,0,44,,Goalkeeper,,False,1,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
10,25338,Florian Baak,Florian,Baak,23,1999-03-18,Berlin,Germany,Germany,191 cm,90 kg,False,https://media.api-sports.io/football/players/25338.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
11,25339,Panzu Ernesto de Angelo,Panzu,Ernesto de Angelo,23,1999-04-03,Berlin,Germany,Angola,180 cm,71 kg,False,https://media.api-sports.io/football/players/25339.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
12,25345,K. Rekik,Karim,Rekik,28,1994-12-02,Den Haag,Netherlands,Netherlands,186 cm,84 kg,False,https://media.api-sports.io/football/players/25345.png,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,78,Bundesliga 1,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2019,14,14,1260,,Defender,6.850000,False,0,0,8,5,2,1,,,,623,3,87,16,15,18,,,5,4,,11,9,0,0,0,,2,0,0,
