,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,30742,Luca Rossettini,Luca,Rossettini,36,1985-05-09,Padova,Italy,Italy,187 cm,82 kg,False,https://media.api-sports.io/football/players/30742.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,26,25,2261,,Defender,6.588888,False,1,1,3,4,0,0,,2,,900,4,81,24,20,34,2,1,2,2,,8,17,5,0,0,,1,0,0,
1,30742,Luca Rossettini,Luca,Rossettini,36,1985-05-09,Padova,Italy,Italy,187 cm,82 kg,False,https://media.api-sports.io/football/players/30742.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,1,90,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
2,31559,Simone Lo Faso,Simone,Lo Faso,23,1998-02-18,Palermo,Italy,Italy,180 cm,72 kg,False,https://media.api-sports.io/football/players/31559.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Attacker,,False,0,0,12,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,31559,Simone Lo Faso,Simone,Lo Faso,23,1998-02-18,Palermo,Italy,Italy,180 cm,72 kg,False,https://media.api-sports.io/football/players/31559.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,1,75,,Attacker,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
4,31721,Marco Calderoni,Marco,Calderoni,33,1989-02-18,Latisana,Italy,Italy,183 cm,75 kg,False,https://media.api-sports.io/football/players/31721.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,26,24,2066,,Defender,6.688461,False,2,5,5,23,5,3,,2,,628,21,72,34,9,35,27,13,13,8,,37,29,7,0,0,,1,0,0,
5,31721,Marco Calderoni,Marco,Calderoni,33,1989-02-18,Latisana,Italy,Italy,183 cm,75 kg,False,https://media.api-sports.io/football/players/31721.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,1,1,90,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,31728,Roberto Pierno,Roberto,Pierno,21,2001-02-14,Bari,Italy,Italy,,,False,https://media.api-sports.io/football/players/31728.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,31728,Roberto Pierno,Roberto,Pierno,21,2001-02-14,Bari,Italy,Italy,,,False,https://media.api-sports.io/football/players/31728.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,0,0,0,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,31729,Davide Riccardi,Davide,Riccardi,26,1996-04-09,Monfalcone,Italy,Italy,188 cm,73 kg,False,https://media.api-sports.io/football/players/31729.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2019,1,0,19,,Defender,6.200000,False,1,0,20,0,0,0,,,,2,0,66,,0,0,,,0,0,,0,0,0,0,0,,,0,0,
9,31729,Davide Riccardi,Davide,Riccardi,26,1996-04-09,Monfalcone,Italy,Italy,188 cm,73 kg,False,https://media.api-sports.io/football/players/31729.png,867,Lecce,https://media.api-sports.io/football/teams/867.png,137,Coppa Italia,Italy,https://media.api-sports.io/football/leagues/137.png,https://media.api-sports.io/flags/it.svg,2019,2,2,180,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
