,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,1479,Tiago Djaló,Tiago Emanuel,Embaló Djaló,22,2000-04-09,Amadora,Portugal,Portugal,190 cm,,False,https://media.api-sports.io/football/players/1479.png,79,Lille,https://media.api-sports.io/football/teams/79.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,8,8,664,,Defender,6.700000,False,0,3,13,0,0,0,,,,380,1,84,7,2,11,,,3,2,,5,9,2,0,0,,1,0,0,
1,1479,Tiago Djaló,Tiago Emanuel,Embaló Djaló,22,2000-04-09,Amadora,Portugal,Portugal,190 cm,,False,https://media.api-sports.io/football/players/1479.png,79,Lille,https://media.api-sports.io/football/teams/79.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,1,0,19,,Defender,6.500000,False,1,0,1,0,0,0,,,,6,0,75,1,0,1,,,0,0,,0,0,0,0,0,,,0,0,
2,1479,Tiago Djaló,Tiago Emanuel,Embaló Djaló,22,2000-04-09,Amadora,Portugal,Portugal,190 cm,,False,https://media.api-sports.io/football/players/1479.png,79,Lille,https://media.api-sports.io/football/teams/79.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,2,2,180,,Defender,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,1479,Tiago Djaló,Tiago Emanuel,Embaló Djaló,22,2000-04-09,Amadora,Portugal,Portugal,190 cm,,False,https://media.api-sports.io/football/players/1479.png,79,Lille,https://media.api-sports.io/football/teams/79.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,3,3,267,,Defender,6.733333,False,0,1,1,0,0,0,,,,116,1,82,4,4,2,,,2,1,,4,1,1,0,0,,,0,0,
4,1479,Tiago Djaló,Tiago Emanuel,Embaló Djaló,22,2000-04-09,Amadora,Portugal,Portugal,190 cm,,False,https://media.api-sports.io/football/players/1479.png,79,Lille,https://media.api-sports.io/football/teams/79.png,,Club Friendlies,,,,2019,0,0,0,,Defender,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,2675,José Fonte,José Miguel,da Rocha Fonte,39,1983-12-22,Penafiel,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/2675.png,79,Lille,https://media.api-sports.io/football/teams/79.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,25,25,2206,,Defender,6.845833,False,0,1,3,16,4,1,,1,,1239,6,85,14,8,26,,,3,2,,14,17,4,0,0,,2,0,0,
6,2675,José Fonte,José Miguel,da Rocha Fonte,39,1983-12-22,Penafiel,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/2675.png,79,Lille,https://media.api-sports.io/football/teams/79.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,2,2,180,,Defender,6.600000,False,0,0,1,0,0,0,,,,93,0,76,,1,2,,,0,0,,0,1,0,0,0,,,0,0,
7,2675,José Fonte,José Miguel,da Rocha Fonte,39,1983-12-22,Penafiel,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/2675.png,79,Lille,https://media.api-sports.io/football/teams/79.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,2,2,180,,Defender,,False,0,0,0,,,1,,,,,,,,,,,,,,,,,1,0,0,,,,,
8,2675,José Fonte,José Miguel,da Rocha Fonte,39,1983-12-22,Penafiel,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/2675.png,79,Lille,https://media.api-sports.io/football/teams/79.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,4,4,360,,Defender,6.525000,False,0,0,1,0,0,0,,,,161,1,88,7,2,3,,,0,0,,1,3,1,0,0,,1,0,0,
9,2675,José Fonte,José Miguel,da Rocha Fonte,39,1983-12-22,Penafiel,Portugal,Portugal,187 cm,81 kg,False,https://media.api-sports.io/football/players/2675.png,79,Lille,https://media.api-sports.io/football/teams/79.png,,Club Friendlies,,,,2019,1,1,76,,Defender,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
