,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,647,Anthony Lopes,Anthony,Lopes,32,1990-10-01,Givors,France,Portugal,184 cm,81 kg,False,https://media.api-sports.io/football/players/647.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,26,26,2340,,Goalkeeper,6.976000,False,0,0,0,0,0,0,24,,63,515,1,81,,0,1,,,0,0,,6,0,1,0,0,,,0,0,0
1,647,Anthony Lopes,Anthony,Lopes,32,1990-10-01,Givors,France,Portugal,184 cm,81 kg,False,https://media.api-sports.io/football/players/647.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,4,4,360,,Goalkeeper,6.800000,False,0,0,0,0,0,0,8,,10,89,0,80,,0,0,,,0,0,,0,0,0,0,0,,,0,0,0
2,647,Anthony Lopes,Anthony,Lopes,32,1990-10-01,Givors,France,Portugal,184 cm,81 kg,False,https://media.api-sports.io/football/players/647.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,1,1,120,,Goalkeeper,9.000000,False,0,0,3,0,0,0,0,,6,24,0,72,,0,0,1,1,0,0,,1,0,0,0,0,,,0,0,0
3,647,Anthony Lopes,Anthony,Lopes,32,1990-10-01,Givors,France,Portugal,184 cm,81 kg,False,https://media.api-sports.io/football/players/647.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,2,UEFA Champions League,World,https://media.api-sports.io/football/leagues/2.png,,2019,10,10,900,,Goalkeeper,6.690000,False,0,0,0,0,0,0,14,,25,182,0,67,,0,0,1,0,0,0,,1,1,1,0,0,,,0,0,0
4,647,Anthony Lopes,Anthony,Lopes,32,1990-10-01,Givors,France,Portugal,184 cm,81 kg,False,https://media.api-sports.io/football/players/647.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,,Club Friendlies,,,,2019,1,1,46,,Goalkeeper,,False,0,1,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
5,648,A. Racioppi,Anthony,Racioppi,24,1998-12-31,Genève,Switzerland,Switzerland,186 cm,81 kg,False,https://media.api-sports.io/football/players/648.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,5,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
6,648,A. Racioppi,Anthony,Racioppi,24,1998-12-31,Genève,Switzerland,Switzerland,186 cm,81 kg,False,https://media.api-sports.io/football/players/648.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,65,Coupe de la Ligue,France,https://media.api-sports.io/football/leagues/65.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
7,648,A. Racioppi,Anthony,Racioppi,24,1998-12-31,Genève,Switzerland,Switzerland,186 cm,81 kg,False,https://media.api-sports.io/football/players/648.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,66,Coupe de France,France,https://media.api-sports.io/football/leagues/66.png,https://media.api-sports.io/flags/fr.svg,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
8,648,A. Racioppi,Anthony,Racioppi,24,1998-12-31,Genève,Switzerland,Switzerland,186 cm,81 kg,False,https://media.api-sports.io/football/players/648.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,,Club Friendlies,,,,2019,0,0,0,,Goalkeeper,,False,0,0,1,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,650,L. Dubois,Léo,Dubois,28,1994-09-14,Segré,France,France,178 cm,65 kg,False,https://media.api-sports.io/football/players/650.png,80,Lyon,https://media.api-sports.io/football/teams/80.png,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2019,16,15,1347,,Defender,6.860000,False,1,2,1,5,0,0,,,,577,12,79,18,3,14,,,20,10,,9,16,3,0,0,,,0,0,
