,id,name,firstname,lastname,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo,team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved
0,2049,I. Amadou,Ibrahim,Amadou,29,1993-04-06,Douala,Cameroon,France,183 cm,81 kg,False,https://media.api-sports.io/football/players/2049.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,11,8,757,,Midfielder,6.654545,False,3,1,12,6,1,0,,,,321,1,87,18,5,16,69,38,2,2,,2,8,1,0,0,,1,0,0,
1,2049,I. Amadou,Ibrahim,Amadou,29,1993-04-06,Douala,Cameroon,France,183 cm,81 kg,False,https://media.api-sports.io/football/players/2049.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,90,,Midfielder,6.700000,False,0,0,0,0,0,0,,,,64,0,91,2,0,0,,,0,0,,0,3,0,0,0,,,0,0,
2,2049,I. Amadou,Ibrahim,Amadou,29,1993-04-06,Douala,Cameroon,France,183 cm,81 kg,False,https://media.api-sports.io/football/players/2049.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,90,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
3,2804,T. Klose,Timm,Klose,34,1988-05-09,Frankfurt am Main,Germany,Switzerland,193 cm,87 kg,False,https://media.api-sports.io/football/players/2804.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,7,7,586,,Defender,6.642857,False,0,1,1,3,0,0,,,,333,0,82,8,6,7,63,31,3,2,,7,8,0,0,0,,,0,0,
4,2804,T. Klose,Timm,Klose,34,1988-05-09,Frankfurt am Main,Germany,Switzerland,193 cm,87 kg,False,https://media.api-sports.io/football/players/2804.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,27,,Defender,6.300000,False,0,1,0,0,0,0,,,,35,0,94,,0,0,,,0,0,,1,0,0,0,0,,,0,0,
5,2804,T. Klose,Timm,Klose,34,1988-05-09,Frankfurt am Main,Germany,Switzerland,193 cm,87 kg,False,https://media.api-sports.io/football/players/2804.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,45,FA Cup,England,https://media.api-sports.io/football/leagues/45.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,89,,Defender,6.000000,False,0,0,0,0,0,0,,,,13,1,81,,0,1,5,2,0,0,,0,1,0,0,1,,,0,0,
6,19064,Akinlolu Richard Olamide Famewo,Akinlolu Richard Olamide,Famewo,24,1998-11-09,London,England,England,188 cm,66 kg,False,https://media.api-sports.io/football/players/19064.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,1,0,0,,Defender,,False,1,0,2,0,0,0,,,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,
7,19064,Akinlolu Richard Olamide Famewo,Akinlolu Richard Olamide,Famewo,24,1998-11-09,London,England,England,188 cm,66 kg,False,https://media.api-sports.io/football/players/19064.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,,False,0,0,1,0,0,0,,,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,
8,19067,P. Heise,Philip,Heise,31,1991-06-20,Düsseldorf,Germany,Germany,184 cm,78 kg,False,https://media.api-sports.io/football/players/19067.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,0,0,0,,Defender,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,
9,19067,P. Heise,Philip,Heise,31,1991-06-20,Düsseldorf,Germany,Germany,184 cm,78 kg,False,https://media.api-sports.io/football/players/19067.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,48,League Cup,England,https://media.api-sports.io/football/leagues/48.png,https://media.api-sports.io/flags/gb.svg,2019,1,1,90,,Defender,7.200000,False,0,0,0,4,2,0,,,,36,2,72,1,0,2,,,1,1,,1,1,0,0,0,,,0,0,
10,19071,E. Buendía,Emiliano,Buendía,26,1996-12-25,Mar del Plata,Argentina,Argentina,172 cm,72 kg,False,https://media.api-sports.io/football/players/19071.png,71,Norwich,https://media.api-sports.io/football/teams/71.png,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2019,36,28,2465,,Midfielder,6.980555,False,8,8,8,40,11,1,,7,,1125,83,78,82,5,23,553,267,142,102,,54,36,6,0,1,,,0,0,
